,Control | 24C | 24hpf,Control | 24C | 30hpf,Control | 24C | 36hpf,Control | 28C | 24hpf,Control | 28C | 30hpf,Control | 28C | 36hpf,Control | 34C | 24hpf,Control | 34C | 30hpf,Control | 34C | 36hpf,Control | 35C | 24hpf,Control | 35C | 30hpf,Control | 35C | 36hpf,atf6 | 24C | 24hpf,atf6 | 24C | 30hpf,atf6 | 24C | 36hpf,atf6 | 28C | 24hpf,atf6 | 28C | 30hpf,atf6 | 28C | 36hpf,atf6 | 34C | 24hpf,atf6 | 34C | 30hpf,atf6 | 34C | 36hpf,atf6 | 35C | 24hpf,atf6 | 35C | 30hpf,atf6 | 35C | 36hpf,ctcf | 24C | 24hpf,ctcf | 24C | 30hpf,ctcf | 24C | 36hpf,ctcf | 28C | 24hpf,ctcf | 28C | 30hpf,ctcf | 28C | 36hpf,ctcf | 34C | 24hpf,ctcf | 34C | 30hpf,ctcf | 34C | 36hpf,ctcf | 35C | 24hpf,ctcf | 35C | 30hpf,ctcf | 35C | 36hpf,"wfs1a,wfs1b | 24C | 24hpf","wfs1a,wfs1b | 24C | 30hpf","wfs1a,wfs1b | 24C | 36hpf","wfs1a,wfs1b | 28C | 24hpf","wfs1a,wfs1b | 28C | 30hpf","wfs1a,wfs1b | 28C | 36hpf","wfs1a,wfs1b | 34C | 24hpf","wfs1a,wfs1b | 34C | 30hpf","wfs1a,wfs1b | 34C | 36hpf","wfs1a,wfs1b | 35C | 24hpf","wfs1a,wfs1b | 35C | 30hpf","wfs1a,wfs1b | 35C | 36hpf"
Control | 24C | 24hpf,1.0,0.4361410343542535,0.5132644756068061,0.31581770815645,0.5792719566033191,0.35818806621627197,0.575640523857709,0.323203897953116,0.2219060221184357,0.4244416868012446,0.8717215464221557,0.6522664317859047,0.8852208085032409,0.4040126042710407,0.6134226282850727,0.5054114641048157,0.40554303525094965,0.24970693367797972,0.4807990065496969,0.34500409020720646,0.2710574227482449,0.3413068554311638,0.5968116775419128,0.766084630111411,0.7232672847368805,0.3650835916097343,0.4252845258905207,0.2751503129277397,0.5638791079196604,0.40018221364804574,0.2897475032825786,0.41845635875576476,0.4769797887819783,0.3469649339272382,0.375496055511325,0.6044175255599431,0.8181284973137684,0.48981160510014754,0.4384761678500845,0.36772165555004754,0.468071809628372,0.295898531419715,0.21175109179166138,0.5044793526909567,0.5919632004740996,0.6138394109933121,0.4645819048597588,0.42778742034549394
Control | 35C | 36hpf,0.6522664317859047,0.7023665133719009,0.6467880385873018,0.42353568245103346,0.5097898948550327,0.6241996498961344,0.4395942071006737,0.6001472902098738,0.43788996280896997,0.7316081020914527,0.6050132189701283,1.0,0.6442690214525655,0.5301296317374494,0.7610676316061242,0.4512056747907683,0.3702330270628009,0.5865902205163012,0.4401716901294438,0.6433591556614047,0.6338667654412826,0.7866889180346948,0.7789582332591611,0.7266153220718895,0.49290450548695103,0.30627700602429353,0.49283294965142166,0.6628767717347193,0.5936164726775288,0.7745881964447114,0.5498102111936645,0.7631053869727031,0.5992430345608828,0.8204735842930646,0.7683233349054431,0.8807489680171933,0.8381388690341904,0.6860994914831813,0.6731201060406561,0.6936010646026277,0.3854011941292564,0.6214655583774688,0.6763805993409006,0.838500835669855,0.639893563501221,0.846853402043005,0.7935061549989935,0.7980051795896305
atf6 | 24C | 24hpf,0.8852208085032409,0.5239273238116572,0.4653249147187328,0.5376992354525103,0.4776950066642017,0.40399039569166884,0.4463350513254607,0.35565958180049145,0.5176297299639514,0.5641490630978556,0.8656045846676175,0.6442690214525655,1.0,0.5685235721129365,0.612409630426457,0.6709917048468772,0.4101440317136077,0.33019875507370033,0.6180331512431888,0.3041766724555969,0.25973688727388344,0.4983870451657048,0.6855711598572716,0.8013877615293619,0.6839666832499501,0.6299610241231668,0.5051325535872865,0.43474914642785073,0.46537277812693456,0.4170417259733941,0.5335663224388056,0.401541698262761,0.5530495503227496,0.4788429049889461,0.5764029982736395,0.5193110050229863,0.8234512981461168,0.6469071540193866,0.5295831975056156,0.48747887446078875,0.505184748579717,0.43091395726321635,0.4270485896723896,0.6009176871567472,0.45855354135178567,0.5696737253061723,0.5353832474208216,0.47525753328773335
atf6 | 24C | 30hpf,0.4040126042710407,0.8533751741667766,0.45621977495549715,0.9214787748447593,0.56966745866962,0.5383243095921576,0.5394754160660231,0.4800780091203689,0.5101195837276336,0.5203292192318646,0.5418819122465262,0.5301296317374494,0.5685235721129365,1.0,0.799951120085846,0.9607801055144596,0.3433104828417123,0.48948583052752803,0.37196199629032456,0.47243091455478836,0.29742090333341226,0.6655671975158942,0.5502430071196514,0.4637609654027814,0.4065250855769905,0.8804822444297944,0.3761475891220249,0.8684914906440242,0.4529737764137951,0.8046043784611008,0.654338635019339,0.6993215395488563,0.4437604880058764,0.7284046874653418,0.6482293039760714,0.5180094299189352,0.5685467733109404,0.8516379019342909,0.7916866491501144,0.8505913283980056,0.4623345788092971,0.6591522325279362,0.7108481190396915,0.6296167591971573,0.4806542557425764,0.5112828517997529,0.6559811893315225,0.7009554255753622
atf6 | 24C | 36hpf,0.6134226282850727,0.8640833858821662,0.4915510078103649,0.7668992032181781,0.4823325122865285,0.5883576317764083,0.4026840205597972,0.5825353998613181,0.5013972478854177,0.527155949112512,0.6265553799187595,0.7610676316061242,0.612409630426457,0.799951120085846,1.0,0.7013556187852394,0.5103833141240859,0.5513031816258145,0.5692369250483861,0.610908048791635,0.3429155815678186,0.6991380969943183,0.7626901212215438,0.8005739659490999,0.5685781535177044,0.6191319919963456,0.5767014211862317,0.8341985232630382,0.6125566376436803,0.8290595317715944,0.5430185231406695,0.895334233112588,0.6096456489106096,0.7601931291130711,0.6698037839332591,0.6978144266039912,0.6924275177798985,0.8518219603523215,0.8875607216026102,0.7930713367138325,0.6800245628569441,0.6599951847492099,0.717568086355671,0.8361202957153799,0.7460760325200588,0.7775142935066104,0.8028999400358822,0.7428412707561853
atf6 | 28C | 24hpf,0.5054114641048157,0.8104233546597813,0.5022460015456645,0.9271508115047558,0.563383198980675,0.4836534562020429,0.48070340286160806,0.427583527947917,0.49654484156071677,0.4993903143745071,0.6686761826199676,0.4512056747907683,0.6709917048468772,0.9607801055144596,0.7013556187852394,1.0,0.3296036233266965,0.4523881444494741,0.413806964196133,0.4225657609037579,0.31030092373468804,0.626215117781801,0.4105335697433651,0.32760176042658706,0.36403701383626047,0.8865372418582786,0.3580598718698503,0.8213265984589513,0.3077240127389755,0.7703066572088002,0.6319299356448095,0.6828893624227299,0.4600073439108074,0.6863603642877469,0.5755992186156285,0.48430800064565044,0.6911663902555478,0.8193766289704233,0.7138969681577015,0.8299739073687498,0.44633212588513904,0.6437185213272,0.6522377504938155,0.5751805970532173,0.425145871759777,0.4650608901290009,0.5742725908061295,0.6947627926490381
atf6 | 28C | 30hpf,0.40554303525094965,0.403581791648097,0.7316712346200964,0.3841561216515084,0.410530352409967,0.546626042399852,0.5138030074917648,0.5322812908934272,0.4092045169261321,0.6833664367377992,0.34975437160314005,0.3702330270628009,0.4101440317136077,0.3433104828417123,0.5103833141240859,0.3296036233266965,1.0,0.6549774732780853,0.7973985249546893,0.6172071770544414,0.7586430483116176,0.661899572042446,0.4594042343221708,0.4949043436705042,0.5357275571420963,0.41933709806484665,0.7797479715419977,0.46181626432629547,0.6403178912854712,0.6428731153990755,0.668891405039022,0.6214759707355331,0.5186245711880713,0.4831726744209929,0.4753175636803145,0.3780251766083772,0.24185518359114008,0.3936336135638617,0.6648020444482962,0.567466246755876,0.6275912532964254,0.7261152396088165,0.7640751107535377,0.4224834330709047,0.5727911178859737,0.5259266713458148,0.48093161866697204,0.424672720189102
atf6 | 28C | 36hpf,0.24970693367797972,0.6698173250373656,0.3348715369089341,0.5585418488627196,0.8404714085203533,0.9711449636202866,0.5341380409400934,0.9777148197271481,0.8989027540022425,0.5216158269604596,0.3473068211734523,0.5865902205163012,0.33019875507370033,0.48948583052752803,0.5513031816258145,0.4523881444494741,0.6549774732780853,1.0,0.6774669896974064,0.9570321470286707,0.8038977441515323,0.6442364538407783,0.6263389008234383,0.6741330290000916,0.56422644453617,0.3898969126859053,0.5522753804421793,0.5543407435901455,0.5557071210489062,0.8080809746728673,0.4792681564930738,0.7198444873231364,0.665324407750175,0.6589916769735547,0.7271213433043537,0.4680078125812601,0.29002555634740834,0.6283329706464651,0.4933720355474538,0.5682002309582743,0.6282991948305727,0.9398333222586246,0.5586063761773509,0.5090026360696257,0.7465054949420307,0.5344134688382347,0.6335867263679927,0.6400118221215643
atf6 | 34C | 24hpf,0.4807990065496969,0.5071663101574542,0.7305057761259794,0.35230184007297677,0.5518130463196025,0.6519696208748418,0.5731165893269073,0.5344451505747855,0.5465541959531632,0.6873031649452428,0.6013488670641243,0.4401716901294438,0.6180331512431888,0.37196199629032456,0.5692369250483861,0.413806964196133,0.7973985249546893,0.6774669896974064,1.0,0.6009456305878442,0.6844447925725902,0.588487374864363,0.48269342151061256,0.6272767883046872,0.5561471776690647,0.3964866014549562,0.7189027619618147,0.4181071164361003,0.5870166441407212,0.6174116899023041,0.3876792278183901,0.49797609474015697,0.8587309699503773,0.457913275158794,0.4888308760830927,0.41953762894675406,0.40289428832463964,0.5600292541202644,0.4059867928845053,0.5001903726587661,0.6465470216647278,0.7311779135259618,0.5388351150364711,0.7007939161539964,0.48031722455233805,0.5585199268862835,0.454587684291638,0.4356862479515431
atf6 | 34C | 30hpf,0.34500409020720646,0.6603071572928076,0.32318938505727457,0.5425978582199819,0.7795668304094535,0.9241941536870977,0.5095785260255723,0.9480492008232777,0.8708564482049836,0.3812237190827651,0.366765333091187,0.6433591556614047,0.3041766724555969,0.47243091455478836,0.610908048791635,0.4225657609037579,0.6172071770544414,0.9570321470286707,0.6009456305878442,1.0,0.7352611132329218,0.5555678028373303,0.5956543520561145,0.7083016829065,0.6274347411601777,0.38118640433879175,0.5166884206942235,0.5268176382300552,0.659351937468504,0.8339399588693139,0.579308973505098,0.7794655094219047,0.6024596441042542,0.5988471612245706,0.5997036564949388,0.5693571263454557,0.34664768184655814,0.6179190989533244,0.5128530800273059,0.5295058867324318,0.5322884480880119,0.9299500659791468,0.5030301012106265,0.5717129245385909,0.869077613506229,0.5270046857047853,0.6081030121862827,0.6212810754568325
atf6 | 34C | 36hpf,0.2710574227482449,0.4067786668308493,0.613016016242626,0.2274119535730607,0.7108053567541588,0.7823250982412611,0.4590855487743935,0.7299427597968051,0.6122433797533267,0.7069398349508278,0.4576436560861349,0.6338667654412826,0.25973688727388344,0.29742090333341226,0.3429155815678186,0.31030092373468804,0.7586430483116176,0.8038977441515323,0.6844447925725902,0.7352611132329218,1.0,0.7776080016379103,0.5356684144897383,0.4619727594629607,0.4458008383823401,0.2349388178362282,0.49708756554807987,0.4070999914331121,0.4760884383904029,0.6818709852631886,0.6813058033952384,0.5983702842624232,0.5797033413709701,0.6893288151649977,0.6778961768106242,0.6394129288205135,0.3089905305596771,0.38618112532900445,0.529842121544805,0.49706133998247437,0.6985853696186274,0.7827395273525566,0.7249576907447384,0.5709378194962746,0.49413372737568084,0.5842191958630434,0.5312656375339533,0.6616448686333963
atf6 | 35C | 24hpf,0.3413068554311638,0.6881447016572204,0.7316233015989015,0.5469307434897096,0.5990696090562907,0.6461005791152665,0.4196479729164192,0.5981941964843546,0.47488443072902675,0.9126113437546258,0.5766755190989228,0.7866889180346948,0.4983870451657048,0.6655671975158942,0.6991380969943183,0.626215117781801,0.661899572042446,0.6442364538407783,0.588487374864363,0.5555678028373303,0.7776080016379103,1.0,0.7932882712114697,0.6176231216209445,0.5756863408527519,0.5196676155592298,0.6472996546009788,0.7655342582535501,0.4361988107684094,0.7736124451010586,0.781140991710785,0.7481404510165757,0.5193213971754655,0.9533764549539517,0.8928949303318646,0.7553558071524049,0.5729946534301065,0.6687244735381352,0.7733213822405499,0.8190096208552556,0.6301572149476942,0.7077903308508398,0.9191693911739306,0.8191443850827929,0.43004373745486313,0.8756466153301521,0.8329647715830661,0.8871362773591539
atf6 | 35C | 30hpf,0.5968116775419128,0.7218287838788453,0.3928897927650603,0.47524637146826504,0.624566353917333,0.6888728051655327,0.6159298057899795,0.7008956562107616,0.5502670802957239,0.7311683304710124,0.542290652052692,0.7789582332591611,0.6855711598572716,0.5502430071196514,0.7626901212215438,0.4105335697433651,0.4594042343221708,0.6263389008234383,0.48269342151061256,0.5956543520561145,0.5356684144897383,0.7932882712114697,1.0,0.8755754767909787,0.6031570879181256,0.2312085478686725,0.3704560033255074,0.6915610362650386,0.5922877877000978,0.6483525257045294,0.5073386081624204,0.6856774936873962,0.46703074983020465,0.8477945319411606,0.8734832913322079,0.6947916317019196,0.6816218073111151,0.6624143422285022,0.612565429577093,0.6246936568226485,0.41422914148799217,0.5758695090834122,0.6057087933720177,0.7650643581002483,0.5312410229702992,0.7785252714516666,0.9223446806607765,0.8098385090129612
atf6 | 35C | 36hpf,0.766084630111411,0.6627259978884104,0.5082503561096787,0.5246261243098894,0.6260221568239932,0.719934638451252,0.4503960992263918,0.7557226383096447,0.6118747167504159,0.5111867071661725,0.7574942904659119,0.7266153220718895,0.8013877615293619,0.4637609654027814,0.8005739659490999,0.32760176042658706,0.4949043436705042,0.6741330290000916,0.6272767883046872,0.7083016829065,0.4619727594629607,0.6176231216209445,0.8755754767909787,1.0,0.8381127404936248,0.2575425218373862,0.5346772015545962,0.621500393166077,0.684434326689394,0.6738927664963918,0.47158648719758994,0.7322914657543642,0.5489302883566541,0.6814992118992621,0.6998201595190285,0.6498561374877992,0.6605049070744566,0.5791436999421445,0.6323914648908308,0.5375562016113055,0.5801719473070702,0.6235754691062512,0.5043262531606436,0.7404270333882239,0.7798099507561669,0.6771055268748842,0.7839729711784781,0.7099684529071972
ctcf | 24C | 24hpf,0.7232672847368805,0.44523936053925434,0.7552243979994719,0.6293424393490412,0.6219332248863961,0.6432935764774117,0.3474616083897305,0.6458397824212736,0.6887518361944138,0.6544251240140827,0.6630211265350943,0.49290450548695103,0.6839666832499501,0.4065250855769905,0.5685781535177044,0.36403701383626047,0.5357275571420963,0.56422644453617,0.5561471776690647,0.6274347411601777,0.4458008383823401,0.5756863408527519,0.6031570879181256,0.8381127404936248,1.0,0.4532417747771089,0.7090221914228411,0.3395127952434369,0.6680132807181882,0.44914061106628056,0.48480560726229177,0.4376726058001258,0.41545798202330647,0.4671598936552858,0.38915124093892056,0.4603307075819446,0.43913789457465097,0.4140591593473855,0.40135335695368596,0.3218277251673705,0.4949264674515661,0.48850018921558924,0.6397626825427243,0.39623559203399106,0.6723795263718311,0.5663993207265042,0.4435359673781044,0.33153339388804887
ctcf | 24C | 30hpf,0.3650835916097343,0.6317198726627471,0.4708582538023781,0.8828301768123515,0.32119889710220395,0.3605671466813341,0.2989400161975637,0.39428484506295935,0.5389563011407142,0.44253651124191384,0.5265600319720709,0.30627700602429353,0.6299610241231668,0.8804822444297944,0.6191319919963456,0.8865372418582786,0.41933709806484665,0.3898969126859053,0.3964866014549562,0.38118640433879175,0.2349388178362282,0.5196676155592298,0.2312085478686725,0.2575425218373862,0.4532417747771089,1.0,0.4801534188770664,0.6517296140111701,0.23562187783211522,0.6416070364745856,0.5464485283405061,0.5495346486865315,0.2939729503067473,0.5086630406239292,0.38797632938025906,0.3653323759110317,0.45898521516181623,0.7016076756680454,0.6826697031287416,0.7007681858782674,0.4331533752506015,0.5483096310237943,0.6468425498892518,0.3805311336883346,0.38613870078240453,0.34816072950110155,0.34512228184076854,0.4541929580141454
ctcf | 24C | 36hpf,0.4252845258905207,0.47556936582145654,0.7960457654277198,0.44631153641455795,0.5839327040095094,0.4423868819562761,0.35431626849742665,0.4861073088254416,0.4646481094251635,0.6143096264537832,0.3405097813736068,0.49283294965142166,0.5051325535872865,0.3761475891220249,0.5767014211862317,0.3580598718698503,0.7797479715419977,0.5522753804421793,0.7189027619618147,0.5166884206942235,0.49708756554807987,0.6472996546009788,0.3704560033255074,0.5346772015545962,0.7090221914228411,0.4801534188770664,1.0,0.6136279947620832,0.839680829176177,0.5719583859053573,0.570563643664322,0.6510782430908402,0.3677385122096628,0.577039722843062,0.49316944508745797,0.42531084840266203,0.3909246691086025,0.533077738135306,0.645442556129967,0.6373359703970896,0.6036806251112921,0.5760534858089154,0.7558008956123466,0.5460611490037672,0.43466730964583594,0.715282911161334,0.48680097021568425,0.4975245923059766
