draw,n_wells,axis_1,axis_2,axis_3
64,12,0.8803738522823482,0.05746477250351467,0.04071431182862293
65,12,0.6521671441652004,0.17790459719332205,0.11966768431028965
66,12,0.5182714153237419,0.28138174835603624,0.12790398846241813
67,12,0.661414993486141,0.20989071109129587,0.06439545097779205
68,12,0.634776005696994,0.1969365598484378,0.08920313386118121
69,12,0.7834756986515284,0.12053544100822441,0.04700015728740801
70,12,0.6417770383625694,0.17908060523973157,0.07688412592082641
71,12,0.8251537269756399,0.1039316969754077,0.050968537459961036
72,12,0.4554432244510741,0.2908005379223299,0.13772806299471488
73,12,0.4942895682298065,0.2559674050298094,0.12226876996147025
74,12,0.4868880799849306,0.2313086586152821,0.15921948123940347
75,12,0.8018515379413536,0.087746219228203,0.058462857513484165
76,12,0.8253036640815642,0.11352822956462634,0.03896111976832245
77,12,0.7026786991426767,0.13223982948337779,0.1082384293841003
78,12,0.839637557832683,0.09165297618833523,0.046121412069690795
79,12,0.6509204933002878,0.2087764817973447,0.10339463812555356
80,12,0.7513204594534951,0.13444584410942922,0.06988319274232181
81,12,0.8958236501238358,0.060171479198537076,0.03356279364145695
82,12,0.5788228854442452,0.25967096579510596,0.09062167124116885
83,12,0.7475863230818551,0.12788355702814702,0.05312198127600214
84,12,0.7924772953394154,0.09498390832739391,0.05141892857778634
85,12,0.8289341146497803,0.08857901864988865,0.04079898093564768
86,12,0.8388510814472964,0.06122921422198816,0.05935694120209207
87,12,0.7883168162147133,0.11573699556567589,0.05149677076491717
88,12,0.4732845876387652,0.3264693964232757,0.11048035613235596
89,12,0.6240801611545567,0.18630237715632608,0.0956147412975096
90,12,0.8553370214444227,0.075845671791148,0.043458344154669946
91,12,0.7863097710443889,0.10463906594749363,0.07800587337301768
92,12,0.7250187948552016,0.1347356399622524,0.07402835272638943
93,12,0.8460537505357157,0.07250590833555999,0.05745809043158649
94,12,0.5988412702303454,0.2869756996756814,0.060679419531015966
95,12,0.7350327896314179,0.13576657802116437,0.0774345218307833
96,12,0.5872568994983636,0.20012931279306298,0.11385917876995105
97,12,0.6342851504719673,0.18787818321306876,0.11640498689934935
98,12,0.8202975484639069,0.07332007433964485,0.05248529982079097
99,12,0.6497386879102459,0.19588316305450865,0.09409976254892972
100,12,0.5943394022074069,0.20209033385980796,0.08576075276929168
101,12,0.6450284973339079,0.19807340752409805,0.08575866322829993
102,12,0.5845612251177386,0.1883783650378704,0.08637453199804776
103,12,0.6430254838803109,0.2083582003684648,0.06596243812808171
104,12,0.5457431302325437,0.2261821554352154,0.10913847083879523
105,12,0.47583934820722223,0.285484804727673,0.149701826030429
106,12,0.5317556508684045,0.24966381856788092,0.10653186147067142
107,12,0.4997349088764365,0.27530180570032575,0.12071855169085331
108,12,0.7296965687444318,0.16284121191125553,0.08127497521058999
