cohort,target,temperature,timepoint,n_wells,axis_1_var_ratio,axis_1_stability,axis_1_eig_lo,axis_1_eig_hi,axis_1_null_pctile,axis_2_var_ratio,axis_2_stability,axis_2_eig_lo,axis_2_eig_hi,axis_2_null_pctile,axis_3_var_ratio,axis_3_stability,axis_3_eig_lo,axis_3_eig_hi,axis_3_null_pctile
Control | 24C | 24hpf,Control,24,24,12,0.46038910451169535,0.8187611066044026,0.15483019676425644,0.3789996632232218,10.0,0.37399257890465115,0.7964558545134204,0.05934932500602288,0.1874134774598753,99.0,0.10225572678316361,0.9028903937351527,0.0168161281435633,0.06502045779796727,60.333333333333336
atf6 | 35C | 24hpf,atf6,35,24,12,0.5722681986733775,0.9580088000541496,0.6554844205232764,2.0533473075104864,34.333333333333336,0.1658124759207519,0.6643367772768832,0.21612605517986946,0.7052432409790204,39.33333333333333,0.16267983949128162,0.5602437279423953,0.08479970212834137,0.41030415920371865,94.0
atf6 | 35C | 30hpf,atf6,35,30,12,0.5789774762276831,0.9529552735653607,0.5790881021916326,1.5653351611227182,35.333333333333336,0.27920431656916905,0.9334233360676458,0.15639089817275945,0.629021481889382,82.66666666666667,0.07861750681567432,0.9177576035086354,0.0556074554880235,0.18426438976583334,43.0
atf6 | 35C | 36hpf,atf6,35,36,12,0.37546749969220283,0.8453725399042072,0.45947442970503716,1.0188325899210222,1.6666666666666667,0.2977227261260118,0.7214129493481335,0.23694330793995305,0.6135188277845766,87.0,0.17284795792132834,0.6352517401558716,0.055277858309948434,0.35369925856522105,95.33333333333334
ctcf | 24C | 24hpf,ctcf,24,24,12,0.44838281792428386,0.9331347580837008,0.1393208442484722,0.34712561699412614,8.0,0.221501392070636,0.6682080180367307,0.06976188988846177,0.1465437007447129,61.66666666666667,0.19073314677093048,0.6059742047571135,0.03061796809307097,0.09411249902193962,98.66666666666667
ctcf | 24C | 30hpf,ctcf,24,30,12,0.5039892408239773,0.8997706596674919,0.3282785108132365,0.8502817288876506,20.333333333333332,0.28220278502443097,0.8576343789931904,0.12075515563280562,0.36143090140763684,83.66666666666667,0.10354096589981993,0.8374064189807282,0.041548016274426246,0.15265211614337135,63.0
ctcf | 24C | 36hpf,ctcf,24,36,12,0.6061412450713751,0.9749766464020729,0.47551837847377143,1.3998139538996097,45.666666666666664,0.17291709154619814,0.6910579254390147,0.15163480626610196,0.39173826554818175,41.0,0.1618930332019487,0.6725716917287388,0.052922877479623105,0.24588979515204765,93.33333333333333
ctcf | 28C | 24hpf,ctcf,28,24,12,0.44340842820001036,0.8734192038890279,0.30056328826873624,0.6862816804092476,7.666666666666666,0.277142503336641,0.8289896946891265,0.1195546462051778,0.330385451804478,82.33333333333334,0.13527005875142067,0.7981404607242928,0.05797410879199954,0.16004607723614994,84.33333333333334
ctcf | 28C | 30hpf,ctcf,28,30,11,0.779365071868657,0.9924050045915115,0.5634864857317468,1.2107588440433892,76.33333333333333,0.10380034807026144,0.722593557260807,0.06651202776906562,0.22323507439587628,17.0,0.07252785074794668,0.6481882284552253,0.02013083271076827,0.10412075343911234,36.666666666666664
ctcf | 28C | 36hpf,ctcf,28,36,12,0.7791647701303446,0.9897454985841175,1.1593717206405332,3.162689018580025,76.33333333333333,0.12901592508030418,0.931912775562902,0.1434216827007428,0.5489646842080323,27.333333333333332,0.05016292394613486,0.7674209119204707,0.0341714779922165,0.2138822368675694,17.333333333333336
ctcf | 34C | 24hpf,ctcf,34,24,12,0.6645514004041564,0.9581736493776798,0.519640672700794,1.9641355366058635,58.666666666666664,0.16932710009676805,0.7473272703905179,0.11911318203323491,0.5730627794404444,40.0,0.1140215436492169,0.6831425922279266,0.03512122404090612,0.23926870114933332,69.66666666666667
ctcf | 34C | 30hpf,ctcf,34,30,12,0.8136133765120881,0.9933797769094539,0.6015532025857251,1.904101295000132,83.66666666666667,0.08168629132306994,0.8340745828149132,0.08564657871038465,0.19724352921237517,9.666666666666666,0.049233710788140914,0.685579588736548,0.03576488203948338,0.10796137167330436,16.666666666666664
ctcf | 34C | 36hpf,ctcf,34,36,12,0.7396622249694257,0.9888596079727557,0.8406856237008297,2.1085486013603347,71.33333333333334,0.13524316789911028,0.895808446321846,0.10207302011294002,0.44749623269680566,30.0,0.07509475298563738,0.8338085090738876,0.045364028804907676,0.19209950779127097,38.0
ctcf | 35C | 24hpf,ctcf,35,24,12,0.5305288466056453,0.8938101255092512,0.4410399222065195,1.111233308427709,26.666666666666668,0.3452947350871105,0.8669984932635287,0.12898078321911266,0.6510885411873389,97.33333333333334,0.07934067930952561,0.9370988198160571,0.04063961605594508,0.11772475891876222,43.0
ctcf | 35C | 30hpf,ctcf,35,30,12,0.5234042664142791,0.9515847538842945,0.41324112584522393,1.0431262949340583,25.333333333333336,0.22195568304997954,0.8279651908142382,0.15162404212491845,0.4500819194052419,61.66666666666667,0.10139767608864032,0.6519383902995414,0.0652743762947203,0.1751219087310992,59.66666666666667
ctcf | 35C | 36hpf,ctcf,35,36,12,0.6159207919085716,0.9795198056504089,0.5564774779389204,1.6469808823940901,47.66666666666667,0.19264789469029897,0.9077242009582861,0.1549406865189115,0.5372389047678687,46.33333333333333,0.0764627268950964,0.7519753567260687,0.07581163426051238,0.17687837278219534,40.33333333333333
"wfs1a,wfs1b | 24C | 24hpf","wfs1a,wfs1b",24,24,12,0.572129253282962,0.8965582330367521,0.11426486390333497,0.40031879812462573,34.333333333333336,0.27593540147261675,0.8701803592700905,0.055032808567411384,0.14462211379096995,82.33333333333334,0.06862265072570244,0.7669198693037076,0.012860590413431449,0.046458817093236605,33.0
"wfs1a,wfs1b | 24C | 30hpf","wfs1a,wfs1b",24,30,12,0.5584092795911094,0.9749320049718372,0.36917384644775914,0.8406443687730367,33.33333333333333,0.19724068515899604,0.7829052946460796,0.13975637030888616,0.27083124585704316,48.0,0.13160324629063722,0.650315025610033,0.05123636886389515,0.16511161196287708,82.0
"wfs1a,wfs1b | 24C | 36hpf","wfs1a,wfs1b",24,36,12,0.4641406751984286,0.8617073228938341,0.32629648675944756,0.7732741413904752,10.0,0.3194750810220641,0.8319746856644537,0.13730364596796027,0.41778974748225145,94.0,0.11607136929243918,0.8601753068765321,0.043295629147436294,0.17424744153539015,71.66666666666667
"wfs1a,wfs1b | 28C | 24hpf","wfs1a,wfs1b",28,24,12,0.7147886696320966,0.990890352768045,0.7245910737257046,1.4906083676380173,65.66666666666666,0.11551162660100438,0.6151730575956849,0.11350472356334317,0.3405228234205925,22.0,0.11049994724156885,0.502166658019644,0.03521677029701164,0.18027029519556553,67.66666666666666
"wfs1a,wfs1b | 28C | 30hpf","wfs1a,wfs1b",28,30,12,0.8330626319426098,0.9855714273513982,0.19507181014321592,1.830073787877446,89.66666666666666,0.06458463119866663,0.6685106926659005,0.061897362086785576,0.1390797531683094,5.333333333333334,0.05799852547694588,0.580471790290623,0.014483692482948276,0.08231489749798024,25.666666666666664
"wfs1a,wfs1b | 28C | 36hpf","wfs1a,wfs1b",28,36,12,0.7477333003035361,0.9728699207561385,0.43821689279426,2.1829061773031526,72.33333333333334,0.15679804600766595,0.9303317361036055,0.08916255683762858,0.3588440762310328,34.0,0.06162271677441952,0.7827213940652521,0.017603941181488836,0.13172778677388017,28.999999999999996
"wfs1a,wfs1b | 34C | 24hpf","wfs1a,wfs1b",34,24,12,0.6109639995889253,0.8914666961371875,0.31067807254070323,1.3473677238007187,47.0,0.23502721881283112,0.8681348877935332,0.1284841009201633,0.380562831322945,68.66666666666667,0.08168906750026549,0.8445404487006161,0.04538597760065263,0.13887013352060593,45.666666666666664
"wfs1a,wfs1b | 34C | 30hpf","wfs1a,wfs1b",34,30,12,0.83634523619197,0.9928609529467813,0.41775127806922574,2.148257151716797,90.0,0.08470028357800641,0.8534345143746992,0.04869563580685629,0.2354113413183515,10.666666666666668,0.04146524818189497,0.7611799122522214,0.02044311664837807,0.09590734127674957,7.666666666666666
"wfs1a,wfs1b | 34C | 36hpf","wfs1a,wfs1b",34,36,12,0.8416212775361527,0.9909566705385955,0.5126592067101876,2.648005441559686,92.33333333333333,0.08109061312032792,0.9027687993459823,0.06392436336578314,0.2684678741693168,9.333333333333334,0.03475399448207539,0.6702337058864829,0.013714507663915805,0.10602138635327965,4.0
"wfs1a,wfs1b | 35C | 24hpf","wfs1a,wfs1b",35,24,9,0.4406668275317259,0.8959481942818175,0.2682521316908849,0.7649048508142928,7.666666666666666,0.3113459452783183,0.7664327646732454,0.07828983788146708,0.32955905139602015,91.33333333333333,0.16674782653973627,0.6941398673457987,0.02188372230670948,0.15542559266785572,94.66666666666667
"wfs1a,wfs1b | 35C | 30hpf","wfs1a,wfs1b",35,30,12,0.5341020811475693,0.9275376372627374,0.4358719746405513,0.9366746782142928,27.0,0.3146696603260618,0.8801522561447443,0.11043207375944221,0.5426659081917897,92.0,0.07625553640215998,0.8588260777515864,0.030941086844744177,0.1468761834637196,40.33333333333333
