cohort,target,temperature,timepoint,axis,global_component,loading
Control | 28C | 36hpf,Control,28,36,axis_2,G01,0.8764054400116956
Control | 28C | 36hpf,Control,28,36,axis_2,G02,-0.3152741493680814
Control | 28C | 36hpf,Control,28,36,axis_2,G03,-0.051275742842501484
Control | 28C | 36hpf,Control,28,36,axis_2,G04,-0.3400591343067457
Control | 28C | 36hpf,Control,28,36,axis_2,G05,0.043722582390046325
Control | 28C | 36hpf,Control,28,36,axis_2,G06,0.08632618545365063
Control | 28C | 36hpf,Control,28,36,axis_2,G07,-0.028329833400513635
Control | 28C | 36hpf,Control,28,36,axis_2,G08,0.005290573391941805
Control | 28C | 36hpf,Control,28,36,axis_2,G09,0.06359099988966849
Control | 28C | 36hpf,Control,28,36,axis_3,G00,-0.11147943686709187
Control | 28C | 36hpf,Control,28,36,axis_3,G01,-0.015317355288698292
Control | 28C | 36hpf,Control,28,36,axis_3,G02,-0.007609683095220171
Control | 28C | 36hpf,Control,28,36,axis_3,G03,0.05491031345809705
Control | 28C | 36hpf,Control,28,36,axis_3,G04,0.1280704140395054
Control | 28C | 36hpf,Control,28,36,axis_3,G05,0.9620469136291431
Control | 28C | 36hpf,Control,28,36,axis_3,G06,0.17055157090691722
Control | 28C | 36hpf,Control,28,36,axis_3,G07,-0.10126622425772906
Control | 28C | 36hpf,Control,28,36,axis_3,G08,0.03329417448279995
Control | 28C | 36hpf,Control,28,36,axis_3,G09,-0.04332644039779387
Control | 34C | 24hpf,Control,34,24,axis_1,G00,-0.16142342363988924
Control | 34C | 24hpf,Control,34,24,axis_1,G01,0.9670542984080296
Control | 34C | 24hpf,Control,34,24,axis_1,G02,0.023273803741491572
Control | 34C | 24hpf,Control,34,24,axis_1,G03,-0.0003872626843861027
Control | 34C | 24hpf,Control,34,24,axis_1,G04,-0.07044550276912331
Control | 34C | 24hpf,Control,34,24,axis_1,G05,0.17996088005674846
Control | 34C | 24hpf,Control,34,24,axis_1,G06,0.02657235300015187
Control | 34C | 24hpf,Control,34,24,axis_1,G07,0.009009539718645404
Control | 34C | 24hpf,Control,34,24,axis_1,G08,-0.005600922249416752
Control | 34C | 24hpf,Control,34,24,axis_1,G09,-0.006286734191988802
Control | 34C | 24hpf,Control,34,24,axis_2,G00,-0.04180204943131542
Control | 34C | 24hpf,Control,34,24,axis_2,G01,0.07319391453983545
Control | 34C | 24hpf,Control,34,24,axis_2,G02,0.45957786281297514
Control | 34C | 24hpf,Control,34,24,axis_2,G03,-0.7386769465846417
Control | 34C | 24hpf,Control,34,24,axis_2,G04,0.06668527112279138
Control | 34C | 24hpf,Control,34,24,axis_2,G05,-0.4738748006972489
Control | 34C | 24hpf,Control,34,24,axis_2,G06,0.06739210515605087
Control | 34C | 24hpf,Control,34,24,axis_2,G07,-0.03959419996917507
Control | 34C | 24hpf,Control,34,24,axis_2,G08,0.02019142357931663
Control | 34C | 24hpf,Control,34,24,axis_2,G09,-0.02276958319831452
Control | 34C | 24hpf,Control,34,24,axis_3,G00,0.8348911714767414
Control | 34C | 24hpf,Control,34,24,axis_3,G01,0.13149839226654744
Control | 34C | 24hpf,Control,34,24,axis_3,G02,0.4217787635522552
Control | 34C | 24hpf,Control,34,24,axis_3,G03,0.2515285387287412
Control | 34C | 24hpf,Control,34,24,axis_3,G04,-0.175120946517886
Control | 34C | 24hpf,Control,34,24,axis_3,G05,-0.0756401664404126
Control | 34C | 24hpf,Control,34,24,axis_3,G06,-0.04777842328350708
Control | 34C | 24hpf,Control,34,24,axis_3,G07,0.06509671553634779
Control | 34C | 24hpf,Control,34,24,axis_3,G08,-0.014158494402651173
Control | 34C | 24hpf,Control,34,24,axis_3,G09,0.03730106815549365
Control | 34C | 30hpf,Control,34,30,axis_1,G00,0.5516500331859463
Control | 34C | 30hpf,Control,34,30,axis_1,G01,-0.10333490623225805
Control | 34C | 30hpf,Control,34,30,axis_1,G02,0.6327428725284172
Control | 34C | 30hpf,Control,34,30,axis_1,G03,0.370930781530867
Control | 34C | 30hpf,Control,34,30,axis_1,G04,-0.21880355404792837
Control | 34C | 30hpf,Control,34,30,axis_1,G05,0.29071677859092776
Control | 34C | 30hpf,Control,34,30,axis_1,G06,-0.11725817762728329
Control | 34C | 30hpf,Control,34,30,axis_1,G07,0.003542083685659605
Control | 34C | 30hpf,Control,34,30,axis_1,G08,0.016033803054099002
Control | 34C | 30hpf,Control,34,30,axis_1,G09,-0.02531008852859186
Control | 34C | 30hpf,Control,34,30,axis_2,G00,-0.17456585431673124
Control | 34C | 30hpf,Control,34,30,axis_2,G01,-0.8571492271925949
Control | 34C | 30hpf,Control,34,30,axis_2,G02,0.27583572807095136
Control | 34C | 30hpf,Control,34,30,axis_2,G03,-0.16407510847106271
Control | 34C | 30hpf,Control,34,30,axis_2,G04,0.33987992940513834
Control | 34C | 30hpf,Control,34,30,axis_2,G05,-0.11494030063842381
Control | 34C | 30hpf,Control,34,30,axis_2,G06,-0.007421357395425793
Control | 34C | 30hpf,Control,34,30,axis_2,G07,0.008626303598339833
Control | 34C | 30hpf,Control,34,30,axis_2,G08,-0.020936747925160083
Control | 34C | 30hpf,Control,34,30,axis_2,G09,-0.050184644396938115
Control | 34C | 30hpf,Control,34,30,axis_3,G00,-0.42507185259248265
Control | 34C | 30hpf,Control,34,30,axis_3,G01,-0.16353512320899657
Control | 34C | 30hpf,Control,34,30,axis_3,G02,-0.2383956920562747
Control | 34C | 30hpf,Control,34,30,axis_3,G03,0.5633540083201527
Control | 34C | 30hpf,Control,34,30,axis_3,G04,0.056404988354503846
Control | 34C | 30hpf,Control,34,30,axis_3,G05,0.6300591163536506
Control | 34C | 30hpf,Control,34,30,axis_3,G06,0.07978015413967156
Control | 34C | 30hpf,Control,34,30,axis_3,G07,-0.09335834416422956
Control | 34C | 30hpf,Control,34,30,axis_3,G08,-0.033639707191728326
Control | 34C | 30hpf,Control,34,30,axis_3,G09,0.044739722820366624
Control | 34C | 36hpf,Control,34,36,axis_1,G00,-0.5583207218287727
Control | 34C | 36hpf,Control,34,36,axis_1,G01,-0.5285508943064732
Control | 34C | 36hpf,Control,34,36,axis_1,G02,-0.31741379239025536
Control | 34C | 36hpf,Control,34,36,axis_1,G03,-0.13143766448119257
Control | 34C | 36hpf,Control,34,36,axis_1,G04,0.49284687369425706
Control | 34C | 36hpf,Control,34,36,axis_1,G05,-0.19992340766039246
Control | 34C | 36hpf,Control,34,36,axis_1,G06,-0.03459865899507871
Control | 34C | 36hpf,Control,34,36,axis_1,G07,0.06038822673862235
Control | 34C | 36hpf,Control,34,36,axis_1,G08,-0.051759233069525
Control | 34C | 36hpf,Control,34,36,axis_1,G09,0.02223320217613274
Control | 34C | 36hpf,Control,34,36,axis_2,G00,0.07262456238283284
