cohort,target,temperature,timepoint,n_wells,axis,shared_dim,loading,variance_ratio
atf6 | 24C | 24hpf,atf6,24,24,10,cohort_PC2,G03,-0.5266023945807473,0.24259780322106683
atf6 | 24C | 24hpf,atf6,24,24,10,cohort_PC2,G04,0.8237401367504219,0.24259780322106683
atf6 | 24C | 30hpf,atf6,24,30,11,cohort_PC1,G00,0.5976655060218661,0.7494332516959467
atf6 | 24C | 30hpf,atf6,24,30,11,cohort_PC1,G01,0.7392663952449966,0.7494332516959467
atf6 | 24C | 30hpf,atf6,24,30,11,cohort_PC1,G02,-0.20580905006651157,0.7494332516959467
atf6 | 24C | 30hpf,atf6,24,30,11,cohort_PC1,G03,0.018088687473926682,0.7494332516959467
atf6 | 24C | 30hpf,atf6,24,30,11,cohort_PC1,G04,0.2315093390541424,0.7494332516959467
atf6 | 24C | 30hpf,atf6,24,30,11,cohort_PC2,G00,0.606192401924425,0.1227543161991976
atf6 | 24C | 30hpf,atf6,24,30,11,cohort_PC2,G01,-0.33480620168127473,0.1227543161991976
atf6 | 24C | 30hpf,atf6,24,30,11,cohort_PC2,G02,-0.03934810373580591,0.1227543161991976
atf6 | 24C | 30hpf,atf6,24,30,11,cohort_PC2,G03,-0.5284476371066996,0.1227543161991976
atf6 | 24C | 30hpf,atf6,24,30,11,cohort_PC2,G04,-0.48952058254336517,0.1227543161991976
atf6 | 24C | 36hpf,atf6,24,36,12,cohort_PC1,G00,0.9076646580071416,0.7567379004211547
atf6 | 24C | 36hpf,atf6,24,36,12,cohort_PC1,G01,0.19008644156913795,0.7567379004211547
atf6 | 24C | 36hpf,atf6,24,36,12,cohort_PC1,G02,0.22517066211513426,0.7567379004211547
atf6 | 24C | 36hpf,atf6,24,36,12,cohort_PC1,G03,0.04310156926410244,0.7567379004211547
atf6 | 24C | 36hpf,atf6,24,36,12,cohort_PC1,G04,-0.2957235888223416,0.7567379004211547
atf6 | 24C | 36hpf,atf6,24,36,12,cohort_PC2,G00,0.04988472136931331,0.17989499508549428
atf6 | 24C | 36hpf,atf6,24,36,12,cohort_PC2,G01,0.4537057144769013,0.17989499508549428
