scope,experiment_id,qc_path,qc_present_at_snapshot,qc_size_bytes,qc_mtime,read_status,read_error,raw_row_count,analyzed_row_count
Keyence,20230525,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230525/snip_qc/20230525_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20230531,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230531/snip_qc/20230531_snip_qc.parquet,True,69747,2026-07-26T16:43:38.079694-07:00,read,,7846,7846
Keyence,20230602,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230602/snip_qc/20230602_snip_qc.parquet,True,79854,2026-07-26T16:58:44.109969-07:00,read,,8998,8998
Keyence,20230608,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230608/snip_qc/20230608_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20230613,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230613/snip_qc/20230613_snip_qc.parquet,True,51532,2026-07-26T17:22:46.126522-07:00,read,,5421,5421
Keyence,20230615,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230615/snip_qc/20230615_snip_qc.parquet,True,44979,2026-07-26T18:26:31.472879-07:00,read,,4216,4216
Keyence,20230620,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230620/snip_qc/20230620_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20230622,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230622/snip_qc/20230622_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20230627,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230627/snip_qc/20230627_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20230629,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230629/snip_qc/20230629_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20230830,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230830/snip_qc/20230830_snip_qc.parquet,False,0,,missing,,0,0
