scope,failure_combination,timepoint_count,rate_all_timepoints,share_of_failed_timepoints,flag_count
All,persistence_dead_flag|edge_flag,81,0.00017958615368583952,0.0002878096618769454,2
All,viability_dead_flag|persistence_dead_flag|overlapping_mask_flag,81,0.00017958615368583952,0.0002878096618769454,3
All,persistence_dead_flag|overlapping_mask_flag|motion_blur_flag,80,0.00017736904067737236,0.00028425645617476087,3
All,viability_dead_flag|sa_outlier_flag|overlapping_mask_flag,65,0.00014411234555036505,0.00023095837064199322,3
All,persistence_dead_flag|sa_outlier_flag|edge_flag|motion_blur_flag,63,0.00013967811953343075,0.00022385195923762418,4
All,viability_dead_flag|discontinuous_mask_flag|focus_flag,62,0.00013746100652496358,0.00022029875353543968,3
All,viability_dead_flag|sa_outlier_flag|edge_flag|motion_blur_flag,60,0.00013302678050802928,0.00021319234213107064,4
All,sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|motion_blur_flag,53,0.0001175069894487592,0.00018831990221577908,4
All,persistence_dead_flag|discontinuous_mask_flag|overlapping_mask_flag,51,0.00011307276343182488,0.00018121349081141004,3
All,persistence_dead_flag|sa_outlier_flag|focus_flag|motion_blur_flag,50,0.00011085565042335773,0.00017766028510922554,4
All,edge_flag|discontinuous_mask_flag,48,0.00010642142440642342,0.00017055387370485653,2
All,sa_outlier_flag|edge_flag|discontinuous_mask_flag,44,9.755297237255481e-05,0.00015634105089611848,3
All,edge_flag|overlapping_mask_flag|motion_blur_flag,44,9.755297237255481e-05,0.00015634105089611848,3
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag,42,9.31187463556205e-05,0.00014923463949174945,4
All,discontinuous_mask_flag|overlapping_mask_flag|focus_flag,42,9.31187463556205e-05,0.00014923463949174945,3
All,edge_flag|discontinuous_mask_flag|overlapping_mask_flag,42,9.31187463556205e-05,0.00014923463949174945,3
All,sa_outlier_flag|edge_flag|overlapping_mask_flag|motion_blur_flag,41,9.090163334715334e-05,0.00014568143378956494,4
All,edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,39,8.646740733021903e-05,0.00013857502238519593,4
All,persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|focus_flag,38,8.425029432175187e-05,0.0001350218166830114,4
All,persistence_dead_flag|discontinuous_mask_flag,38,8.425029432175187e-05,0.0001350218166830114,2
All,persistence_dead_flag|focus_flag|motion_blur_flag,38,8.425029432175187e-05,0.0001350218166830114,3
All,viability_dead_flag|edge_flag|motion_blur_flag,38,8.425029432175187e-05,0.0001350218166830114,3
All,persistence_dead_flag|sa_outlier_flag|edge_flag|overlapping_mask_flag|focus_flag,37,8.203318131328472e-05,0.0001314686109808269,5
All,viability_dead_flag|persistence_dead_flag|edge_flag,36,7.981606830481757e-05,0.0001279154052786424,3
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|overlapping_mask_flag,35,7.75989552963504e-05,0.00012436219957645788,4
All,viability_dead_flag|edge_flag|focus_flag|motion_blur_flag,34,7.538184228788325e-05,0.00012080899387427337,4
All,viability_dead_flag|overlapping_mask_flag,34,7.538184228788325e-05,0.00012080899387427337,2
All,persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,33,7.31647292794161e-05,0.00011725578817208886,5
All,sa_outlier_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,33,7.31647292794161e-05,0.00011725578817208886,4
All,viability_dead_flag|persistence_dead_flag|edge_flag|overlapping_mask_flag|focus_flag,32,7.094761627094894e-05,0.00011370258246990434,5
All,persistence_dead_flag|sa_outlier_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,32,7.094761627094894e-05,0.00011370258246990434,5
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|motion_blur_flag,32,7.094761627094894e-05,0.00011370258246990434,5
All,viability_dead_flag|sa_outlier_flag|discontinuous_mask_flag|focus_flag,31,6.873050326248179e-05,0.00011014937676771984,4
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|overlapping_mask_flag|motion_blur_flag,24,5.321071220321171e-05,8.527693685242826e-05,5
All,viability_dead_flag|overlapping_mask_flag|focus_flag,23,5.099359919474455e-05,8.172373115024375e-05,3
All,persistence_dead_flag|discontinuous_mask_flag|focus_flag,23,5.099359919474455e-05,8.172373115024375e-05,3
All,viability_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,23,5.099359919474455e-05,8.172373115024375e-05,6
All,edge_flag|discontinuous_mask_flag|focus_flag,23,5.099359919474455e-05,8.172373115024375e-05,3
All,edge_flag|focus_flag|motion_blur_flag,23,5.099359919474455e-05,8.172373115024375e-05,3
All,persistence_dead_flag|edge_flag|motion_blur_flag,23,5.099359919474455e-05,8.172373115024375e-05,3
All,persistence_dead_flag|sa_outlier_flag|edge_flag|focus_flag|motion_blur_flag,22,4.8776486186277403e-05,7.817052544805924e-05,5
All,edge_flag|overlapping_mask_flag|focus_flag,19,4.2125147160875934e-05,6.75109083415057e-05,3
All,persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|motion_blur_flag,19,4.2125147160875934e-05,6.75109083415057e-05,4
All,viability_dead_flag|persistence_dead_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,19,4.2125147160875934e-05,6.75109083415057e-05,5
All,persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag,19,4.2125147160875934e-05,6.75109083415057e-05,3
All,persistence_dead_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,19,4.2125147160875934e-05,6.75109083415057e-05,4
All,viability_dead_flag|persistence_dead_flag|edge_flag|focus_flag|motion_blur_flag,19,4.2125147160875934e-05,6.75109083415057e-05,5
All,sa_outlier_flag|edge_flag|discontinuous_mask_flag|motion_blur_flag,18,3.9908034152408784e-05,6.39577026393212e-05,4
All,viability_dead_flag|persistence_dead_flag|overlapping_mask_flag|motion_blur_flag,17,3.769092114394163e-05,6.040449693713668e-05,4
All,viability_dead_flag|edge_flag|discontinuous_mask_flag|focus_flag,17,3.769092114394163e-05,6.040449693713668e-05,4
All,sa_outlier_flag|discontinuous_mask_flag|focus_flag|motion_blur_flag,16,3.547380813547447e-05,5.685129123495217e-05,4
All,persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag,16,3.547380813547447e-05,5.685129123495217e-05,4
All,viability_dead_flag|persistence_dead_flag|discontinuous_mask_flag|overlapping_mask_flag,16,3.547380813547447e-05,5.685129123495217e-05,4
All,discontinuous_mask_flag|focus_flag|motion_blur_flag,14,3.1039582118540165e-05,4.9744879830583155e-05,3
All,edge_flag|discontinuous_mask_flag|overlapping_mask_flag|motion_blur_flag,14,3.1039582118540165e-05,4.9744879830583155e-05,4
All,edge_flag|discontinuous_mask_flag|motion_blur_flag,14,3.1039582118540165e-05,4.9744879830583155e-05,3
All,edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,13,2.8822469110073008e-05,4.6191674128398644e-05,5
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,13,2.8822469110073008e-05,4.6191674128398644e-05,7
All,persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|focus_flag|motion_blur_flag,11,2.4388243093138702e-05,3.908526272402962e-05,5
All,persistence_dead_flag|discontinuous_mask_flag|overlapping_mask_flag|motion_blur_flag,11,2.4388243093138702e-05,3.908526272402962e-05,4
All,viability_dead_flag|persistence_dead_flag|discontinuous_mask_flag,11,2.4388243093138702e-05,3.908526272402962e-05,3
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,11,2.4388243093138702e-05,3.908526272402962e-05,7
All,viability_dead_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,11,2.4388243093138702e-05,3.908526272402962e-05,4
All,viability_dead_flag|sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag,10,2.2171130084671545e-05,3.553205702184511e-05,4
All,viability_dead_flag|overlapping_mask_flag|motion_blur_flag,10,2.2171130084671545e-05,3.553205702184511e-05,3
All,sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,9,1.9954017076204392e-05,3.19788513196606e-05,5
All,viability_dead_flag|edge_flag|discontinuous_mask_flag,9,1.9954017076204392e-05,3.19788513196606e-05,3
All,persistence_dead_flag|edge_flag|overlapping_mask_flag|focus_flag,9,1.9954017076204392e-05,3.19788513196606e-05,4
All,viability_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag,9,1.9954017076204392e-05,3.19788513196606e-05,4
All,viability_dead_flag|discontinuous_mask_flag|overlapping_mask_flag,9,1.9954017076204392e-05,3.19788513196606e-05,3
All,viability_dead_flag|sa_outlier_flag|discontinuous_mask_flag,8,1.7736904067737235e-05,2.8425645617476086e-05,3
All,viability_dead_flag|persistence_dead_flag|edge_flag|motion_blur_flag,8,1.7736904067737235e-05,2.8425645617476086e-05,4
All,viability_dead_flag|sa_outlier_flag|edge_flag|overlapping_mask_flag|focus_flag,6,1.3302678050802927e-05,2.1319234213107066e-05,5
All,viability_dead_flag|discontinuous_mask_flag|overlapping_mask_flag|motion_blur_flag,6,1.3302678050802927e-05,2.1319234213107066e-05,4
All,persistence_dead_flag|edge_flag|overlapping_mask_flag,6,1.3302678050802927e-05,2.1319234213107066e-05,3
All,viability_dead_flag|discontinuous_mask_flag,6,1.3302678050802927e-05,2.1319234213107066e-05,2
All,sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|motion_blur_flag,6,1.3302678050802927e-05,2.1319234213107066e-05,5
All,viability_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag,5,1.1085565042335773e-05,1.7766028510922555e-05,5
All,viability_dead_flag|sa_outlier_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,5,1.1085565042335773e-05,1.7766028510922555e-05,5
All,persistence_dead_flag|sa_outlier_flag|edge_flag|overlapping_mask_flag,5,1.1085565042335773e-05,1.7766028510922555e-05,4
All,sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag,5,1.1085565042335773e-05,1.7766028510922555e-05,4
All,viability_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|focus_flag,5,1.1085565042335773e-05,1.7766028510922555e-05,5
All,viability_dead_flag|discontinuous_mask_flag|motion_blur_flag,5,1.1085565042335773e-05,1.7766028510922555e-05,3
All,viability_dead_flag|edge_flag|overlapping_mask_flag,4,8.868452033868618e-06,1.4212822808738043e-05,3
All,viability_dead_flag|sa_outlier_flag|overlapping_mask_flag|motion_blur_flag,4,8.868452033868618e-06,1.4212822808738043e-05,4
All,persistence_dead_flag|discontinuous_mask_flag|motion_blur_flag,4,8.868452033868618e-06,1.4212822808738043e-05,3
All,viability_dead_flag|edge_flag|overlapping_mask_flag|focus_flag,4,8.868452033868618e-06,1.4212822808738043e-05,4
All,viability_dead_flag|sa_outlier_flag|discontinuous_mask_flag|motion_blur_flag,4,8.868452033868618e-06,1.4212822808738043e-05,4
All,sa_outlier_flag|edge_flag|discontinuous_mask_flag|focus_flag|motion_blur_flag,4,8.868452033868618e-06,1.4212822808738043e-05,5
All,persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|motion_blur_flag,3,6.651339025401464e-06,1.0659617106553533e-05,5
All,viability_dead_flag|persistence_dead_flag|edge_flag|overlapping_mask_flag,3,6.651339025401464e-06,1.0659617106553533e-05,4
All,viability_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|motion_blur_flag,3,6.651339025401464e-06,1.0659617106553533e-05,5
All,persistence_dead_flag|edge_flag|focus_flag|motion_blur_flag,3,6.651339025401464e-06,1.0659617106553533e-05,4
All,persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|focus_flag,3,6.651339025401464e-06,1.0659617106553533e-05,5
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|edge_flag|overlapping_mask_flag|motion_blur_flag,3,6.651339025401464e-06,1.0659617106553533e-05,6
All,sa_outlier_flag|edge_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,3,6.651339025401464e-06,1.0659617106553533e-05,5
All,viability_dead_flag|persistence_dead_flag|edge_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,2,4.434226016934309e-06,7.1064114043690215e-06,6
All,persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag,2,4.434226016934309e-06,7.1064114043690215e-06,6
All,persistence_dead_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,2,4.434226016934309e-06,7.1064114043690215e-06,4
All,persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,2,4.434226016934309e-06,7.1064114043690215e-06,6
All,sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,2,4.434226016934309e-06,7.1064114043690215e-06,6
All,discontinuous_mask_flag|overlapping_mask_flag|focus_flag|motion_blur_flag,2,4.434226016934309e-06,7.1064114043690215e-06,4
All,viability_dead_flag|sa_outlier_flag|discontinuous_mask_flag|focus_flag|motion_blur_flag,2,4.434226016934309e-06,7.1064114043690215e-06,5
All,persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag,2,4.434226016934309e-06,7.1064114043690215e-06,5
All,viability_dead_flag|persistence_dead_flag|sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag,2,4.434226016934309e-06,7.1064114043690215e-06,5
All,persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag,2,4.434226016934309e-06,7.1064114043690215e-06,4
All,viability_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|focus_flag|motion_blur_flag,2,4.434226016934309e-06,7.1064114043690215e-06,6
All,viability_dead_flag|discontinuous_mask_flag|focus_flag|motion_blur_flag,2,4.434226016934309e-06,7.1064114043690215e-06,4
All,persistence_dead_flag|sa_outlier_flag|edge_flag|discontinuous_mask_flag|motion_blur_flag,2,4.434226016934309e-06,7.1064114043690215e-06,5
All,persistence_dead_flag|edge_flag|overlapping_mask_flag|motion_blur_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,4
All,viability_dead_flag|edge_flag|discontinuous_mask_flag|overlapping_mask_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,4
All,viability_dead_flag|sa_outlier_flag|discontinuous_mask_flag|overlapping_mask_flag|motion_blur_flag,1,2.2171130084671544e-06,3.5532057021845107e-06,5
