scope,experiment_id,flag,triggered_timepoint_count,trigger_rate_all_timepoints
Keyence,20260415_b9d2_30to48hpf_plate01_t02,edge_flag,7,0.06422018348623854
Keyence,20260415_b9d2_30to48hpf_plate01_t02,focus_flag,2,0.01834862385321101
Keyence,20260415_b9d2_30to48hpf_plate01_t02,motion_blur_flag,2,0.01834862385321101
Keyence,20260415_b9d2_30to48hpf_plate01_t02,overlapping_mask_flag,4,0.03669724770642202
Keyence,20260415_b9d2_30to48hpf_plate01_t02,persistence_dead_flag,0,0.0
Keyence,20260415_b9d2_30to48hpf_plate01_t02,sa_outlier_flag,15,0.13761467889908258
Keyence,20260415_b9d2_30to48hpf_plate01_t02,viability_dead_flag,1,0.009174311926605505
Keyence,20260415_b9d2_30to48hpf_plate02_t02,discontinuous_mask_flag,0,0.0
Keyence,20260415_b9d2_30to48hpf_plate02_t02,edge_flag,3,0.05172413793103448
Keyence,20260415_b9d2_30to48hpf_plate02_t02,focus_flag,1,0.017241379310344827
Keyence,20260415_b9d2_30to48hpf_plate02_t02,motion_blur_flag,4,0.06896551724137931
Keyence,20260415_b9d2_30to48hpf_plate02_t02,overlapping_mask_flag,0,0.0
Keyence,20260415_b9d2_30to48hpf_plate02_t02,persistence_dead_flag,0,0.0
Keyence,20260415_b9d2_30to48hpf_plate02_t02,sa_outlier_flag,10,0.1724137931034483
Keyence,20260415_b9d2_30to48hpf_plate02_t02,viability_dead_flag,0,0.0
Keyence,20260702_hotchem_24hpf_plate01,discontinuous_mask_flag,0,0.0
Keyence,20260702_hotchem_24hpf_plate01,edge_flag,1,0.009615384615384616
Keyence,20260702_hotchem_24hpf_plate01,focus_flag,0,0.0
Keyence,20260702_hotchem_24hpf_plate01,motion_blur_flag,4,0.038461538461538464
Keyence,20260702_hotchem_24hpf_plate01,overlapping_mask_flag,6,0.057692307692307696
Keyence,20260702_hotchem_24hpf_plate01,persistence_dead_flag,0,0.0
Keyence,20260702_hotchem_24hpf_plate01,sa_outlier_flag,11,0.10576923076923077
Keyence,20260702_hotchem_24hpf_plate01,viability_dead_flag,0,0.0
Keyence,20260702_hotchem_24hpf_plate02,discontinuous_mask_flag,0,0.0
