"cohort","n_embryos","cell_type","term","estimate"
"atf6 | 24C | 24hpf",10,"cohort_PC2","endodermal cell, early pharyngeal endoderm",-0.0208529055448133
"atf6 | 24C | 24hpf",10,"(Intercept)","endodermal cell, endoderm (posterior)",1.20537365491625
"atf6 | 24C | 24hpf",10,"cohort_PC1","endodermal cell, endoderm (posterior)",-0.373458761190222
"atf6 | 24C | 24hpf",10,"cohort_PC2","endodermal cell, endoderm (posterior)",-0.490783253807516
"atf6 | 24C | 24hpf",10,"(Intercept)","endodermal cell, intestinal bulb",-1.3515734950649
"atf6 | 24C | 24hpf",10,"cohort_PC1","endodermal cell, intestinal bulb",-1.45636342130268
"atf6 | 24C | 24hpf",10,"cohort_PC2","endodermal cell, intestinal bulb",2.49791465030346
"atf6 | 24C | 24hpf",10,"(Intercept)","endodermal cell, liver",-0.902691670415569
"atf6 | 24C | 24hpf",10,"cohort_PC1","endodermal cell, liver",-1.19969216836151
"atf6 | 24C | 24hpf",10,"cohort_PC2","endodermal cell, liver",1.20738431206155
"atf6 | 24C | 24hpf",10,"(Intercept)","endodermal cell, pancreatic epithelial bud",-1.43677068392536
"atf6 | 24C | 24hpf",10,"cohort_PC1","endodermal cell, pancreatic epithelial bud",3.33373665338531
"atf6 | 24C | 24hpf",10,"cohort_PC2","endodermal cell, pancreatic epithelial bud",-1.34934985088806
"atf6 | 24C | 24hpf",10,"(Intercept)","endodermal cell, pharyngeal pouch",-0.3600113048853
"atf6 | 24C | 24hpf",10,"cohort_PC1","endodermal cell, pharyngeal pouch",0.637762942773889
"atf6 | 24C | 24hpf",10,"cohort_PC2","endodermal cell, pharyngeal pouch",1.96766984274149
"atf6 | 24C | 24hpf",10,"(Intercept)","endodermal cell, pharynx",-2.58025334330856
"atf6 | 24C | 24hpf",10,"cohort_PC1","endodermal cell, pharynx",-0.90713667062153
"atf6 | 24C | 24hpf",10,"cohort_PC2","endodermal cell, pharynx",1.97676186550117
"atf6 | 24C | 24hpf",10,"(Intercept)","endodermal cell, presumptive gut (posterior)",1.09410439522478
"atf6 | 24C | 24hpf",10,"cohort_PC1","endodermal cell, presumptive gut (posterior)",0.621180745277625
"atf6 | 24C | 24hpf",10,"cohort_PC2","endodermal cell, presumptive gut (posterior)",-0.0773063168013123
"atf6 | 24C | 24hpf",10,"(Intercept)","endodermal cell, presumptive gut (trunk)",2.0756641602607
"atf6 | 24C | 24hpf",10,"cohort_PC1","endodermal cell, presumptive gut (trunk)",-0.0667193190357225
"atf6 | 24C | 24hpf",10,"cohort_PC2","endodermal cell, presumptive gut (trunk)",-0.238920834402742
"atf6 | 24C | 24hpf",10,"(Intercept)","endothelial cell, blood island (anterior)",0.680988156164811
"atf6 | 24C | 24hpf",10,"cohort_PC1","endothelial cell, blood island (anterior)",-1.03421156483947
"atf6 | 24C | 24hpf",10,"cohort_PC2","endothelial cell, blood island (anterior)",0.317806244681386
"atf6 | 24C | 24hpf",10,"(Intercept)","endothelial cell, blood island (posterior)",2.91149447211298
"atf6 | 24C | 24hpf",10,"cohort_PC1","endothelial cell, blood island (posterior)",0.120272632444459
"atf6 | 24C | 24hpf",10,"cohort_PC2","endothelial cell, blood island (posterior)",-0.288523808922661
"atf6 | 24C | 24hpf",10,"(Intercept)","endothelial cell, blood vessel endothelium",1.55453971439458
"atf6 | 24C | 24hpf",10,"cohort_PC1","endothelial cell, blood vessel endothelium",0.308561724413494
"atf6 | 24C | 24hpf",10,"cohort_PC2","endothelial cell, blood vessel endothelium",-0.679823554189836
"atf6 | 24C | 24hpf",10,"(Intercept)","endothelial cell, lymph vessel endothelium",0.244192543701356
"atf6 | 24C | 24hpf",10,"cohort_PC1","endothelial cell, lymph vessel endothelium",0.0284447861476816
"atf6 | 24C | 24hpf",10,"cohort_PC2","endothelial cell, lymph vessel endothelium",-0.556179460676782
"atf6 | 24C | 24hpf",10,"(Intercept)","enteroendocrine cell, intestine",-1.74247417724043
"atf6 | 24C | 24hpf",10,"cohort_PC1","enteroendocrine cell, intestine",-0.868470896367237
"atf6 | 24C | 24hpf",10,"cohort_PC2","enteroendocrine cell, intestine",-1.71180146076067
"atf6 | 24C | 24hpf",10,"(Intercept)","ependymal cell, roof plate",-8.24039391173186
"atf6 | 24C | 24hpf",10,"cohort_PC1","ependymal cell, roof plate",-7.61075488107095
"atf6 | 24C | 24hpf",10,"cohort_PC2","ependymal cell, roof plate",16.8863143699723
"atf6 | 24C | 24hpf",10,"(Intercept)","ependymal cell, spinal cord",1.64434332632975
