experiment_id,path,present,readable,row_count,schema_id,columns_json,error
20260414_b9d2_30hpf_plate01,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260414_b9d2_30hpf_plate01/snip_qc/20260414_b9d2_30hpf_plate01_snip_qc.parquet,True,True,106.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260414_b9d2_30hpf_plate02,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260414_b9d2_30hpf_plate02/snip_qc/20260414_b9d2_30hpf_plate02_snip_qc.parquet,True,True,72.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260415_b9d2_30to48hpf_plate01_t02,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260415_b9d2_30to48hpf_plate01_t02/snip_qc/20260415_b9d2_30to48hpf_plate01_t02_snip_qc.parquet,True,True,109.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260415_b9d2_30to48hpf_plate02_t02,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260415_b9d2_30to48hpf_plate02_t02/snip_qc/20260415_b9d2_30to48hpf_plate02_t02_snip_qc.parquet,True,True,58.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260415_cep290_18hpf_plate03,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260415_cep290_18hpf_plate03/snip_qc/20260415_cep290_18hpf_plate03_snip_qc.parquet,True,True,81.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260415_cep290_30to48hpf_plate02_t01,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260415_cep290_30to48hpf_plate02_t01/snip_qc/20260415_cep290_30to48hpf_plate02_t01_snip_qc.parquet,True,True,93.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20230525,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20230525/snip_qc/20230525_snip_qc.parquet,False,False,,,[],
20230531,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20230531/snip_qc/20230531_snip_qc.parquet,True,True,7846.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20230602,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20230602/snip_qc/20230602_snip_qc.parquet,True,True,8998.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20230613,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20230613/snip_qc/20230613_snip_qc.parquet,True,True,5421.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20230615,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20230615/snip_qc/20230615_snip_qc.parquet,True,True,4216.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20230620,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20230620/snip_qc/20230620_snip_qc.parquet,True,True,5460.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20230622,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20230622/snip_qc/20230622_snip_qc.parquet,True,True,3582.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20230627,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20230627/snip_qc/20230627_snip_qc.parquet,True,True,4193.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20230629,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20230629/snip_qc/20230629_snip_qc.parquet,True,True,3918.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
