experiment_id,sample_n,mean_p05,mean_median,mean_p95,std_p05,std_median,std_p95,min_p05,min_median,min_p95,max_p05,max_median,max_p95,saturated_255_fraction_p05,saturated_255_fraction_median,saturated_255_fraction_p95,zero_fraction_p05,zero_fraction_median,zero_fraction_p95
20250519,200,27.134602864583336,30.11276584201389,36.09464145236545,28.60357493542822,34.830874783377084,44.691348296820976,0.0,6.0,14.0,251.0,254.0,255.0,0.0,0.0,0.000170220269097222,0.0,0.0,2.712673611111111e-05
20250612_24hpf_ctrl_atf6,97,28.420501030815974,32.432834201388886,35.697519259982634,31.479909343894366,36.69177849904294,41.180673664320025,0.0,2.0,8.199999999999989,245.0,252.0,254.0,0.0,0.0,0.0,0.0,0.0,6.781684027777778e-05
20250612_24hpf_wfs1_ctcf,96,24.769205729166668,27.310621473524307,31.685689290364582,31.948147834688825,35.3633435585769,40.06829666577551,0.0,5.0,12.0,251.75,254.0,255.0,0.0,0.0,8.138020833333334e-05,0.0,0.0,8.477105034722223e-06
20250612_30hpf_ctrl_atf6,97,21.454897732204863,26.453145345052082,31.735767957899306,33.60360154698769,39.78416461510388,43.878525155070875,0.0,3.0,11.0,253.0,255.0,255.0,0.0,6.781684027777777e-06,0.000139702690972222,0.0,0.0,0.0001057942708333331
20250612_30hpf_wfs1_ctcf,97,27.423307291666667,30.41070556640625,32.93808729383681,33.582765267097976,37.47434066372356,40.92968561011697,0.0,8.0,15.0,253.8,255.0,255.0,0.0,6.781684027777777e-06,7.595486111111104e-05,0.0,0.0,6.781684027777777e-06
20250612_36hpf_ctrl_atf6,102,22.27204081217448,28.357326931423614,33.29010518391927,33.69127010477348,42.21845561696389,46.70733816858307,0.0,5.0,12.0,253.05,255.0,255.0,0.0,6.781684027777777e-06,0.00011494954427083325,0.0,0.0,5.425347222222222e-05
20250612_36hpf_wfs1_ctcf,97,23.994265407986113,28.020460340711807,31.950646972656248,34.87582212643849,41.088955985087125,46.67469994287187,0.0,5.0,13.0,253.0,255.0,255.0,0.0,6.781684027777777e-06,9.49435763888885e-05,0.0,0.0,0.00013699001736110987
20250622_chem_28C_T00_1425,91,16.721171061197918,25.386210123697918,30.556521945529514,6.312230954593928,35.622724690130525,38.92315684136116,0.5,7.0,11.5,136.0,254.0,255.0,0.0,0.0,3.0517578125e-05,0.0,0.0,3.3908420138888887e-06
20250622_chem_28C_T01_1658,86,17.984800550672745,23.55193413628472,31.040352715386284,8.278206946953132,37.50984570341723,40.060631691843085,0.0,6.0,11.0,157.25,255.0,255.0,0.0,6.781684027777777e-06,4.916720920138889e-05,0.0,0.0,0.0008188883463541666
20250622_chem_34C_T00_1256,78,23.338196818033854,27.453630235460068,32.06208190917969,32.57361595444475,36.9356210395062,40.68944925377865,0.0,6.0,11.0,254.0,255.0,255.0,0.0,6.781684027777777e-06,9.324815538194415e-05,0.0,0.0,1.3563368055555555e-05
20250622_chem_34C_T01_1632,79,27.000484890407986,30.905904134114582,33.962413194444444,33.088256555535175,37.65280163964047,41.12230074341721,6.0,12.0,15.0,254.0,255.0,255.0,0.0,6.781684027777777e-06,0.0001634385850694444,0.0,0.0,0.0
20250622_chem_35C_T00_1223_check,79,19.994329155815972,27.643663194444443,31.37919921875,8.55265162361299,36.66812991253162,41.213834368477364,0.0,7.0,11.0,186.1,255.0,255.0,0.0,6.781684027777777e-06,8.341471354166655e-05,0.0,0.0,7.459852430555556e-05
20250622_chem_35C_T01_1605,85,16.02375759548611,25.280680338541668,34.119670952690974,4.879703547035697,37.82817906606501,42.98111573140648,0.0,9.0,14.799999999999997,156.4,255.0,255.0,0.0,6.781684027777777e-06,6.239149305555548e-05,0.0,0.0,5.154079861111107e-05
20250623_chem_28C_T02_1259,86,14.185719807942709,28.539004855685764,37.98417833116319,21.219528139156555,45.82990224700332,50.10571256856412,0.0,6.0,11.0,253.0,255.0,255.0,0.0,6.781684027777777e-06,0.00018480088975694444,0.0,0.0,0.0006561279296875
20250623_chem_34C_T02_1231,83,20.530029975043405,30.456380208333332,39.501032172309024,32.56576618504865,45.681406189042065,51.67745142197178,0.0,5.0,12.899999999999991,253.1,255.0,255.0,0.0,6.781684027777777e-06,0.00039198133680555546,0.0,0.0,0.00023532443576388754
20250624_chem02_28C_T00_1356,104,14.970908610026042,25.334865993923614,32.117010837131076,6.2724990619557195,34.850356384813814,40.04898571093072,0.0,10.0,15.849999999999994,148.0,254.0,255.0,0.0,0.0,2.712673611111111e-05,0.0,0.0,9.663899739583314e-05
20250624_chem02_28C_T01_1808,97,19.634720865885416,27.995313856336807,33.523738606770834,7.657184015868559,36.25930976432085,40.613674072529896,1.8000000000000007,8.0,13.399999999999977,148.6,255.0,255.0,0.0,6.781684027777777e-06,7.052951388888873e-05,0.0,0.0,0.0
20250624_chem02_34C_T00_1243,78,17.141776869032118,21.98491414388021,30.986902194552943,22.997418317603387,36.968575356600276,42.53192895830089,0.0,1.5,11.0,214.55,255.0,255.0,0.0,6.781684027777777e-06,6.9851345486111e-05,0.0,0.0,0.0029381646050347073
