experiment_id,inventory_snips,matched_qc_rows,inventory_snips_without_qc,qc_coverage_fraction,use_snip_pass,use_snip_fail,use_snip_null,use_snip_pass_rate,strict_evaluable_rows,strict_pass,strict_removed,strict_pass_rate,strict_removal_rate
20260324_cep290_30hpf_plate01,98,98,0,1.0,91,7,0,0.9285714285714286,98,91,7,0.9285714285714286,0.07142857142857142
20260324_cep290_30hpf_plate02,72,72,0,1.0,55,17,0,0.7638888888888888,72,55,17,0.7638888888888888,0.2361111111111111
20260331_b9d2_18hpf_plate02,70,70,0,1.0,45,25,0,0.6428571428571429,70,45,25,0.6428571428571429,0.35714285714285715
20260414_b9d2_14hpf_plate01,107,107,0,1.0,97,10,0,0.9065420560747663,107,97,10,0.9065420560747663,0.09345794392523364
20260414_b9d2_30hpf_plate01,106,106,0,1.0,93,13,0,0.8773584905660378,106,93,13,0.8773584905660378,0.12264150943396226
20260414_b9d2_30hpf_plate02,72,72,0,1.0,59,13,0,0.8194444444444444,72,59,13,0.8194444444444444,0.18055555555555555
20260415_b9d2_30to48hpf_plate01_t02,109,109,0,1.0,91,18,0,0.8348623853211009,109,91,18,0.8348623853211009,0.1651376146788991
20260415_b9d2_30to48hpf_plate02_t02,58,58,0,1.0,42,16,0,0.7241379310344828,58,42,16,0.7241379310344828,0.27586206896551724
20260415_cep290_18hpf_plate03,81,81,0,1.0,42,39,0,0.5185185185185185,81,42,39,0.5185185185185185,0.48148148148148145
20260415_cep290_30to48hpf_plate02_t01,93,93,0,1.0,51,42,0,0.5483870967741935,93,51,42,0.5483870967741935,0.45161290322580644
20260416_cep290_30to48hpf_plate01_t02,109,109,0,1.0,89,20,0,0.8165137614678899,109,89,20,0.8165137614678899,0.1834862385321101
20260416_cep290_30to48hpf_plate02_t02,70,70,0,1.0,49,21,0,0.7,70,49,21,0.7,0.3
20260417_irx_pilot,4968,4968,0,1.0,3611,1357,0,0.7268518518518519,4968,3611,1357,0.7268518518518519,0.27314814814814814
20260418_irx_pilot,15251,15251,0,1.0,4390,10861,0,0.2878499770506852,15251,4390,10861,0.2878499770506852,0.7121500229493148
20260702_hotchem_24hpf_plate01,104,104,0,1.0,89,15,0,0.8557692307692307,104,89,15,0.8557692307692307,0.14423076923076922
20260702_hotchem_24hpf_plate02,117,117,0,1.0,94,23,0,0.8034188034188035,117,94,23,0.8034188034188035,0.19658119658119658
20260702_hotchem_30hpf_plate01,124,124,0,1.0,79,45,0,0.6370967741935484,124,79,45,0.6370967741935484,0.3629032258064516
20260702_hotchem_30hpf_plate02,107,107,0,1.0,78,29,0,0.7289719626168224,107,78,29,0.7289719626168224,0.27102803738317754
20260702_hotchem_36hpf_plate01,101,101,0,1.0,84,17,0,0.8316831683168316,101,84,17,0.8316831683168316,0.16831683168316833
20260702_hotchem_36hpf_plate02,99,99,0,1.0,87,12,0,0.8787878787878788,99,87,12,0.8787878787878788,0.12121212121212122
20260724_hotfish_24hpf_plate01,102,102,0,1.0,98,4,0,0.9607843137254902,102,98,4,0.9607843137254902,0.0392156862745098
20260724_hotfish_24hpf_plate02,56,0,56,0.0,0,0,0,,0,0,0,,
20260724_hotfish_30hpf_plate01,98,98,0,1.0,92,6,0,0.9387755102040817,98,92,6,0.9387755102040817,0.061224489795918366
20260724_hotfish_30hpf_plate02,59,0,59,0.0,0,0,0,,0,0,0,,
20260724_hotfish_36hpf_plate01,101,101,0,1.0,92,9,0,0.9108910891089109,101,92,9,0.9108910891089109,0.0891089108910891
20260724_hotfish_36hpf_plate02,61,0,61,0.0,0,0,0,,0,0,0,,
