"contrast","arm","n_embryos","n_crispant","n_dropped","n_cell_types","t_observed","t_null_mean","t_null_sd","t_std","p_global","d_shrunk","n_hits_q10","n_hits_q05","max_abs_logfc"
"atf6 vs ctrl | 34C | 36hpf","s_within_crispant",22,10,1,85,202.106442321065,84.9927851790906,25.3196203896343,4.6254112557675,0.00149925037481259,4.03607264878644,31,21,1.32535903380789
"atf6 vs ctrl | 34C | 36hpf","severe_vs_control",19,7,1,85,341.11583207657,84.984099332513,28.0250175515407,9.13939597978863,0.000499750124937531,5.72322346818092,40,36,3.26611709348051
"atf6 vs ctrl | 35C | 24hpf","binary_z",23,11,0,49,82.6667774219212,48.9936274561708,12.633802044368,2.6653219551403,0.0174912543728136,5.41228544598879,0,0,0.268152750912243
"atf6 vs ctrl | 35C | 24hpf","s_z",23,11,0,49,41.50473982493,49.0171277695806,14.2376198824032,-0.527643525160788,0.661669165417291,4.85801734530342,0,0,0.232385540948564
"atf6 vs ctrl | 35C | 24hpf","hinge_z",23,11,0,49,48.9809144505735,49.0364552038642,13.7094803682089,-0.00405126611651169,0.43928035982009,5.09342063004999,1,0,0.310866012015276
"atf6 vs ctrl | 35C | 24hpf","s_within_control",23,11,0,49,61.1309319979343,49.0157091987398,11.7614306308681,1.03008070866803,0.136931534232884,4.35681104345269,0,0,0.450532267823701
"atf6 vs ctrl | 35C | 24hpf","s_within_crispant",23,11,0,49,31.6933825157994,49.044006979221,15.1434899889021,-1.14574807234905,0.893053473263368,3.73933623765286,0,0,0.347151505455423
"atf6 vs ctrl | 35C | 24hpf","escaper_vs_control",18,6,0,49,82.2481994642494,48.9925137207975,11.5264719614928,2.88515738853582,0.00399800099950025,5.01718036147341,0,0,0.560431031101066
"atf6 vs ctrl | 35C | 24hpf","severe_vs_control",17,5,0,49,61.3843324649056,49.0073424440105,13.4585261367115,0.919639334587592,0.16591704147926,4.55020426111922,0,0,0.585220046208696
"atf6 vs ctrl | 35C | 24hpf","severe_vs_escaper",11,5,0,49,47.4824800341849,49.0132322801989,11.7004446112212,-0.130828553689829,0.532233883058471,3.8315713592692,0,0,0.747394793339019
"atf6 vs ctrl | 35C | 30hpf","binary_z",20,11,1,56,53.4389850660989,55.9969754468721,11.0957386160161,-0.230538089377924,0.56271864067966,5.26105467423405,0,0,0.553512234870448
"atf6 vs ctrl | 35C | 30hpf","s_z",20,11,1,56,49.3380636998204,55.9930158563569,10.6753108979543,-0.623396566165745,0.723138430784608,5.17978563541901,0,0,0.285319295770588
"atf6 vs ctrl | 35C | 30hpf","hinge_z",20,11,1,56,53.3992084529953,55.9982038182612,11.1483453154327,-0.233128351493394,0.576711644177911,5.10602956823125,0,0,0.297521567605541
"atf6 vs ctrl | 35C | 30hpf","s_within_control",20,11,1,56,47.4578984017541,56.0184508600492,11.6221992075975,-0.736569069707476,0.744627686156922,3.639726055932,0,0,0.309542776753525
"atf6 vs ctrl | 35C | 30hpf","s_within_crispant",20,11,1,56,62.5181636320646,56.0103129037124,10.5354702289003,0.617708615463619,0.262368815592204,4.15763915353491,0,0,0.610487104965121
"atf6 vs ctrl | 35C | 30hpf","escaper_vs_control",15,6,1,56,62.0532122515815,55.9929254292247,11.253499330177,0.538524653047758,0.280359820089955,4.68678773142801,2,2,1.58052920194335
"atf6 vs ctrl | 35C | 30hpf","severe_vs_control",14,5,1,56,45.1314889662303,56.0016261768218,11.826160266885,-0.919160316221101,0.821089455272364,4.40530851641209,0,0,0.673935113979674
"atf6 vs ctrl | 35C | 30hpf","severe_vs_escaper",11,5,1,56,52.6281701893735,55.9948944594189,10.3986512339189,-0.323765476340204,0.598700649675162,3.98373246409439,0,0,1.45886035142768
"atf6 vs ctrl | 35C | 36hpf","binary_z",23,12,1,76,108.245418199886,76.024345614891,18.025360149542,1.78754112637322,0.0524737631184408,6.00885536594682,1,1,0.35658952576365
"atf6 vs ctrl | 35C | 36hpf","s_z",23,12,1,76,77.9163856798306,75.987293408925,18.3043686624639,0.105389719059885,0.391804097951024,5.56542303403398,0,0,0.31795814612158
