"contrast","arm","norm","norm_binary","cosine_to_binary","parallel_component","orthogonal_component"
"atf6 vs ctrl | 24C | 24hpf","binary_z",9.04951043140571,9.04951043140571,1,9.04951043140571,0
"ctcf vs ctrl | 28C | 24hpf","hinge_z",7.27041675626929,11.7407916889762,0.11905463081874,0.865576782816023,7.21870740803997
"ctcf vs ctrl | 28C | 30hpf","binary_z",13.5236655621671,13.5236655621671,1,13.5236655621671,0
"ctcf vs ctrl | 28C | 30hpf","s_z",11.5168853083684,13.5236655621671,0.929401590311771,10.7038115210359,4.25053715761337
"ctcf vs ctrl | 28C | 30hpf","hinge_z",11.4319181232764,13.5236655621671,0.930579082861647,10.638303882508,4.18512156104345
"ctcf vs ctrl | 28C | 36hpf","binary_z",18.0036687550687,18.0036687550687,1,18.0036687550687,0
"ctcf vs ctrl | 28C | 36hpf","s_z",17.024568196329,18.0036687550687,0.920109968419772,15.6644749054846,6.66784434483159
"ctcf vs ctrl | 28C | 36hpf","hinge_z",16.4702911606363,18.0036687550687,0.909927385179326,14.9867689689399,6.83134297102354
"ctcf vs ctrl | 34C | 24hpf","binary_z",10.7829383581838,10.7829383581838,1,10.7829383581838,0
"ctcf vs ctrl | 34C | 24hpf","s_z",9.1742217068817,10.7829383581838,0.788341518380812,7.23241987036532,5.64432872410565
"ctcf vs ctrl | 34C | 24hpf","hinge_z",9.04236515505355,10.7829383581838,0.760671471737162,6.87826921047941,5.86973425850757
"ctcf vs ctrl | 34C | 30hpf","binary_z",16.3652925898735,16.3652925898735,1,16.3652925898735,0
"ctcf vs ctrl | 34C | 30hpf","s_z",16.5788080202268,16.3652925898735,0.949483307747509,15.7413014775559,5.20272074632436
"ctcf vs ctrl | 34C | 30hpf","hinge_z",16.4783266449768,16.3652925898735,0.951600508848503,15.6807840203317,5.06441127143722
"ctcf vs ctrl | 34C | 36hpf","binary_z",22.0221805133986,22.0221805133986,1,22.0221805133986,0
"ctcf vs ctrl | 34C | 36hpf","s_z",20.1504181015274,22.0221805133986,0.938099644438292,18.9031000563258,6.9794095686454
"ctcf vs ctrl | 34C | 36hpf","hinge_z",19.8833612054351,22.0221805133986,0.945600913403411,18.8017245173894,6.46863262196896
"ctcf vs ctrl | 35C | 24hpf","binary_z",11.7467922982638,11.7467922982638,1,11.7467922982638,0
"ctcf vs ctrl | 35C | 24hpf","s_z",9.38576399697909,11.7467922982638,0.856241706886574,8.03648258520793,4.84845475018985
"ctcf vs ctrl | 35C | 24hpf","hinge_z",8.80592603290046,11.7467922982638,0.838687067358968,7.38541627991328,4.79582731854535
"ctcf vs ctrl | 35C | 30hpf","binary_z",14.1971263729036,14.1971263729036,1,14.1971263729036,0
"ctcf vs ctrl | 35C | 30hpf","s_z",13.3894560143699,14.1971263729036,0.9090444390967,12.1716105323929,5.57937536006411
"ctcf vs ctrl | 35C | 30hpf","hinge_z",13.9376567020585,14.1971263729036,0.895580921426263,12.4822994317524,6.20084471991581
"ctcf vs ctrl | 35C | 36hpf","binary_z",21.922820156446,21.922820156446,1,21.922820156446,2.38418579101562e-07
"ctcf vs ctrl | 35C | 36hpf","s_z",14.4376321140418,21.922820156446,0.897105892150439,12.9520848382073,6.37877099481492
"ctcf vs ctrl | 35C | 36hpf","hinge_z",13.4055007530382,21.922820156446,0.860846852447545,11.5400831287361,6.82157839664454
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","binary_z",11.2558057329043,11.2558057329043,1,11.2558057329043,0
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","s_z",10.8084196297197,11.2558057329043,0.868625017157795,9.38846368631395,5.35524831383897
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","hinge_z",11.6700470685418,11.2558057329043,0.873770692300373,10.1969451062577,5.67558887534571
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","binary_z",7.63348234476167,7.63348234476167,1,7.63348234476167,0
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","s_z",7.23084868498225,7.63348234476167,0.765671353506625,5.53645369963196,4.65111310730466
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","hinge_z",7.52458693086173,7.63348234476167,0.763799206514039,5.7472735271381,4.85677418502783
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","binary_z",12.1079770805079,12.1079770805079,1,12.1079770805079,0
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","s_z",10.9077661213572,12.1079770805079,0.96988921520625,10.5793247230965,2.65654854303626
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","hinge_z",10.7892066453079,12.1079770805079,0.969075884689972,10.4555599749047,2.66237594008201
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","binary_z",11.7224691458713,11.7224691458713,1,11.7224691458713,0
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","s_z",9.68296672447729,11.7224691458713,0.764371073308586,7.40137966800002,6.2433503503688
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","hinge_z",8.79901416793237,11.7224691458713,0.745377936860048,6.55859102689576,5.86579355836846
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","binary_z",10.6791443741174,10.6791443741174,1,10.6791443741174,0
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","s_z",8.94389082535792,10.6791443741174,0.88567180458952,7.9213519273464,4.15275411492747
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","hinge_z",8.64262575715211,10.6791443741174,0.886219405321928,7.65926265892332,4.00383260137234
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","binary_z",17.9367990865563,17.9367990865563,1,17.9367990865563,0
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","s_z",15.4698457346709,17.9367990865563,0.935891736420795,14.4781007867829,5.449837122545
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","hinge_z",15.4595805102062,17.9367990865563,0.944193984561485,14.5968429215807,5.09222999031344
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","binary_z",11.7007707120262,11.7007707120262,1,11.7007707120262,0
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","s_z",10.8554827808014,11.7007707120262,0.714447651162409,7.7556741749775,7.59546078232662
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","hinge_z",10.9523839061628,11.7007707120262,0.679733098078431,7.44469784388038,8.03313060028881
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","binary_z",13.6743524243079,13.6743524243079,1,13.6743524243079,0
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","s_z",12.3811184812798,13.6743524243079,0.788316185525806,9.76023609370558,7.61773498112241
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","hinge_z",12.0553890403537,13.6743524243079,0.733350833678342,8.84082960306012,8.19586095806509
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","binary_z",19.7281839819024,19.7281839819024,1,19.7281839819024,0
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","s_z",16.4429526253309,19.7281839819024,0.927896101619351,15.2573516401562,6.13057191194253
