contrast,target,temperature,timepoint,n_crispant,n_control,loo_auc,perm_p_auc,q_auc,null_auc_p95,separation,hotelling_p,boot_angle_p95,random_angle_median,rank_rho_median,random_rank_rho_median,q_rank,top_retention_median,log_sd_ratio,angle_to_stage,shrinkage,usable,usable_ordinal,rank_stable,stage_confounded
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,10,12,0.675,0.1398601398601398,0.2288620470438652,0.75,1.3096336089672391,0.2057245803676271,56.05096406259571,69.45010570102967,0.8898927159796726,0.4624505928853756,0.0809999999999999,0.875,0.5136429130776621,39.82063723084803,0.4175786099930143,False,False,True,False
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","wfs1a,wfs1b",28.0,24.0,11,11,0.6033057851239669,0.2317682317682317,0.3337462537462537,0.7355371900826446,1.255436436200212,0.2042782696862159,57.2725584384557,69.45010570102967,0.7820440429136083,0.4630152456239413,0.1986206896551724,0.75,0.5680331319596639,80.0424199595158,0.1666774886082071,False,False,False,False
atf6 vs ctrl | 28C | 30hpf,atf6,28.0,30.0,11,12,0.5681818181818182,0.3416583416583416,0.4377691274242998,0.7348484848484849,1.1946505479951697,0.2317530149469437,59.93859463414142,69.45010570102967,0.8171936758893281,0.4347826086956521,0.1835999999999999,0.75,1.0690416403480452,84.30369987089405,0.2654520606476589,False,False,False,False
ctcf vs ctrl | 28C | 30hpf,ctcf,28.0,30.0,11,12,0.9545454545454546,0.0009990009990009,0.0071928071928071,0.7348484848484849,2.174334486530088,0.006827293547789,45.35952969701481,69.45010570102967,0.9599802371541504,0.4960474308300395,0.054,1.0,1.2090530117104128,52.63117787406482,0.1754563110844939,True,True,True,False
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","wfs1a,wfs1b",28.0,30.0,12,12,0.8611111111111112,0.0009990009990009,0.0071928071928071,0.7086805555555553,1.6622866236707716,0.0359003840386224,36.72985719382778,69.45010570102967,0.9808695652173912,0.4978260869565216,0.05,1.0,0.9870227357578828,35.80005196218222,0.3181224231739363,True,True,True,False
atf6 vs ctrl | 28C | 36hpf,atf6,28.0,36.0,10,11,0.4818181818181818,0.5714285714285714,0.6635944700460829,0.7545454545454545,0.9073727273252882,0.1596998304968123,59.14136556772064,69.45010570102967,0.7006493506493505,0.4733766233766233,0.2918181818181818,0.7142857142857143,0.5570840345012327,85.26836511655772,0.3234706611135615,False,False,False,False
ctcf vs ctrl | 28C | 36hpf,ctcf,28.0,36.0,12,11,0.8484848484848485,0.0049950049950049,0.0163472890745618,0.7272727272727273,1.8458456972689403,0.0207807529610961,52.96126098230607,69.45010570102967,0.983201581027668,0.5419960474308301,0.045,0.875,1.3151955906062371,35.28391091096392,0.1989610667798003,True,True,True,False
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","wfs1a,wfs1b",28.0,36.0,12,11,0.8106060606060606,0.0129870129870129,0.0359640359640359,0.7272727272727273,1.596323989191815,0.0728946614917607,48.56713583265306,69.45010570102967,0.9673913043478262,0.5009881422924901,0.0741176470588235,0.875,0.8127832092183185,54.801593239226335,0.3679353731910915,True,True,True,False
atf6 vs ctrl | 34C | 24hpf,atf6,34.0,24.0,12,12,0.7430555555555556,0.0579420579420579,0.109784951890215,0.75,1.4818414045561648,0.1633688067796749,66.66278346391093,69.45010570102967,0.9369565217391302,0.5052173913043477,0.0741176470588235,0.875,0.5600185345992845,56.10712876978832,0.328075392562466,False,False,True,False
ctcf vs ctrl | 34C | 24hpf,ctcf,34.0,24.0,12,12,0.8958333333333334,0.0019980019980019,0.0079920079920079,0.7222222222222222,1.6259208036084072,0.0469356794800911,45.0469280569067,69.45010570102967,0.952173913043478,0.3869565217391304,0.045,1.0,1.1476127043315016,89.5516853691018,0.5471137463667599,True,True,True,False
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","wfs1a,wfs1b",34.0,24.0,12,12,0.8958333333333334,0.0009990009990009,0.0071928071928071,0.7361111111111112,2.139687150966968,0.0183381047552898,45.84985509629208,69.45010570102967,0.9752173913043478,0.4282608695652173,0.0,0.875,1.089678963225006,78.1388026367424,0.6615677641960237,True,True,True,False
atf6 vs ctrl | 34C | 30hpf,atf6,34.0,30.0,12,12,0.0208333333333333,0.996003996003996,0.996003996003996,0.7222222222222222,0.3672026935171555,0.8716494198274551,85.77593233869327,69.45010570102967,0.2565217391304347,0.528695652173913,0.7425,0.5,1.2124135463217982,79.7873158993228,0.5520558536643682,False,False,False,False
ctcf vs ctrl | 34C | 30hpf,ctcf,34.0,30.0,12,12,0.8888888888888888,0.0019980019980019,0.0079920079920079,0.7291666666666666,2.353569034799857,0.0027679578619972,42.9865331368526,69.45010570102967,0.977391304347826,0.5939130434782609,0.0741176470588235,1.0,0.3282430973772106,26.930093070279263,0.1568612595560714,True,True,True,True
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","wfs1a,wfs1b",34.0,30.0,12,12,0.7361111111111112,0.0389610389610389,0.0825057295645531,0.7222222222222222,1.4044813746256954,0.1654348174262506,71.06777018487621,69.45010570102967,0.9556521739130434,0.5826086956521739,0.0985714285714285,0.875,0.3602734933886974,45.61391627167013,0.2059956788502399,False,True,True,False
atf6 vs ctrl | 34C | 36hpf,atf6,34.0,36.0,11,12,0.8484848484848485,0.0019980019980019,0.0079920079920079,0.7196969696969697,1.6620718372386485,0.0416470644739461,42.63190456295236,69.45010570102967,0.9901185770750988,0.4723320158102767,0.045,0.875,0.6503566387282717,35.20489054271626,0.1739261922797236,True,True,True,False
ctcf vs ctrl | 34C | 36hpf,ctcf,34.0,36.0,11,12,0.8636363636363636,0.0029970029970029,0.0107892107892107,0.7348484848484849,1.97740975773786,0.0450075601227383,54.84688220355567,69.45010570102967,0.981225296442688,0.4654150197628459,0.05,1.0,1.5338291608628805,45.8636883517129,0.3737348957260899,True,True,True,False
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","wfs1a,wfs1b",34.0,36.0,12,12,0.8263888888888888,0.0089910089910089,0.0269730269730269,0.7222222222222222,1.6540123724527007,0.0728389466234182,57.16787767905473,69.45010570102967,0.9713043478260868,0.4826086956521738,0.0572727272727272,0.875,1.2676118386877484,32.68182329413256,0.2671498195202504,True,True,True,True
atf6 vs ctrl | 35C | 24hpf,atf6,35.0,24.0,11,12,0.5454545454545454,0.4085914085914086,0.4903096903096903,0.7424242424242424,0.7924842771744139,0.4461075777798415,79.7097364513376,69.45010570102967,0.7811264822134387,0.492094861660079,0.225,0.75,0.2974463911569237,78.83613346372078,0.2815700554845869,False,False,False,False
ctcf vs ctrl | 35C | 24hpf,ctcf,35.0,24.0,12,12,0.625,0.2057942057942058,0.3086913086913087,0.7291666666666666,1.0841437256679396,0.0555791403062356,46.59768397738386,69.45010570102967,0.7913043478260868,0.4930434782608694,0.1986206896551724,0.75,0.6628755388386436,81.39054846009908,0.3159670194994859,False,False,False,False
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","wfs1a,wfs1b",35.0,24.0,9,12,0.3518518518518518,0.7762237762237763,0.8467895740623014,0.7407407407407407,0.5572388589396937,0.7308462805613938,80.87576172392637,69.45010570102967,0.6532467532467533,0.4506493506493507,0.2918181818181818,0.5714285714285714,-0.4335314519954839,83.49574590578668,0.4743030011218432,False,False,False,False
