"contrast","arm","cell_type","logFC","logCPM","F","p_value","q_value","score_z"
"atf6 vs ctrl | 24C | 24hpf","pooled_pc1","ecto-epithelial cell, non-neural ectoderm",-0.0119637358483652,15.786061651583,0.0449506410735052,0.8321488189022,0.955291659182872,-0.267012145513882
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","pooled_pc1","radial glial cell, telencephalon",0.0787883642163634,13.677824491586,1.21396158469235,0.270817288297353,0.855526712023751,1.1964858729969
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","pooled_pc1","retinal pigment epithelial cell, pigmented layer of retina",0.0227061387148309,13.4353119944215,0.079235896967173,0.778394525582389,0.921880170154717,0.338984475610795
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","pooled_pc1","retinal progenitor cell, retina",-0.0367592083288777,15.888170512407,0.419820058373622,0.517177383367828,0.855526712023751,-0.84413534543733
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","pooled_pc1","retinal progenitor cell, retina (atoh7+)",-0.0149176182037132,15.2124045127397,0.0218850316681941,0.882423537673478,0.921880170154717,-0.201512960547225
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","pooled_pc1","slow muscle cell, slow muscle tissue",-0.0756011795422406,13.2214927488024,0.647575824512449,0.421174319470482,0.855526712023751,-0.756403943186608
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","pooled_pc1","syncytial cell, yolk sac",0.116450591534163,12.6926882210002,0.418709218740058,0.517732127317074,0.855526712023751,0.761970909912371
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","pooled_pc1","syncytial cell, yolk sac (10 hpf)",0.0541315642643362,12.3222709314022,0.187175913288398,0.665371965995221,0.887162621326961,0.442641837867584
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","dopaminergic neuron, locus coeruleus",0.0520716129169788,13.3163788926467,0.206535437950315,0.649686196329777,0.893003068694039,0.671581539251421
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","ectodermal cell, otic vesicle protrusion",-0.182006382039572,12.6393933497067,1.55031282081891,0.213650068371712,0.584726502912055,-1.42021705419155
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","endodermal cell, pharyngeal pouch",0.0354985853376017,13.7720021800863,0.0940655832926452,0.759193640712427,0.897228848114686,0.0901948485668538
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","endothelial cell, blood vessel endothelium",0.0672440453792259,12.5443161020905,0.194848384117958,0.659095102379714,0.893003068694039,0.3200122592787
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","endothelial cell, lymph vessel endothelium",-0.0383042279330719,12.8126052167327,0.0735744653453643,0.786309375369763,0.89887184147926,-0.284730932530886
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","ependymal cell, spinal cord",0.297027118641341,13.3043252041716,4.9911858583703,0.0259010252088345,0.269370662171879,1.92467381501792
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","ependymoglial cell, floor plate",0.247374197672076,12.6457595577284,2.35903495454464,0.125167430195077,0.464907597867429,1.92507195246095
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","epidermal mucus secreting cell, pharynx",-0.461744196842708,12.4321043321051,6.47407097699723,0.0112339836204122,0.194722382753811,-2.35615519441726
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","epithelial cell, median fin fold (includes pectoral)",-0.429506793943724,13.6531732865077,6.65323005692254,0.0101711095307293,0.194722382753811,-2.72289309834041
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","epithelial cell, pharyngeal epithelium",-0.133074272846188,15.6223261657707,1.8028153013691,0.179958321155159,0.580960738251689,-1.70645193123288
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","fast muscle cell, fast muscle tissue",-0.0348910287710999,15.1376295876875,0.122017402829801,0.726998079268558,0.893003068694039,-0.479019737093329
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","GABAergic neuron, forebrain",0.164193341476822,14.2478310057544,3.03272694170895,0.0821921267314772,0.395089674372408,1.92349605756459
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","GABAergic neuron, tegmentum (midbrain-hindbrain boundary)",-0.151549525513992,12.4939576951261,0.925111322462937,0.336583509504672,0.714279914585502,-0.928098317239528
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","glial cell, optic stalk",-0.0301278939781195,12.3745571640118,0.0372590970283069,0.847013850624687,0.89887184147926,-0.255193327517844
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","glutamatergic neuron, forebrain",0.0579681007837319,13.8677833831355,0.273587280721873,0.60115828078128,0.893003068694039,0.489870369748193
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","glutamatergic neuron, hindbrain (anterior)",-0.142972353616456,12.5082530750044,0.712369959640543,0.399046273218514,0.798092546437029,-0.450112180799687
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","glutamatergic neuron, medulla oblongata (phox2bb+)",0.0316421590253008,12.4069027363769,0.0466494560145858,0.829084251817626,0.89887184147926,0.354382428963796
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","glutamatergic neuron, spinal cord",-0.0739526459238895,13.0448275006891,0.397509478337722,0.528655251472797,0.839701792171877,-0.794361448516277
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","hatching gland cell, hatching gland",0.107570714661341,12.5177901063097,0.498507739843381,0.480472743703623,0.839701792171877,0.806624921982975
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","inhibitory interneuron, spinal cord",-0.0228523868814515,13.3669370175025,0.0437616736533347,0.834379571469629,0.89887184147926,-0.214814034099542
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","lens fiber cell, lens of camera-type eye",0.176388540933814,12.511811161849,1.15475502939854,0.28305433068304,0.672136220722767,0.873026393339587
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","mesenchymal cell, median fin fold",-0.211329960864275,12.6963493352668,1.90237899377435,0.168405169068192,0.580960738251689,-1.38785615789991
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","mesenchymal cell, periocular mesenchyme",0.0935130841318731,13.0619252257422,0.389401772683486,0.532887675801384,0.839701792171877,0.668911079504527
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","mesenchymal cell, pharyngeal arch",0.063520909842577,14.7193192945392,0.511931241288323,0.474625165529373,0.839701792171877,0.539669341163741
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","mesenchymal cell, sclerotome",-0.125862145873944,12.3283088334936,0.589579789125759,0.442930183150092,0.839701792171877,-0.940605314709431
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","mesenchymal cell, ventral mesenchyme (rhag+)",-0.0516595133385978,13.6126656768259,0.139979638226702,0.708453763595751,0.893003068694039,-0.438466165266192
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","mesodermal cell, craniocervical region",0.0477283190021154,12.930655374908,0.127083011446604,0.721620453048688,0.893003068694039,0.434276011991387
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","mesodermal cell, pharyngeal arch (tcf21+)",0.261904260489729,12.7904316096236,2.92304979402768,0.0879192500595021,0.395089674372408,1.5450944226958
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","mesodermal cell, somite",0.018083649687751,13.6452588177738,0.0231792258557382,0.879050978811158,0.914213017963604,0.187359904960307
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","neural crest cell, trunk neural crest (delaminating)",-0.0624257208448802,13.3849352864039,0.277381901078893,0.598646948535362,0.893003068694039,-0.596652733721876
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","neural progenitor cell, hindbrain",0.248084505621407,15.9773206617523,3.73758353981031,0.0537438252594979,0.349334864186736,1.34189719450167
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","neural progenitor cell, midbrain (ank1a+)",0.0842836609419,14.492124113026,0.899323001000347,0.343403805089184,0.714279914585502,1.0458074598771
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","neural progenitor cell, midbrain-hindbrain boundary",0.169885874238636,13.8781300303121,2.63861060045252,0.104900670987938,0.419602683951753,2.50134927745016
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","neuroblast (sensu Vertebrata), hindbrain",0.0364618445130532,13.8448915917105,0.111617451049249,0.738444845266225,0.893003068694039,0.427807749496416
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","neuroblast (sensu Vertebrata), midbrain",-0.131831913475736,13.6531570618256,0.938185383575919,0.333195237066937,0.714279914585502,-0.701249633773847
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","neuroblast (sensu Vertebrata), midbrain (ank1a+)",-0.465856478079745,13.5945799893551,1.59498654174607,0.207181145775878,0.584726502912055,-0.6291438846424
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","neuroblast (sensu Vertebrata), spinal cord",0.0210938501575662,16.1262465075866,0.0626741252298376,0.802417111455543,0.89887184147926,0.562160876745365
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","neuroblast (sensu Vertebrata), spinal cord (SMNs)",0.00236517021602777,13.0066173288139,0.000341271497689129,0.985268175841774,0.985268175841774,0.0798496185832619
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","neuron, olfactory placode",-0.0533174534160332,12.506586052322,0.123217392865374,0.725712999203241,0.893003068694039,-0.470838792065019
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","peridermal cell, periderm (24-72 hpf)",-0.434453681489239,15.0299665252317,11.2354963627382,0.00086087319263473,0.0447654060170059,-2.7384616664118
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","peridermal cell, periderm (muc13a+)",-0.208090411475631,12.7644160017825,1.38883290189315,0.239141284657856,0.621767340110426,-0.953128292165496
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","radial glial cell, diencephalon",0.244017039447399,13.3919751564514,3.28454832024588,0.0705114754629778,0.395089674372408,1.73008184410576
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","radial glial cell, hindbrain",-0.295628412766787,13.4304990934782,1.72266417171565,0.189929472120745,0.580960738251689,-0.91360191546694
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","radial glial cell, midbrain",0.161583417160655,14.5843258539639,2.86411511257423,0.0911745402397865,0.395089674372408,1.74546297681485
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","radial glial cell, spinal cord",-0.181964091368679,15.6389198380276,3.96908961138201,0.0468652184706276,0.348141622924662,-1.56542977085171
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","radial glial cell, telencephalon",0.115088483444429,13.677824491586,1.14847695703365,0.28436532415194,0.672136220722767,1.16422659703718
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1","retinal pigment epithelial cell, pigmented layer of retina",0.074473539547007,13.4353119944215,0.452471197992326,0.501462546754972,0.839701792171877,0.648968243047106
