k_lower,dimension,stratum,rows,too_small_rows,eligible_rows,row_recovery_vs_k0.90
0.7,chem_perturbation_raw,fgf_i_13,113,36,62,33
0.7,chem_perturbation_raw,hsp90,216,20,182,4
0.7,chem_perturbation_raw,hsp90_i_6,188,29,129,2
0.7,chem_perturbation_raw,mTOR_i_6,183,37,127,21
0.7,chem_perturbation_raw,mTor,225,16,187,36
0.7,chem_perturbation_raw,nfkb_i_6,86,15,46,3
0.7,chem_perturbation_raw,notch_i_6,72,14,49,0
0.7,chem_perturbation_raw,pi3k_hi_i_6,43,0,36,0
0.7,chem_perturbation_raw,pi3k_i_6,8,4,0,0
0.7,chem_perturbation_raw,pi3k_lo_i_6,44,0,32,0
0.7,chem_perturbation_raw,ra_hi_i_6,44,0,40,0
0.7,chem_perturbation_raw,ra_i_6,70,15,48,6
0.7,chem_perturbation_raw,ra_lo_i_6,43,0,41,0
0.7,chem_perturbation_raw,shh_i_6,113,6,93,1
0.7,chem_perturbation_raw,sphase_i_13,37,4,26,1
0.7,chem_perturbation_raw,tgfb_hi_i_6,43,0,39,0
0.7,chem_perturbation_raw,tgfb_i_13,70,11,46,10
0.7,chem_perturbation_raw,tgfb_lo_i_6,40,0,38,0
0.7,chem_perturbation_raw,tri_0,1582,849,139,13
0.7,chem_perturbation_raw,tri_1-15,1469,1046,256,10
0.7,chem_perturbation_raw,tri_1-20,2486,1814,347,14
0.7,chem_perturbation_raw,tri_1-25,2471,1323,501,23
0.7,chem_perturbation_raw,tri_1-30,2481,1386,539,39
0.7,chem_perturbation_raw,tri_1-35,2711,1795,582,30
0.7,chem_perturbation_raw,tri_1-40,2372,1198,586,43
0.7,chem_perturbation_raw,unavailable,502588,155685,186399,10973
0.7,chem_perturbation_raw,wnt_i_11,26,2,24,0
0.7,chem_perturbation_raw,wnt_i_12,25,1,24,0
0.7,chem_perturbation_raw,wnt_i_13,225,26,178,28
0.7,chem_perturbation_raw,wnt_i_13_13,9,1,6,0
0.7,chem_perturbation_raw,wnt_i_14,24,0,24,0
0.7,temperature_raw,19.0,50,2,33,8
0.7,temperature_raw,22.0,44097,10717,23951,802
0.7,temperature_raw,24.0,264,14,229,79
0.7,temperature_raw,25.0,25,1,8,1
0.7,temperature_raw,28.0,569,49,486,11
0.7,temperature_raw,28.5,21966,6818,11912,2628
0.7,temperature_raw,30.0,462687,149688,158237,7886
0.7,temperature_raw,32.0,190,3,160,3
0.7,temperature_raw,33.5,27,3,7,0
0.7,temperature_raw,34.0,794,67,636,55
0.7,temperature_raw,34.2,89,0,87,0
0.7,temperature_raw,34.4,9,0,7,0
0.7,temperature_raw,35.0,777,121,562,37
0.7,temperature_raw,35.1,50,0,48,0
0.7,temperature_raw,unavailable,308,0,266,0
0.7,source_scope,unavailable,531902,167483,196629,11510
0.7,calibration_status,unavailable,531902,167483,196629,11510
0.7,segmentation_backend,sam2_video,20316,6699,10651,2557
0.7,segmentation_backend,unavailable,511586,160784,185978,8953
0.7,snapshot_time_series_declared,unavailable,531902,167483,196629,11510
0.7,applicability,exclusion,531004,167483,195892,11510
0.7,applicability,not_applicable,898,0,737,0
0.75,experiment,20230531,7846,2434,4141,97
0.75,experiment,20230602,8998,3729,3535,88
0.75,experiment,20230613,5421,1159,3695,84
0.75,experiment,20230615,4216,802,2876,109
0.75,experiment,20230620,5460,653,3083,82
0.75,experiment,20230622,3582,634,1944,38
0.75,experiment,20230627,4193,724,2944,113
0.75,experiment,20230629,3918,1282,1183,58
0.75,experiment,20240509_18ss,25,1,24,0
0.75,experiment,20240509_24hpf,32,0,29,0
0.75,experiment,20240510,59,0,57,0
0.75,experiment,20240717,68,3,57,1
0.75,experiment,20240718,99,1,93,0
0.75,experiment,20240724,56,0,56,0
0.75,experiment,20240725,64,5,53,0
0.75,experiment,20240726,60,3,51,2
0.75,experiment,20240813_24hpf,48,0,0,0
0.75,experiment,20240813_30hpf,50,4,0,0
0.75,experiment,20240813_36hpf,50,5,44,6
0.75,experiment,20250501,24718,2747,2320,1
0.75,experiment,20250512,24569,11301,7260,152
0.75,experiment,20250515_part2,3510,831,1410,59
0.75,experiment,20250519,4179,1202,2686,137
0.75,experiment,20250612_24hpf_ctrl_atf6,97,0,94,1
0.75,experiment,20250612_24hpf_wfs1_ctcf,96,1,92,4
0.75,experiment,20250612_30hpf_ctrl_atf6,97,3,90,18
0.75,experiment,20250612_30hpf_wfs1_ctcf,97,1,93,19
0.75,experiment,20250612_36hpf_ctrl_atf6,102,6,89,8
0.75,experiment,20250612_36hpf_wfs1_ctcf,97,3,92,20
0.75,experiment,20250622_chem_28C_T00_1425,91,8,79,3
0.75,experiment,20250622_chem_28C_T01_1658,86,5,78,6
0.75,experiment,20250622_chem_34C_T00_1256,78,1,75,2
0.75,experiment,20250622_chem_34C_T01_1632,79,3,73,4
0.75,experiment,20250624_chem02_28C_T00_1356,104,22,73,16
0.75,experiment,20250624_chem02_28C_T01_1808,97,26,64,19
0.75,experiment,20250624_chem02_34C_T00_1243,78,6,50,12
0.75,experiment,20250624_chem02_34C_T01_1739,75,15,35,13
0.75,experiment,20250624_chem02_35C_T00_1216,81,11,57,8
0.75,experiment,20250624_chem02_35C_T01_1711,84,27,41,12
0.75,experiment,20250625_chem02_28C_T02_1332,96,18,48,2
0.75,experiment,20250625_chem02_34C_T02_1301,82,34,28,5
0.75,experiment,20250625_chem02_35C_T02_1228,84,55,17,3
0.75,experiment,20250703_chem3_28C_T00_1325,61,0,53,0
0.75,experiment,20250703_chem3_34C_T00_1131,58,0,54,0
0.75,experiment,20250703_chem3_34C_T01_1457,59,0,50,0
0.75,experiment,20250703_chem3_35C_T00_1101,65,0,54,0
0.75,experiment,20250703_chem3_35C_T01_1437,58,0,50,0
0.75,experiment,20250711,19723,4250,10508,89
0.75,experiment,20250716_chem4_28C_T00_1158,87,5,76,1
0.75,experiment,20250716_chem4_28C_T01_1400,94,11,74,7
0.75,experiment,20250716_chem4_34C_T00_1014,94,8,85,0
0.75,experiment,20250716_chem4_35C_T00_1045,91,11,77,1
0.75,experiment,20250721_chem5_28C_T00_1257,107,11,92,0
0.75,experiment,20250721_chem5_28C_T01_1401,107,12,93,0
0.75,experiment,20250721_chem5_35C_T00_1023,108,14,89,0
0.75,experiment,20250912,15572,9699,2907,129
0.75,experiment,20251017_part1,6794,605,4092,189
0.75,experiment,20251017_part2,7559,1712,2412,114
0.75,experiment,20251020,5216,2514,1151,27
0.75,experiment,20251112,6991,1786,3497,79
0.75,experiment,20251119,10440,5748,3786,309
0.75,experiment,20251121,20857,3941,7068,46
0.75,experiment,20251125,21934,7272,8672,441
0.75,experiment,20251205,12291,1644,6381,346
0.75,experiment,20251207_pbx,14760,1888,7643,403
0.75,experiment,20251212,11437,2598,4864,220
0.75,experiment,20260122,20098,3344,9586,329
0.75,experiment,20260202,16943,5615,6428,280
0.75,experiment,20260206,14700,864,11968,247
0.75,experiment,20260208,31680,22891,6795,421
0.75,experiment,20260210,15892,924,9515,515
0.75,experiment,20260213,29010,17298,2981,161
0.75,experiment,20260219,31713,16239,7569,546
0.75,experiment,20260228,17012,3590,9394,711
0.75,experiment,20260304,37409,14914,6370,242
0.75,experiment,20260306,26979,9871,6639,262
0.75,experiment,20260319,10269,1504,2668,81
0.75,experiment,20260319_cilia_crispant_18hpf,92,1,55,0
0.75,experiment,20260319_cilia_crispant_24hpf,99,0,69,0
0.75,experiment,20260319_cilia_crispant_30hpf,102,3,80,0
0.75,experiment,20260324_cep290_24hpf_plate01,101,2,91,0
0.75,experiment,20260324_cep290_24hpf_plate02,101,0,74,0
0.75,experiment,20260324_cep290_30hpf_plate01,98,3,91,0
0.75,experiment,20260324_cep290_30hpf_plate02,72,9,55,0
0.75,experiment,20260331_b9d2_18hpf_plate02,70,2,45,0
0.75,experiment,20260414_b9d2_14hpf_plate01,107,4,97,0
0.75,experiment,20260414_b9d2_30hpf_plate01,106,10,93,0
0.75,experiment,20260414_b9d2_30hpf_plate02,72,5,62,3
0.75,experiment,20260415_b9d2_30to48hpf_plate01_t02,109,12,92,1
0.75,experiment,20260415_b9d2_30to48hpf_plate02_t02,58,5,46,4
0.75,experiment,20260415_cep290_18hpf_plate03,81,13,44,2
0.75,experiment,20260415_cep290_30to48hpf_plate02_t01,93,9,52,1
0.75,experiment,20260416_cep290_30to48hpf_plate01_t02,109,13,92,3
0.75,experiment,20260416_cep290_30to48hpf_plate02_t02,70,11,50,1
0.75,experiment,20260417_irx_pilot,4968,196,3742,131
0.75,experiment,20260418_irx_pilot,15251,7037,6537,2147
0.75,experiment,20260702_hotchem_24hpf_plate01,104,8,91,2
0.75,experiment,20260702_hotchem_24hpf_plate02,117,12,94,0
0.75,experiment,20260702_hotchem_30hpf_plate01,124,15,93,14
0.75,experiment,20260702_hotchem_30hpf_plate02,107,10,86,8
0.75,experiment,20260702_hotchem_36hpf_plate01,101,3,93,9
0.75,experiment,20260702_hotchem_36hpf_plate02,99,3,94,7
0.75,experiment,20260724_hotfish_24hpf_plate01,102,0,98,0
0.75,experiment,20260724_hotfish_30hpf_plate01,98,0,92,0
