experiment_order,experiment_id,frame_inventory_present,plate_metadata_present,frame_masks_present,physical_embryo_registry_present,snip_inventory_present,mask_geometry_present,stage_predictions_present,surface_area_qc_present,death_detection_qc_present,mask_quality_qc_present,focus_qc_present,motion_blur_qc_present,snip_qc_present,core_inputs_present,stored_sa_source_present,evaluable
103,20250215,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
104,20250305,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
105,20250415,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
106,20250416,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,20250425,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
108,20250501,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
109,20250512,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
110,20250515_part2,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
111,20250519,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
112,20250711,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
113,20250912,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
114,20251017_part1,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
115,20251017_part2,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
116,20251020,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
117,20251104,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,20251106,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119,20251112,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
120,20251113,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121,20251119,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
122,20251121,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
123,20251125,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
124,20251205,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
125,20251207_pbx,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
126,20251212,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
127,20260122,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
128,20260202,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
129,20260206,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
130,20260208,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
131,20260210,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
132,20260213,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
133,20260219,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
134,20260223,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
135,20260224,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
136,20260228,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
137,20260304,False,True,False,False,True,True,True,False,True,False,False,False,True,True,True,True
138,20260306,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
139,20260319,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
140,20260417_irx_pilot,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True
141,20260418_irx_pilot,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
142,20260724_hotfish_24hpf_plate01,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
143,20260724_hotfish_24hpf_plate02,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
144,20260724_hotfish_30hpf_plate01,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
145,20260724_hotfish_30hpf_plate02,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
146,20260724_hotfish_36hpf_plate01,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
147,20260724_hotfish_36hpf_plate02,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
