stratum,stratum_value,row_count,physical_embryo_count,sa_outlier_rows,too_small_rows,too_large_rows,current_use_snip_rows,mean_normalized_boundary_margin,sa_outlier_fraction,too_small_fraction,too_large_fraction
chem_perturbation,SU6656,32,32,3,0,3,32,0.2949626005536574,0.09375,0.0,0.09375
chem_perturbation,DMSO_24hpf,24,24,2,2,0,24,0.19772257512315008,0.08333333333333333,0.08333333333333333,0.0
chem_perturbation,leflunomide_24hpf,24,24,0,0,0,24,0.28671234035319787,0.0,0.0,0.0
chem_perturbation,oligomycin_24hpf,8,8,0,0,0,8,0.3595630266077629,0.0,0.0,0.0
chem_perturbation,simvastatin_24hpf,16,16,0,0,0,16,0.31700999939947483,0.0,0.0,0.0
chem_perturbation,2-DG_24hpf,24,24,1,1,0,24,0.15477332734332963,0.041666666666666664,0.041666666666666664,0.0
chem_perturbation,rapamycin,24,24,3,3,0,24,0.2152541394776614,0.125,0.125,0.0
chem_perturbation,control_24C,56,56,0,0,0,56,0.22760713870071064,0.0,0.0,0.0
chem_perturbation,treatment_24C,56,56,8,8,0,56,0.12125494662285737,0.14285714285714285,0.14285714285714285,0.0
chem_perturbation,control_28C,56,56,15,15,0,56,0.100006853548031,0.26785714285714285,0.26785714285714285,0.0
chem_perturbation,treatment_28C,56,56,35,35,0,56,-0.09386470204426815,0.625,0.625,0.0
chem_perturbation,control_34C,56,56,1,1,0,56,0.2221220921431922,0.017857142857142856,0.017857142857142856,0.0
chem_perturbation,treatment_34C,56,56,32,32,0,56,-0.02596172039258191,0.5714285714285714,0.5714285714285714,0.0
chem_perturbation,treatment_28C_14hpf_wash,24,24,0,0,0,24,0.4123125538616878,0.0,0.0,0.0
chem_perturbation,control_at_24hpf_28C,72,72,3,3,0,72,0.22032692965315098,0.041666666666666664,0.041666666666666664,0.0
chem_perturbation,treatment_at_24hpf_28C,72,72,8,8,0,72,0.22785543153514187,0.1111111111111111,0.1111111111111111,0.0
chem_perturbation,treatment_14hpf_wash_28C,24,24,0,0,0,24,0.3405920508911037,0.0,0.0,0.0
chem_perturbation,treatment_24hpf_wash_28C,24,24,0,0,0,24,0.2837414050729092,0.0,0.0,0.0
chem_perturbation,treatment_at_30hpf_28C,48,48,12,12,0,48,0.1204966847193978,0.25,0.25,0.0
chem_perturbation,treatment_at_48hpf_28C,24,24,3,3,0,24,0.04660580557522276,0.125,0.125,0.0
chem_perturbation,CP-673451,48,48,0,0,0,48,0.2982772374820429,0.0,0.0,0.0
chem_perturbation,AG1478,48,48,0,0,0,48,0.3122966129202916,0.0,0.0,0.0
chem_perturbation,VRI,48,48,0,0,0,48,0.31204145836671876,0.0,0.0,0.0
chem_perturbation,BGJ398,32,32,4,0,4,32,0.21056215265380132,0.125,0.0,0.125
chem_perturbation,<missing>,288,288,3,3,0,288,0.29533572431843386,0.010416666666666666,0.010416666666666666,0.0
perturbation,ctrl,40,40,15,15,0,40,0.0034849797221097926,0.375,0.375,0.0
perturbation,DMH1,32,32,12,12,0,32,0.019699946462124838,0.375,0.375,0.0
perturbation,LY411575,32,32,15,14,1,32,-0.0060479533530043185,0.46875,0.4375,0.03125
perturbation,SB505124,40,40,12,12,0,40,0.02779652665466234,0.3,0.3,0.0
perturbation,SU5402,40,40,19,18,1,40,-0.013101980147500738,0.475,0.45,0.025
perturbation,2-DG,32,32,0,0,0,32,0.305207662316752,0.0,0.0,0.0
perturbation,DMSO,96,96,8,7,1,96,0.2423668532168146,0.08333333333333333,0.07291666666666667,0.010416666666666666
perturbation,leflunomide,32,32,1,1,0,32,0.29382149800803536,0.03125,0.03125,0.0
perturbation,LY294002,40,40,4,2,2,40,0.2533344138622368,0.1,0.05,0.05
perturbation,oligomycin,32,32,1,1,0,32,0.32174529615443986,0.03125,0.03125,0.0
perturbation,ruxolitibin,8,8,3,3,0,8,0.05740961062650077,0.375,0.375,0.0
perturbation,simvastatin,32,32,0,0,0,32,0.3489526904097554,0.0,0.0,0.0
perturbation,GNE-7883,32,32,0,0,0,32,0.29111897895176997,0.0,0.0,0.0
perturbation,ruxolitinib,24,24,0,0,0,24,0.26269534001469513,0.0,0.0,0.0
perturbation,SU6656,32,32,3,0,3,32,0.2949626005536574,0.09375,0.0,0.09375
perturbation,DMSO_24hpf,24,24,2,2,0,24,0.19772257512315008,0.08333333333333333,0.08333333333333333,0.0
perturbation,leflunomide_24hpf,24,24,0,0,0,24,0.28671234035319787,0.0,0.0,0.0
perturbation,oligomycin_24hpf,8,8,0,0,0,8,0.3595630266077629,0.0,0.0,0.0
perturbation,simvastatin_24hpf,16,16,0,0,0,16,0.31700999939947483,0.0,0.0,0.0
perturbation,2-DG_24hpf,24,24,1,1,0,24,0.15477332734332963,0.041666666666666664,0.041666666666666664,0.0
perturbation,rapamycin,24,24,3,3,0,24,0.2152541394776614,0.125,0.125,0.0
perturbation,control_24C,56,56,0,0,0,56,0.22760713870071064,0.0,0.0,0.0
perturbation,treatment_24C,56,56,8,8,0,56,0.12125494662285737,0.14285714285714285,0.14285714285714285,0.0
perturbation,control_28C,56,56,15,15,0,56,0.100006853548031,0.26785714285714285,0.26785714285714285,0.0
perturbation,treatment_28C,56,56,35,35,0,56,-0.09386470204426815,0.625,0.625,0.0
perturbation,control_34C,56,56,1,1,0,56,0.2221220921431922,0.017857142857142856,0.017857142857142856,0.0
perturbation,treatment_34C,56,56,32,32,0,56,-0.02596172039258191,0.5714285714285714,0.5714285714285714,0.0
perturbation,treatment_28C_14hpf_wash,24,24,0,0,0,24,0.4123125538616878,0.0,0.0,0.0
perturbation,control_at_24hpf_28C,72,72,3,3,0,72,0.22032692965315098,0.041666666666666664,0.041666666666666664,0.0
perturbation,treatment_at_24hpf_28C,72,72,8,8,0,72,0.22785543153514187,0.1111111111111111,0.1111111111111111,0.0
perturbation,treatment_14hpf_wash_28C,24,24,0,0,0,24,0.3405920508911037,0.0,0.0,0.0
perturbation,treatment_24hpf_wash_28C,24,24,0,0,0,24,0.2837414050729092,0.0,0.0,0.0
perturbation,treatment_at_30hpf_28C,48,48,12,12,0,48,0.1204966847193978,0.25,0.25,0.0
perturbation,treatment_at_48hpf_28C,24,24,3,3,0,24,0.04660580557522276,0.125,0.125,0.0
perturbation,CP-673451,48,48,0,0,0,48,0.2982772374820429,0.0,0.0,0.0
perturbation,AG1478,48,48,0,0,0,48,0.3122966129202916,0.0,0.0,0.0
perturbation,VRI,48,48,0,0,0,48,0.31204145836671876,0.0,0.0,0.0
perturbation,BGJ398,32,32,4,0,4,32,0.21056215265380132,0.125,0.0,0.125
perturbation,ctrl-inj,56,56,3,3,0,56,0.29200845150554067,0.05357142857142857,0.05357142857142857,0.0
perturbation,her1,24,24,0,0,0,24,0.2914172429608833,0.0,0.0,0.0
