dimension,stratum,rows,physical_embryos,too_small_rows,too_large_rows,sa_outlier_rows,isolated_sa_only_rows,current_use_snip_rows,sa_outlier_rate,too_small_rate
chem_perturbation_raw,Shh_075,974,11,177,178,355,255,521,0.364476386036961,0.18172484599589322
chem_perturbation_raw,Shh_100,797,9,62,89,151,48,560,0.18946047678795483,0.07779171894604768
chem_perturbation_raw,bmp_i_11,26,26,2,0,2,1,23,0.07692307692307693,0.07692307692307693
chem_perturbation_raw,bmp_i_12,25,25,2,0,2,0,23,0.08,0.08
chem_perturbation_raw,bmp_i_13,225,225,60,7,67,33,150,0.29777777777777775,0.26666666666666666
chem_perturbation_raw,bmp_i_13_13,9,9,1,0,1,0,8,0.1111111111111111,0.1111111111111111
chem_perturbation_raw,bmp_i_14,31,31,9,0,9,3,21,0.2903225806451613,0.2903225806451613
chem_perturbation_raw,dmso,211,211,15,7,22,5,182,0.10426540284360189,0.07109004739336493
chem_perturbation_raw,ethanol_ctrl,1061,12,176,354,530,314,486,0.49952874646559847,0.16588124410933083
chem_perturbation_raw,fgf_i_13,113,113,81,0,81,42,29,0.7168141592920354,0.7168141592920354
chem_perturbation_raw,hsp90,216,216,26,4,30,10,178,0.1388888888888889,0.12037037037037036
chem_perturbation_raw,hsp90_i_6,188,188,36,0,36,16,127,0.19148936170212766,0.19148936170212766
chem_perturbation_raw,mTOR_i_6,183,183,61,8,69,33,106,0.3770491803278688,0.3333333333333333
chem_perturbation_raw,mTor,225,225,53,9,62,38,151,0.27555555555555555,0.23555555555555555
chem_perturbation_raw,nfkb_i_6,86,86,22,3,25,11,43,0.29069767441860467,0.2558139534883721
chem_perturbation_raw,notch_i_6,72,72,17,1,18,2,49,0.25,0.2361111111111111
chem_perturbation_raw,pi3k_hi_i_6,43,43,0,0,0,0,36,0.0,0.0
chem_perturbation_raw,pi3k_i_6,8,8,4,4,8,6,0,1.0,0.5
chem_perturbation_raw,pi3k_lo_i_6,44,44,0,0,0,0,32,0.0,0.0
chem_perturbation_raw,ra_hi_i_6,44,44,0,0,0,0,40,0.0,0.0
chem_perturbation_raw,ra_i_6,70,70,24,1,25,12,42,0.35714285714285715,0.34285714285714286
chem_perturbation_raw,ra_lo_i_6,43,43,0,0,0,0,41,0.0,0.0
chem_perturbation_raw,shh_i_6,113,113,8,0,8,1,92,0.07079646017699115,0.07079646017699115
chem_perturbation_raw,sphase_i_13,37,37,5,0,5,1,25,0.13513513513513514,0.13513513513513514
chem_perturbation_raw,tgfb_hi_i_6,43,43,0,0,0,0,39,0.0,0.0
chem_perturbation_raw,tgfb_i_13,70,70,22,4,26,13,36,0.37142857142857144,0.3142857142857143
chem_perturbation_raw,tgfb_lo_i_6,40,40,0,0,0,0,38,0.0,0.0
