policy,dimension,stratum,rows,eligible_rows,row_recovery_vs_strict,row_loss_vs_strict
strict_exclusion_k0.90,genotype_raw,b9d2_homo,94,81,0,0
strict_exclusion_k0.90,genotype_raw,b9d2_homozygous,19055,8429,0,0
strict_exclusion_k0.90,genotype_raw,b9d2_unknown,18501,3667,0,0
strict_exclusion_k0.90,genotype_raw,b9d2_wildtype,22078,8019,0,0
strict_exclusion_k0.90,genotype_raw,b9d2_wt,72,62,0,0
strict_exclusion_k0.90,genotype_raw,cep290_crispant,13589,6286,0,0
strict_exclusion_k0.90,genotype_raw,cep290_het,301,245,0,0
strict_exclusion_k0.90,genotype_raw,cep290_heterozygous,44838,14963,0,0
strict_exclusion_k0.90,genotype_raw,cep290_homo,119,94,0,0
strict_exclusion_k0.90,genotype_raw,cep290_homozygous,20832,10621,0,0
strict_exclusion_k0.90,genotype_raw,cep290_homozyous,6601,4894,0,0
strict_exclusion_k0.90,genotype_raw,cep290_unknown,35836,7765,0,0
strict_exclusion_k0.90,genotype_raw,cep290_unkown,16825,2644,0,0
strict_exclusion_k0.90,genotype_raw,cep290_wildtype,26022,9505,0,0
strict_exclusion_k0.90,genotype_raw,cep290_wt,147,113,0,0
strict_exclusion_k0.90,genotype_raw,crispr-inj-ctrl,1060,320,0,0
strict_exclusion_k0.90,genotype_raw,crispr-pbx1,3979,1380,0,0
strict_exclusion_k0.90,genotype_raw,crispr-pbx1+4,4880,2843,0,0
strict_exclusion_k0.90,genotype_raw,crispr-pbx4,4841,2697,0,0
strict_exclusion_k0.90,genotype_raw,ctcf,146,118,0,0
strict_exclusion_k0.90,genotype_raw,ctrl-inj,52,46,0,0
strict_exclusion_k0.90,genotype_raw,foxj1a_crispant,2945,896,0,0
strict_exclusion_k0.90,genotype_raw,gdf3,6313,4265,0,0
strict_exclusion_k0.90,genotype_raw,if88_ift74_crispant,2698,838,0,0
strict_exclusion_k0.90,genotype_raw,ift88_crispant,2612,1083,0,0
strict_exclusion_k0.90,genotype_raw,inj-ctrl,1756,1416,0,0
strict_exclusion_k0.90,genotype_raw,irx3a_crispant,1785,1230,0,0
strict_exclusion_k0.90,genotype_raw,irx3a_irx5a_crispant,3313,898,0,0
strict_exclusion_k0.90,genotype_raw,irx3a_irx5a_irx6a_crispant,3096,735,0,0
strict_exclusion_k0.90,genotype_raw,irx3a_irx6a_crispant,3472,762,0,0
strict_exclusion_k0.90,genotype_raw,irx5a_crispant,1836,992,0,0
strict_exclusion_k0.90,genotype_raw,irx5a_irx6a_crispant,3384,849,0,0
strict_exclusion_k0.90,genotype_raw,irx6a_crispant,1758,1285,0,0
strict_exclusion_k0.90,genotype_raw,meox1,25,24,0,0
strict_exclusion_k0.90,genotype_raw,meox1:sox1,26,22,0,0
strict_exclusion_k0.90,genotype_raw,meox1:tbx5a,26,21,0,0
strict_exclusion_k0.90,genotype_raw,nfatc1,8,6,0,0
strict_exclusion_k0.90,genotype_raw,nfatc:gata2a,8,8,0,0
strict_exclusion_k0.90,genotype_raw,pbx1b_crispant,13796,1953,0,0
strict_exclusion_k0.90,genotype_raw,pbx1b_pbx4_crispant,20347,5582,0,0
strict_exclusion_k0.90,genotype_raw,pbx4_crispant,13974,2996,0,0
strict_exclusion_k0.90,genotype_raw,scospondin_crispant,6136,2534,0,0
strict_exclusion_k0.90,genotype_raw,smad5,24,24,0,0
strict_exclusion_k0.90,genotype_raw,smyda:smydb,25,23,0,0
strict_exclusion_k0.90,genotype_raw,sox10,27,22,0,0
strict_exclusion_k0.90,genotype_raw,sox10:tbx5a,26,23,0,0
strict_exclusion_k0.90,genotype_raw,sspo_crispant,36,34,0,0
strict_exclusion_k0.90,genotype_raw,tbx2b,18,13,0,0
strict_exclusion_k0.90,genotype_raw,tbx2b:tbx2a,16,15,0,0
strict_exclusion_k0.90,genotype_raw,tbx5a,25,23,0,0
strict_exclusion_k0.90,genotype_raw,tbx6,25,21,0,0
strict_exclusion_k0.90,genotype_raw,tbxta,8,8,0,0
strict_exclusion_k0.90,genotype_raw,tfap2a_cispant,2205,644,0,0
strict_exclusion_k0.90,genotype_raw,tfap2a_crispant,1390,152,0,0
strict_exclusion_k0.90,genotype_raw,tfap2a_tfap2b_cispant,1260,329,0,0
strict_exclusion_k0.90,genotype_raw,tfap2a_tfap2b_crispant,1598,145,0,0
strict_exclusion_k0.90,genotype_raw,tfap2a_tfap2c_crispant,5765,386,0,0
strict_exclusion_k0.90,genotype_raw,tfap2a_tfap2d_crispant,3215,252,0,0
