policy,stratum,stratum_value,row_count,excluded_rows,physical_embryo_count,excluded_physical_embryos
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM13_shard002,88,0,88,0
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM15_shard001,96,5,96,5
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM15_shard002,96,3,96,3
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM15_shard003,96,0,96,0
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM15_shard004,96,2,96,2
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM15_shard005,48,5,48,5
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM16_shard001,96,27,96,27
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM16_shard002,96,29,96,29
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM16_shard003,96,22,96,22
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM16_shard004,96,0,96,0
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM16_shard005,96,3,96,3
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM16_shard006,96,8,96,8
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM16_shard007,48,0,48,0
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM17_shard001,96,0,96,0
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM17_shard002,96,4,96,4
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_CHEM17_shard003,32,0,32,0
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_GENE10_shard001,96,3,96,3
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_GENE10_shard002,96,0,96,0
candidate_aspect_rescue_v1,experiment_id,20260804_seahub_GENE10_shard003,96,0,96,0
candidate_aspect_rescue_v1,stage_bin,60-72,296,12,296,12
candidate_aspect_rescue_v1,stage_bin,>72,168,5,168,5
candidate_aspect_rescue_v1,stage_bin,<18,400,35,400,35
candidate_aspect_rescue_v1,stage_bin,18-24,376,54,376,54
candidate_aspect_rescue_v1,stage_bin,36-48,424,7,424,7
candidate_aspect_rescue_v1,stage_bin,30-36,88,0,88,0
candidate_aspect_rescue_v1,genotype,ctrl,1464,110,1464,110
candidate_aspect_rescue_v1,genotype,ctrl-inj,56,3,56,3
candidate_aspect_rescue_v1,genotype,her1,24,0,24,0
candidate_aspect_rescue_v1,genotype,"her1,her7",24,0,24,0
candidate_aspect_rescue_v1,genotype,her7,24,0,24,0
candidate_aspect_rescue_v1,genotype,prdm1a,16,0,16,0
candidate_aspect_rescue_v1,genotype,zeb1a,16,0,16,0
candidate_aspect_rescue_v1,genotype,"zeb1a,zeb1b",16,0,16,0
candidate_aspect_rescue_v1,genotype,zeb1b,16,0,16,0
candidate_aspect_rescue_v1,genotype,zeb2a,16,0,16,0
candidate_aspect_rescue_v1,genotype,"zeb2a,zeb2b",16,0,16,0
candidate_aspect_rescue_v1,genotype,zeb2b,16,0,16,0
candidate_aspect_rescue_v1,genotype,"meis1a,1b",8,0,8,0
candidate_aspect_rescue_v1,genotype,"meis2a,2b",8,0,8,0
candidate_aspect_rescue_v1,genotype,meis1a,8,0,8,0
candidate_aspect_rescue_v1,genotype,meis1b,8,0,8,0
candidate_aspect_rescue_v1,genotype,meis2a,8,0,8,0
candidate_aspect_rescue_v1,genotype,meis2b,8,0,8,0
candidate_aspect_rescue_v1,chem_perturbation,ctrl,40,0,40,0
candidate_aspect_rescue_v1,chem_perturbation,DMH1,32,0,32,0
candidate_aspect_rescue_v1,chem_perturbation,LY411575,32,1,32,1
candidate_aspect_rescue_v1,chem_perturbation,SB505124,40,0,40,0
candidate_aspect_rescue_v1,chem_perturbation,SU5402,40,1,40,1
candidate_aspect_rescue_v1,chem_perturbation,2-DG,32,0,32,0
candidate_aspect_rescue_v1,chem_perturbation,DMSO,96,1,96,1
candidate_aspect_rescue_v1,chem_perturbation,leflunomide,32,1,32,1
candidate_aspect_rescue_v1,chem_perturbation,LY294002,40,4,40,4
candidate_aspect_rescue_v1,chem_perturbation,oligomycin,32,1,32,1
candidate_aspect_rescue_v1,chem_perturbation,ruxolitibin,8,3,8,3
candidate_aspect_rescue_v1,chem_perturbation,simvastatin,32,0,32,0
candidate_aspect_rescue_v1,chem_perturbation,GNE-7883,32,0,32,0
candidate_aspect_rescue_v1,chem_perturbation,ruxolitinib,24,0,24,0
candidate_aspect_rescue_v1,chem_perturbation,SU6656,32,3,32,3
candidate_aspect_rescue_v1,chem_perturbation,DMSO_24hpf,24,0,24,0
candidate_aspect_rescue_v1,chem_perturbation,leflunomide_24hpf,24,0,24,0
candidate_aspect_rescue_v1,chem_perturbation,oligomycin_24hpf,8,0,8,0
candidate_aspect_rescue_v1,chem_perturbation,simvastatin_24hpf,16,0,16,0
candidate_aspect_rescue_v1,chem_perturbation,2-DG_24hpf,24,0,24,0
candidate_aspect_rescue_v1,chem_perturbation,rapamycin,24,2,24,2
candidate_aspect_rescue_v1,chem_perturbation,control_24C,56,0,56,0
candidate_aspect_rescue_v1,chem_perturbation,treatment_24C,56,8,56,8
candidate_aspect_rescue_v1,chem_perturbation,control_28C,56,11,56,11
candidate_aspect_rescue_v1,chem_perturbation,treatment_28C,56,32,56,32
candidate_aspect_rescue_v1,chem_perturbation,control_34C,56,0,56,0
candidate_aspect_rescue_v1,chem_perturbation,treatment_34C,56,30,56,30
candidate_aspect_rescue_v1,chem_perturbation,treatment_28C_14hpf_wash,24,0,24,0
candidate_aspect_rescue_v1,chem_perturbation,control_at_24hpf_28C,72,0,72,0
candidate_aspect_rescue_v1,chem_perturbation,treatment_at_24hpf_28C,72,8,72,8
candidate_aspect_rescue_v1,chem_perturbation,treatment_14hpf_wash_28C,24,0,24,0
candidate_aspect_rescue_v1,chem_perturbation,treatment_24hpf_wash_28C,24,0,24,0
candidate_aspect_rescue_v1,chem_perturbation,treatment_at_30hpf_28C,48,0,48,0
candidate_aspect_rescue_v1,chem_perturbation,treatment_at_48hpf_28C,24,0,24,0
candidate_aspect_rescue_v1,chem_perturbation,CP-673451,48,0,48,0
candidate_aspect_rescue_v1,chem_perturbation,AG1478,48,0,48,0
candidate_aspect_rescue_v1,chem_perturbation,VRI,48,0,48,0
candidate_aspect_rescue_v1,chem_perturbation,BGJ398,32,4,32,4
candidate_aspect_rescue_v1,chem_perturbation,<missing>,288,3,288,3
candidate_aspect_rescue_v1,perturbation_domain,chemical,1464,110,1464,110
candidate_aspect_rescue_v1,perturbation_domain,genetic,288,3,288,3
candidate_aspect_rescue_v1,incubation_temperature_c,28.5,1752,113,1752,113
candidate_aspect_rescue_v1,source_scope_resolved,seahub,1752,113,1752,113
candidate_aspect_rescue_v1,calibration_status_resolved,placeholder,1752,113,1752,113
