k_lower,stratum,stratum_value,row_count,flagged_rows,recovered_rows_vs_production,physical_embryo_count,flagged_physical_embryos
0.75,chem_perturbation,treatment_28C_14hpf_wash,24,0,0,24,0
0.75,chem_perturbation,control_at_24hpf_28C,72,0,3,72,0
0.75,chem_perturbation,treatment_at_24hpf_28C,72,0,8,72,0
0.75,chem_perturbation,treatment_14hpf_wash_28C,24,0,0,24,0
0.75,chem_perturbation,treatment_24hpf_wash_28C,24,0,0,24,0
0.75,chem_perturbation,treatment_at_30hpf_28C,48,0,12,48,0
0.75,chem_perturbation,treatment_at_48hpf_28C,24,0,3,24,0
0.75,chem_perturbation,CP-673451,48,0,0,48,0
0.75,chem_perturbation,AG1478,48,0,0,48,0
0.75,chem_perturbation,VRI,48,0,0,48,0
0.75,chem_perturbation,BGJ398,32,4,0,32,4
0.75,chem_perturbation,<missing>,288,0,3,288,0
0.75,perturbation_domain,chemical,1464,73,147,1464,73
0.75,perturbation_domain,genetic,288,0,3,288,0
0.75,incubation_temperature_c,28.5,1752,73,150,1752,73
0.75,source_scope_resolved,seahub,1752,73,150,1752,73
0.75,calibration_status_resolved,placeholder,1752,73,150,1752,73
0.75,segmentation_backend,sam2_image_precomputed,1752,73,150,1752,73
0.75,acquisition_mode,snapshot,1752,73,150,1752,73
0.75,surface_area_qc_applicability,diagnostic_only,1752,73,150,1752,73
0.8,experiment_id,20260804_seahub_CHEM13_shard001,96,7,34,96,7
0.8,experiment_id,20260804_seahub_CHEM13_shard002,88,3,29,88,3
0.8,experiment_id,20260804_seahub_CHEM15_shard001,96,0,5,96,0
0.8,experiment_id,20260804_seahub_CHEM15_shard002,96,1,2,96,1
0.8,experiment_id,20260804_seahub_CHEM15_shard003,96,0,0,96,0
0.8,experiment_id,20260804_seahub_CHEM15_shard004,96,1,4,96,1
0.8,experiment_id,20260804_seahub_CHEM15_shard005,48,5,4,48,5
0.8,experiment_id,20260804_seahub_CHEM16_shard001,96,10,17,96,10
0.8,experiment_id,20260804_seahub_CHEM16_shard002,96,29,5,96,29
0.8,experiment_id,20260804_seahub_CHEM16_shard003,96,24,0,96,24
0.8,experiment_id,20260804_seahub_CHEM16_shard004,96,0,0,96,0
0.8,experiment_id,20260804_seahub_CHEM16_shard005,96,0,6,96,0
0.8,experiment_id,20260804_seahub_CHEM16_shard006,96,3,8,96,3
0.8,experiment_id,20260804_seahub_CHEM16_shard007,48,0,15,48,0
0.8,experiment_id,20260804_seahub_CHEM17_shard001,96,0,0,96,0
0.8,experiment_id,20260804_seahub_CHEM17_shard002,96,4,0,96,4
0.8,experiment_id,20260804_seahub_CHEM17_shard003,32,0,4,32,0
0.8,experiment_id,20260804_seahub_GENE10_shard001,96,0,3,96,0
0.8,experiment_id,20260804_seahub_GENE10_shard002,96,0,0,96,0
0.8,experiment_id,20260804_seahub_GENE10_shard003,96,0,0,96,0
0.8,stage_bin,60-72,296,10,59,296,10
0.8,stage_bin,>72,168,9,39,168,9
0.8,stage_bin,<18,400,10,25,400,10
0.8,stage_bin,18-24,376,54,7,376,54
0.8,stage_bin,36-48,424,4,6,424,4
0.8,stage_bin,30-36,88,0,0,88,0
0.8,genotype,ctrl,1464,87,133,1464,87
0.8,genotype,ctrl-inj,56,0,3,56,0
0.8,genotype,her1,24,0,0,24,0
0.8,genotype,"her1,her7",24,0,0,24,0
0.8,genotype,her7,24,0,0,24,0
0.8,genotype,prdm1a,16,0,0,16,0
0.8,genotype,zeb1a,16,0,0,16,0
0.8,genotype,"zeb1a,zeb1b",16,0,0,16,0
0.8,genotype,zeb1b,16,0,0,16,0
0.8,genotype,zeb2a,16,0,0,16,0
0.8,genotype,"zeb2a,zeb2b",16,0,0,16,0
0.8,genotype,zeb2b,16,0,0,16,0
0.8,genotype,"meis1a,1b",8,0,0,8,0
0.8,genotype,"meis2a,2b",8,0,0,8,0
0.8,genotype,meis1a,8,0,0,8,0
0.8,genotype,meis1b,8,0,0,8,0
0.8,genotype,meis2a,8,0,0,8,0
0.8,genotype,meis2b,8,0,0,8,0
0.8,chem_perturbation,ctrl,40,2,13,40,2
0.8,chem_perturbation,DMH1,32,1,11,32,1
0.8,chem_perturbation,LY411575,32,1,14,32,1
0.8,chem_perturbation,SB505124,40,1,11,40,1
0.8,chem_perturbation,SU5402,40,5,14,40,5
0.8,chem_perturbation,2-DG,32,0,0,32,0
0.8,chem_perturbation,DMSO,96,1,7,96,1
0.8,chem_perturbation,leflunomide,32,0,1,32,0
0.8,chem_perturbation,LY294002,40,2,2,40,2
0.8,chem_perturbation,oligomycin,32,0,1,32,0
0.8,chem_perturbation,ruxolitibin,8,0,3,8,0
0.8,chem_perturbation,simvastatin,32,0,0,32,0
0.8,chem_perturbation,GNE-7883,32,0,0,32,0
0.8,chem_perturbation,ruxolitinib,24,0,0,24,0
0.8,chem_perturbation,SU6656,32,3,0,32,3
0.8,chem_perturbation,DMSO_24hpf,24,1,1,24,1
0.8,chem_perturbation,leflunomide_24hpf,24,0,0,24,0
0.8,chem_perturbation,oligomycin_24hpf,8,0,0,8,0
0.8,chem_perturbation,simvastatin_24hpf,16,0,0,16,0
0.8,chem_perturbation,2-DG_24hpf,24,0,1,24,0
0.8,chem_perturbation,rapamycin,24,0,3,24,0
0.8,chem_perturbation,control_24C,56,0,0,56,0
0.8,chem_perturbation,treatment_24C,56,1,7,56,1
0.8,chem_perturbation,control_28C,56,4,11,56,4
0.8,chem_perturbation,treatment_28C,56,25,10,56,25
0.8,chem_perturbation,control_34C,56,1,0,56,1
0.8,chem_perturbation,treatment_34C,56,32,0,56,32
0.8,chem_perturbation,treatment_28C_14hpf_wash,24,0,0,24,0
0.8,chem_perturbation,control_at_24hpf_28C,72,0,3,72,0
0.8,chem_perturbation,treatment_at_24hpf_28C,72,3,5,72,3
0.8,chem_perturbation,treatment_14hpf_wash_28C,24,0,0,24,0
0.8,chem_perturbation,treatment_24hpf_wash_28C,24,0,0,24,0
0.8,chem_perturbation,treatment_at_30hpf_28C,48,0,12,48,0
0.8,chem_perturbation,treatment_at_48hpf_28C,24,0,3,24,0
0.8,chem_perturbation,CP-673451,48,0,0,48,0
0.8,chem_perturbation,AG1478,48,0,0,48,0
0.8,chem_perturbation,VRI,48,0,0,48,0
0.8,chem_perturbation,BGJ398,32,4,0,32,4
0.8,chem_perturbation,<missing>,288,0,3,288,0
0.8,perturbation_domain,chemical,1464,87,133,1464,87
0.8,perturbation_domain,genetic,288,0,3,288,0
0.8,incubation_temperature_c,28.5,1752,87,136,1752,87
0.8,source_scope_resolved,seahub,1752,87,136,1752,87
0.8,calibration_status_resolved,placeholder,1752,87,136,1752,87
0.8,segmentation_backend,sam2_image_precomputed,1752,87,136,1752,87
0.8,acquisition_mode,snapshot,1752,87,136,1752,87
0.8,surface_area_qc_applicability,diagnostic_only,1752,87,136,1752,87
0.85,experiment_id,20260804_seahub_CHEM13_shard001,96,14,27,96,14
0.85,experiment_id,20260804_seahub_CHEM13_shard002,88,10,22,88,10
0.85,experiment_id,20260804_seahub_CHEM15_shard001,96,4,1,96,4
0.85,experiment_id,20260804_seahub_CHEM15_shard002,96,2,1,96,2
0.85,experiment_id,20260804_seahub_CHEM15_shard003,96,0,0,96,0
0.85,experiment_id,20260804_seahub_CHEM15_shard004,96,3,2,96,3
0.85,experiment_id,20260804_seahub_CHEM15_shard005,48,5,4,48,5
0.85,experiment_id,20260804_seahub_CHEM16_shard001,96,17,10,96,17
0.85,experiment_id,20260804_seahub_CHEM16_shard002,96,31,3,96,31
0.85,experiment_id,20260804_seahub_CHEM16_shard003,96,24,0,96,24
0.85,experiment_id,20260804_seahub_CHEM16_shard004,96,0,0,96,0
0.85,experiment_id,20260804_seahub_CHEM16_shard005,96,4,2,96,4
0.85,experiment_id,20260804_seahub_CHEM16_shard006,96,7,4,96,7
0.85,experiment_id,20260804_seahub_CHEM16_shard007,48,3,12,48,3
0.85,experiment_id,20260804_seahub_CHEM17_shard001,96,0,0,96,0
0.85,experiment_id,20260804_seahub_CHEM17_shard002,96,4,0,96,4
0.85,experiment_id,20260804_seahub_CHEM17_shard003,32,1,3,32,1
0.85,experiment_id,20260804_seahub_GENE10_shard001,96,0,3,96,0
0.85,experiment_id,20260804_seahub_GENE10_shard002,96,0,0,96,0
0.85,experiment_id,20260804_seahub_GENE10_shard003,96,0,0,96,0
0.85,stage_bin,60-72,296,26,43,296,26
0.85,stage_bin,>72,168,17,31,168,17
0.85,stage_bin,<18,400,21,14,400,21
0.85,stage_bin,18-24,376,57,4,376,57
0.85,stage_bin,36-48,424,8,2,424,8
0.85,stage_bin,30-36,88,0,0,88,0
0.85,genotype,ctrl,1464,129,91,1464,129
0.85,genotype,ctrl-inj,56,0,3,56,0
0.85,genotype,her1,24,0,0,24,0
0.85,genotype,"her1,her7",24,0,0,24,0
0.85,genotype,her7,24,0,0,24,0
0.85,genotype,prdm1a,16,0,0,16,0
0.85,genotype,zeb1a,16,0,0,16,0
0.85,genotype,"zeb1a,zeb1b",16,0,0,16,0
0.85,genotype,zeb1b,16,0,0,16,0
0.85,genotype,zeb2a,16,0,0,16,0
