scope,corpus_dataset_id,gross_embryos,observed_unique_physical_embryos,gross_embryo_timepoints,gross_embryo_z_observations,observed_snip_timepoints,observed_valid_snip_timepoints,qc_evaluated_timepoints,confirmed_usable_timepoints,projected_usable_timepoints,projected_usable_z_observations,pipeline_experiment_count,well_count,exact_well_count,perturbation_condition_count,stage_min_hpf,stage_max_hpf,frame_inventory_fraction,detected_fraction,sequencing_link_fraction,project_name,z_expansion_factor,qc_coverage_fraction,confirmed_retention_rate
Keyence,20250622_chem_28C_T00_1425,82.0,0,82.0,1148.0,0,0,0,0,44.81540808543097,627.4157131960336,1,82,82,1,,,1.0,0.0,,Chemical perturbation,14.0,0.0,
Keyence,20250622_chem_28C_T01_1658,89.0,0,89.0,979.0,0,0,0,0,48.64111365369946,535.052250190694,1,89,89,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250622_chem_34C_T00_1256,90.0,0,90.0,1260.0,0,0,0,0,49.18764302059496,688.6270022883295,1,90,90,1,,,1.0,0.0,,Chemical perturbation,14.0,0.0,
Keyence,20250622_chem_34C_T01_1632,87.0,0,87.0,957.0,0,0,0,0,47.548054919908466,523.0286041189931,1,87,87,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250622_chem_35C_T00_1223_check,82.0,0,82.0,1148.0,0,0,0,0,44.81540808543097,627.4157131960336,1,82,82,1,,,1.0,0.0,,Chemical perturbation,14.0,0.0,
Keyence,20250622_chem_35C_T01_1605,81.0,0,81.0,891.0,0,0,0,0,44.26887871853547,486.95766590389013,1,81,81,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250623_chem_28C_T02_1259,84.0,0,84.0,924.0,0,0,0,0,45.908466819221964,504.9931350114416,1,84,84,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250623_chem_34C_T02_1231,83.0,0,83.0,913.0,0,0,0,0,45.361937452326465,498.98131197559115,1,83,83,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250623_chem_35C_T02_1204,81.0,0,81.0,891.0,0,0,0,0,44.26887871853547,486.95766590389013,1,81,81,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250624_chem02_28C_T00_1356,87.0,0,87.0,957.0,0,0,0,0,47.548054919908466,523.0286041189931,1,87,87,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250624_chem02_28C_T01_1808,89.0,0,89.0,979.0,0,0,0,0,48.64111365369946,535.052250190694,1,89,89,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250624_chem02_34C_T00_1243,80.0,0,80.0,880.0,0,0,0,0,43.72234935163996,480.9458428680397,1,80,80,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250624_chem02_34C_T01_1739,81.0,0,81.0,891.0,0,0,0,0,44.26887871853547,486.95766590389013,1,81,81,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250624_chem02_35C_T00_1216,80.0,0,80.0,880.0,0,0,0,0,43.72234935163996,480.9458428680397,1,80,80,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250624_chem02_35C_T01_1711,81.0,0,81.0,891.0,0,0,0,0,44.26887871853547,486.95766590389013,1,81,81,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250625_chem02_28C_T02_1332,91.0,0,91.0,1001.0,0,0,0,0,49.73417238749046,547.0758962623951,1,91,91,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250625_chem02_34C_T02_1301,83.0,0,83.0,913.0,0,0,0,0,45.361937452326465,498.98131197559115,1,83,83,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250625_chem02_35C_T02_1228,80.0,0,80.0,880.0,0,0,0,0,43.72234935163996,480.9458428680397,1,80,80,1,,,1.0,0.0,,Chemical perturbation,11.0,0.0,
Keyence,20250703_chem3_28C_T00_1325,56.0,0,56.0,840.0,0,0,0,0,30.60564454614798,459.0846681922196,1,56,56,1,,,1.0,0.0,,Chemical perturbation,15.0,0.0,
Keyence,20250703_chem3_34C_T00_1131,56.0,0,56.0,840.0,0,0,0,0,30.60564454614798,459.0846681922196,1,56,56,1,,,1.0,0.0,,Chemical perturbation,15.0,0.0,
Keyence,20250703_chem3_34C_T01_1457,56.0,0,56.0,840.0,0,0,0,0,30.60564454614798,459.0846681922196,1,56,56,1,,,1.0,0.0,,Chemical perturbation,15.0,0.0,
Keyence,20250703_chem3_35C_T00_1101,56.0,0,56.0,840.0,0,0,0,0,30.60564454614798,459.0846681922196,1,56,56,1,,,1.0,0.0,,Chemical perturbation,15.0,0.0,
Keyence,20250703_chem3_35C_T01_1437,56.0,0,56.0,840.0,0,0,0,0,30.60564454614798,459.0846681922196,1,56,56,1,,,1.0,0.0,,Chemical perturbation,15.0,0.0,
Keyence,20250716_chem4_28C_T00_1158,84.0,0,84.0,1092.0,0,0,0,0,45.908466819221964,596.8100686498856,1,84,84,1,,,1.0,0.0,,Chemical perturbation,13.0,0.0,
Keyence,20250716_chem4_28C_T01_1400,83.0,0,83.0,1079.0,0,0,0,0,45.361937452326465,589.705186880244,1,83,83,1,,,1.0,0.0,,Chemical perturbation,13.0,0.0,
Keyence,20250716_chem4_34C_T00_1014,89.0,0,89.0,1246.0,0,0,0,0,48.64111365369946,680.9755911517925,1,89,89,1,,,1.0,0.0,,Chemical perturbation,14.0,0.0,
Keyence,20250716_chem4_35C_T00_1045,83.0,0,83.0,1162.0,0,0,0,0,45.361937452326465,635.0671243325705,1,83,83,1,,,1.0,0.0,,Chemical perturbation,14.0,0.0,
Keyence,20250721_chem5_28C_T00_1257,95.0,0,95.0,1235.0,0,0,0,0,51.92028985507246,674.963768115942,1,95,95,1,,,1.0,0.0,,Chemical perturbation,13.0,0.0,
Keyence,20250721_chem5_28C_T01_1401,95.0,0,95.0,1235.0,0,0,0,0,51.92028985507246,674.963768115942,1,95,95,1,,,1.0,0.0,,Chemical perturbation,13.0,0.0,
Keyence,20250721_chem5_35C_T00_1023,92.0,0,92.0,1196.0,0,0,0,0,50.28070175438596,653.6491228070174,1,92,92,1,,,1.0,0.0,,Chemical perturbation,13.0,0.0,
Keyence,20260319_cilia_crispant_18hpf,89.0,0,89.0,1246.0,0,0,0,0,48.64111365369946,680.9755911517925,1,89,89,1,,,1.0,0.0,,Cilia crispant,14.0,0.0,
Keyence,20260319_cilia_crispant_24hpf,94.0,0,94.0,1316.0,0,0,0,0,51.37376048817696,719.2326468344775,1,94,94,1,,,1.0,0.0,,Cilia crispant,14.0,0.0,
Keyence,20260319_cilia_crispant_30hpf,96.0,0,96.0,1344.0,0,0,0,0,52.46681922196796,734.5354691075515,1,96,96,1,,,1.0,0.0,,Cilia crispant,14.0,0.0,
Keyence,20260320_cilia_crispant_48hpf,96.0,0,96.0,1344.0,0,0,0,0,52.46681922196796,734.5354691075515,1,96,96,4,48.0,48.0,1.0,0.0,,Cilia crispant,14.0,0.0,
Keyence,20260324_cep290_18hpf_24hpf_plate02,96.0,0,96.0,1344.0,0,0,0,0,52.46681922196796,734.5354691075515,1,96,95,2,18.0,24.0,0.9895833333333334,0.0,,CEP290,14.0,0.0,
Keyence,20260324_cep290_18hpf_plate01,96.0,0,96.0,1344.0,0,0,0,0,52.46681922196796,734.5354691075515,1,96,95,2,18.0,18.0,0.9895833333333334,0.0,,CEP290,14.0,0.0,
Keyence,20260324_cep290_24hpf_plate01,102.0,101,102.0,1428.0,101,101,101,91,91.5465293668955,1281.651411136537,1,96,96,2,24.0,24.0,1.0,0.9895833333333334,,CEP290,14.0,0.9901960784313726,0.900990099009901
Keyence,20260324_cep290_24hpf_plate02,103.0,101,103.0,1442.0,101,101,101,74,75.093058733791,1051.302822273074,1,96,96,2,24.0,24.0,1.0,0.9791666666666666,,CEP290,14.0,0.9805825242718447,0.7326732673267327
Keyence,20260324_cep290_30hpf_plate01,99.0,98,99.0,1386.0,98,98,98,91,91.5465293668955,1281.651411136537,1,96,96,2,30.0,30.0,1.0,0.9895833333333334,,CEP290,14.0,0.98989898989899,0.9285714285714286
Keyence,20260324_cep290_30hpf_plate02,104.0,72,104.0,1456.0,72,72,72,55,72.48893974065598,1014.8451563691838,1,96,64,2,30.0,30.0,0.6666666666666666,0.6666666666666666,,CEP290,14.0,0.6923076923076923,0.7638888888888888
