scope,perturbation_domain,atomic_perturbation,corpus_dataset_count,well_count,gross_embryos,observed_unique_physical_embryos,gross_embryo_timepoints,gross_embryo_z_observations,confirmed_usable_timepoints,projected_usable_timepoints,projected_usable_z_observations
SeaHub,genetic,her1,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,her7,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,her9,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,hmx2,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,hmx3a,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,irx1a,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,irx2a,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,irx3a,1,40,40.0,40,40.0,40.0,0,39.56820412168793,39.56820412168793
SeaHub,genetic,irx4a,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,irx5a,1,40,40.0,40,40.0,40.0,0,39.56820412168793,39.56820412168793
SeaHub,genetic,irx6a,1,40,40.0,40,40.0,40.0,0,39.56820412168793,39.56820412168793
SeaHub,genetic,isl1a,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,isl2a,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,klf2a,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,lhx1a,1,128,128.0,128,128.0,128.0,0,126.61825318940137,126.61825318940137
SeaHub,genetic,lhx1b,1,96,96.0,96,96.0,96.0,0,94.96368989205104,94.96368989205104
SeaHub,genetic,lhx2a,1,96,96.0,96,96.0,96.0,0,94.96368989205104,94.96368989205104
SeaHub,genetic,lhx2b,1,128,128.0,128,128.0,128.0,0,126.61825318940137,126.61825318940137
SeaHub,genetic,lhx3,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,lhx4,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,lhx5,1,96,96.0,96,96.0,96.0,0,94.96368989205104,94.96368989205104
SeaHub,genetic,lhx9,1,96,96.0,96,96.0,96.0,0,94.96368989205104,94.96368989205104
SeaHub,genetic,meis1a,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,meis1b,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,meis2a,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,meis2b,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,meis3,2,56,56.0,56,56.0,56.0,0,55.3954857703631,55.3954857703631
SeaHub,genetic,mixl1,1,64,64.0,56,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,mnx1,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,msx1a,1,96,96.0,96,96.0,96.0,0,94.96368989205104,94.96368989205104
SeaHub,genetic,msx1b,1,96,96.0,96,96.0,96.0,0,94.96368989205104,94.96368989205104
SeaHub,genetic,msx3,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,myod1,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,neurog1,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,osr1,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,osr2,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,otpa,1,48,48.0,40,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,otpb,1,24,24.0,16,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,otx1,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,otx2a,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
