scope,corpus_dataset_id,pairing_status,linked_well_or_embryo_count,total_well_or_embryo_count,linked_gross_embryo_timepoints,collection_name,sequencing_modality,sequencing_dataset_id,pairing_granularity,evidence_source,curator_notes
SeaHub,CHEM13,linked,160,200,160.0,"CHEM13_
DMH1_
48hpf_
72hpf; CHEM13_
DMH1_
48hpf_
96hpf; CHEM13_
DMH1_
60hpf_
72hpf; CHEM13_
DMH1_
60hpf_
96hpf; CHEM13_
DMH1_
84hpf_
96hpf; CHEM13_
LY411575_
48hpf_
72hpf; CHEM13_
LY411575_
48hpf_
96hpf; CHEM13_
LY411575_
60hpf_
72hpf; CHEM13_
LY411575_
60hpf_
96hpf; CHEM13_
LY411575_
84hpf_
96hpf; CHEM13_
SB505124_
48hpf_
72hpf; CHEM13_
SB505124_
48hpf_
96hpf; CHEM13_
SB505124_
60hpf_
72hpf; CHEM13_
SB505124_
60hpf_
96hpf; CHEM13_
SB505124_
84hpf_
96hpf; CHEM13_
SU5402_
48hpf_
72hpf; CHEM13_
SU5402_
48hpf_
96hpf; CHEM13_
SU5402_
60hpf_
72hpf; CHEM13_
SU5402_
60hpf_
96hpf; CHEM13_
SU5402_
84hpf_
96hpf",,,collection/condition,SeaHub collection metadata,
SeaHub,CHEM15,linked,224,432,224.0,CHEM15_2-DG_6hpf-treatment_18s; CHEM15_2-DG_6hpf-treatment_24hpf; CHEM15_2-DG_6hpf-treatment_48hpf; CHEM15_GNE-7883_6hpf-treatment_24hpf; CHEM15_GNE-7883_6hpf-treatment_48hpf; CHEM15_GNE-7883_6hpf-treatment_72hpf; CHEM15_GNE-7883_6hpf-treatment_96hpf; CHEM15_LY294002_6hpf-treatment_24hpf; CHEM15_LY294002_6hpf-treatment_48hpf; CHEM15_LY294002_6hpf-treatment_72hpf; CHEM15_SU6656_6hpf-treatment_24hpf; CHEM15_SU6656_6hpf-treatment_48hpf; CHEM15_SU6656_6hpf-treatment_72hpf; CHEM15_SU6656_6hpf-treatment_96hpf; CHEM15_leflunomide_6hpf-treatment_18s; CHEM15_leflunomide_6hpf-treatment_24hpf; CHEM15_leflunomide_6hpf-treatment_48hpf; CHEM15_oligomycin_6hpf-treatment_18s; CHEM15_oligomycin_6hpf-treatment_24hpf; CHEM15_oligomycin_6hpf-treatment_48hpf; CHEM15_rapamycin_6hpf-treatment_48hpf; CHEM15_rapamycin_6hpf-treatment_72hpf; CHEM15_ruxolitinib_6hpf-treatment_24hpf; CHEM15_ruxolitinib_6hpf-treatment_48hpf; CHEM15_ruxolitinib_6hpf-treatment_72hpf; CHEM15_simvastatin_6hpf-treatment_18s; CHEM15_simvastatin_6hpf-treatment_24hpf; CHEM15_simvastatin_6hpf-treatment_48hpf,,,collection/condition,SeaHub collection metadata,
SeaHub,CHEM16,not_linked,0,624,0.0,,,,,SeaHub collection metadata,
SeaHub,CHEM17,linked,128,224,128.0,CHEM17_AG1478_6hpf_18s; CHEM17_AG1478_6hpf_24hpf; CHEM17_AG1478_6hpf_36hpf; CHEM17_AG1478_6hpf_48hpf; CHEM17_AG1478_6hpf_72hpf; CHEM17_BGJ398_6hpf_24hpf; CHEM17_BGJ398_6hpf_36hpf; CHEM17_BGJ398_6hpf_48hpf; CHEM17_BGJ398_6hpf_72hpf; CHEM17_DMSO_28C_6hpf_24hpf; CHEM17_DMSO_28C_6hpf_36hpf; CHEM17_VRI_6hpf_18s; CHEM17_VRI_6hpf_24hpf; CHEM17_VRI_6hpf_36hpf; CHEM17_VRI_6hpf_48hpf; CHEM17_VRI_6hpf_72hpf,,,collection/condition,SeaHub collection metadata,
SeaHub,GENE1,linked,24,24,24.0,"GENE1_
gata2a;gata3_
72hpf; GENE1_
gata2a_
72hpf; GENE1_
gata3_
72hpf",,,collection/condition,SeaHub collection metadata,
SeaHub,GENE10,linked,488,720,488.0,GENE10_her1;her7_18s; GENE10_her1;her7_24hpf; GENE10_her1;her7_48hpf; GENE10_her1_18s; GENE10_her1_24hpf; GENE10_her1_48hpf; GENE10_her7_18s; GENE10_her7_24hpf; GENE10_her7_48hpf; GENE10_meis1a;meis1b_24hpf; GENE10_meis1a;meis1b_48hpf; GENE10_meis1a;meis1b_72hpf; GENE10_meis1a_24hpf; GENE10_meis1a_48hpf; GENE10_meis1a_72hpf; GENE10_meis1b_24hpf; GENE10_meis1b_48hpf; GENE10_meis1b_72hpf; GENE10_meis2a;meis2b_24hpf; GENE10_meis2a;meis2b_48hpf; GENE10_meis2a;meis2b_72hpf; GENE10_meis2a_24hpf; GENE10_meis2a_48hpf; GENE10_meis2a_72hpf; GENE10_meis2b_24hpf; GENE10_meis2b_48hpf; GENE10_meis2b_72hpf; GENE10_meis3_24hpf; GENE10_meis3_48hpf; GENE10_meis3_72hpf; GENE10_prdm1a_18s; GENE10_prdm1a_24hpf; GENE10_prdm1a_48hpf; GENE10_prdm1a_72hpf; GENE10_wt1a;wt1b_24hpf; GENE10_wt1a;wt1b_48hpf; GENE10_wt1a;wt1b_72hpf; GENE10_wt1a_24hpf; GENE10_wt1a_48hpf; GENE10_wt1a_72hpf; GENE10_wt1b_24hpf; GENE10_wt1b_48hpf; GENE10_wt1b_72hpf; GENE10_zeb1a;zeb1b_18s; GENE10_zeb1a;zeb1b_24hpf; GENE10_zeb1a;zeb1b_48hpf; GENE10_zeb1a_18s; GENE10_zeb1a_24hpf; GENE10_zeb1a_48hpf; GENE10_zeb1b_18s; GENE10_zeb1b_24hpf; GENE10_zeb1b_48hpf; GENE10_zeb2a;zeb2b_18s; GENE10_zeb2a;zeb2b_24hpf; GENE10_zeb2a;zeb2b_48hpf; GENE10_zeb2a_18s; GENE10_zeb2a_24hpf; GENE10_zeb2a_48hpf; GENE10_zeb2b_18s; GENE10_zeb2b_24hpf; GENE10_zeb2b_48hpf,,,collection/condition,SeaHub collection metadata,
SeaHub,GENE11,linked,72,176,72.0,GENE11_acvr1l;bmpr1aa;bmpr1ab_36hpf; GENE11_acvr1l;bmpr1aa;bmpr1ab_48hpf; GENE11_acvr1l;bmpr1aa;bmpr1ab_72hpf; GENE11_fgfr1a;fgfr1b_36hpf; GENE11_fgfr1a;fgfr1b_48hpf; GENE11_fgfr1a;fgfr1b_72hpf; GENE11_smo_36hpf; GENE11_smo_48hpf; GENE11_smo_72hpf,,,collection/condition,SeaHub collection metadata,
SeaHub,GENE12,linked,456,704,456.0,GENE12_aldh1a2_18-somite; GENE12_aldh1a2_24hpf; GENE12_aldh1a2_48hpf; GENE12_foxh1;mixl1_18-somite; GENE12_foxh1;mixl1_24hpf; GENE12_foxh1;mixl1_48hpf; GENE12_foxh1_18-somite; GENE12_foxh1_24hpf; GENE12_foxh1_48hpf; GENE12_gbx1;gbx2_18-somite; GENE12_gbx1;gbx2_24hpf; GENE12_gbx1;gbx2_48hpf; GENE12_gbx1_18-somite; GENE12_gbx1_24hpf; GENE12_gbx1_48hpf; GENE12_gbx2_18-somite; GENE12_gbx2_24hpf; GENE12_gbx2_48hpf; GENE12_grhl3_18-somite; GENE12_grhl3_24hpf; GENE12_grhl3_48hpf; GENE12_mixl1_18-somite; GENE12_mixl1_24hpf; GENE12_mixl1_48hpf; GENE12_mnx1_18-somite; GENE12_mnx1_24hpf; GENE12_mnx1_48hpf; GENE12_tbx16;tbx16l_18-somite; GENE12_tbx16;tbx16l_24hpf; GENE12_tbx16;tbx16l_48hpf; GENE12_tbx16_18-somite; GENE12_tbx16_24hpf; GENE12_tbx16_48hpf; GENE12_tbx16l_18-somite; GENE12_tbx16l_24hpf; GENE12_tbx16l_48hpf; GENE12_tbxta;tbxtb_18-somite; GENE12_tbxta;tbxtb_24hpf; GENE12_tbxta;tbxtb_48hpf; GENE12_tbxta_18-somite; GENE12_tbxta_24hpf; GENE12_tbxta_48hpf; GENE12_tbxtb_18-somite; GENE12_tbxtb_24hpf; GENE12_tbxtb_48hpf; GENE12_zic2a;zic2b_18-somite; GENE12_zic2a;zic2b_24hpf; GENE12_zic2a;zic2b_48hpf; GENE12_zic2a;zic2b_72hpf; GENE12_zic2a_18-somite; GENE12_zic2a_24hpf; GENE12_zic2a_48hpf; GENE12_zic2a_72hpf; GENE12_zic2b_18-somite; GENE12_zic2b_24hpf; GENE12_zic2b_48hpf; GENE12_zic2b_72hpf,,,collection/condition,SeaHub collection metadata,
SeaHub,GENE13,linked,480,576,480.0,"GENE13_lhx1a,lhx1b,lhx5_24hpf; GENE13_lhx1a,lhx1b,lhx5_48hpf; GENE13_lhx1a,lhx1b,lhx5_72hpf; GENE13_lhx1a,lhx1b,lhx5_96hpf; GENE13_lhx1a,lhx1b_24hpf; GENE13_lhx1a,lhx1b_48hpf; GENE13_lhx1a,lhx1b_72hpf; GENE13_lhx1a,lhx1b_96hpf; GENE13_lhx1a,lhx5_24hpf; GENE13_lhx1a,lhx5_48hpf; GENE13_lhx1a,lhx5_72hpf; GENE13_lhx1a,lhx5_96hpf; GENE13_lhx1a_24hpf; GENE13_lhx1a_48hpf; GENE13_lhx1a_72hpf; GENE13_lhx1a_96hpf; GENE13_lhx1b_24hpf; GENE13_lhx1b_48hpf; GENE13_lhx1b_72hpf; GENE13_lhx1b_96hpf; GENE13_lhx2a,lhx2b,lhx9_24hpf; GENE13_lhx2a,lhx2b,lhx9_48hpf; GENE13_lhx2a,lhx2b,lhx9_72hpf; GENE13_lhx2a,lhx2b,lhx9_96hpf; GENE13_lhx2a,lhx2b_24hpf; GENE13_lhx2a,lhx2b_48hpf; GENE13_lhx2a,lhx2b_72hpf; GENE13_lhx2a,lhx2b_96hpf; GENE13_lhx2a_24hpf; GENE13_lhx2a_48hpf; GENE13_lhx2a_72hpf; GENE13_lhx2a_96hpf; GENE13_lhx2b,lhx9_24hpf; GENE13_lhx2b,lhx9_48hpf; GENE13_lhx2b,lhx9_72hpf; GENE13_lhx2b,lhx9_96hpf; GENE13_lhx2b_24hpf; GENE13_lhx2b_48hpf; GENE13_lhx2b_72hpf; GENE13_lhx2b_96hpf; GENE13_lhx3;lhx4_24hpf; GENE13_lhx3;lhx4_48hpf; GENE13_lhx3;lhx4_72hpf; GENE13_lhx3;lhx4_96hpf; GENE13_lhx3_24hpf; GENE13_lhx3_48hpf; GENE13_lhx3_72hpf; GENE13_lhx3_96hpf; GENE13_lhx4_24hpf; GENE13_lhx4_48hpf; GENE13_lhx4_72hpf; GENE13_lhx4_96hpf; GENE13_lhx5_24hpf; GENE13_lhx5_48hpf; GENE13_lhx5_72hpf; GENE13_lhx5_96hpf; GENE13_lhx9_24hpf; GENE13_lhx9_48hpf; GENE13_lhx9_72hpf; GENE13_lhx9_96hpf",,,collection/condition,SeaHub collection metadata,
SeaHub,GENE15,linked,448,640,448.0,GENE15_dlx3b;dlx4b_24hpf; GENE15_dlx3b;dlx4b_48hpf; GENE15_dlx3b_24hpf; GENE15_dlx3b_48hpf; GENE15_dlx4b_24hpf; GENE15_dlx4b_48hpf; GENE15_emx1;emx2_24hpf; GENE15_emx1;emx2_48hpf; GENE15_emx1;emx2_72hpf; GENE15_emx1;emx3_24hpf; GENE15_emx1;emx3_48hpf; GENE15_emx1;emx3_72hpf; GENE15_emx1_24hpf; GENE15_emx1_48hpf; GENE15_emx1_72hpf; GENE15_emx2;emx3_24hpf; GENE15_emx2;emx3_48hpf; GENE15_emx2;emx3_72hpf; GENE15_emx2_24hpf; GENE15_emx2_48hpf; GENE15_emx2_72hpf; GENE15_emx3_24hpf; GENE15_emx3_48hpf; GENE15_emx3_72hpf; GENE15_erbb3a;erbb3b_48hpf; GENE15_erbb3a;erbb3b_72hpf; GENE15_erbb3a;erbb3b_96hpf; GENE15_erbb3a_48hpf; GENE15_erbb3a_72hpf; GENE15_erbb3a_96hpf; GENE15_erbb3b_48hpf; GENE15_erbb3b_72hpf; GENE15_erbb3b_96hpf; GENE15_foxi1_24hpf; GENE15_foxi1_48hpf; GENE15_foxi1_72hpf; GENE15_hmx2;hmx3a_24hpf; GENE15_hmx2;hmx3a_48hpf; GENE15_hmx2;hmx3a_72hpf; GENE15_hmx2;hmx3a_96hpf; GENE15_hmx2_24hpf; GENE15_hmx2_48hpf; GENE15_hmx2_72hpf; GENE15_hmx2_96hpf; GENE15_hmx3a_24hpf; GENE15_hmx3a_48hpf; GENE15_hmx3a_72hpf; GENE15_hmx3a_96hpf; GENE15_meis3;pbx1b;pbx4_24hpf; GENE15_meis3;pbx1b;pbx4_48hpf; GENE15_meis3;pbx1b;pbx4_72hpf; GENE15_pbx1b;pbx4_24hpf; GENE15_pbx1b;pbx4_48hpf; GENE15_pbx1b;pbx4_72hpf; GENE15_pitx3_24hpf; GENE15_pitx3_48hpf,,,collection/condition,SeaHub collection metadata,
