,atf6 vs ctrl | 24C | 24hpf,ctcf vs ctrl | 24C | 24hpf,"wfs1a,wfs1b vs ctrl | 24C | 24hpf",atf6 vs ctrl | 24C | 30hpf,ctcf vs ctrl | 24C | 30hpf,"wfs1a,wfs1b vs ctrl | 24C | 30hpf",atf6 vs ctrl | 24C | 36hpf,ctcf vs ctrl | 24C | 36hpf,"wfs1a,wfs1b vs ctrl | 24C | 36hpf",atf6 vs ctrl | 28C | 24hpf,ctcf vs ctrl | 28C | 24hpf,"wfs1a,wfs1b vs ctrl | 28C | 24hpf",atf6 vs ctrl | 28C | 30hpf,ctcf vs ctrl | 28C | 30hpf,"wfs1a,wfs1b vs ctrl | 28C | 30hpf",atf6 vs ctrl | 28C | 36hpf,ctcf vs ctrl | 28C | 36hpf,"wfs1a,wfs1b vs ctrl | 28C | 36hpf",atf6 vs ctrl | 34C | 24hpf,ctcf vs ctrl | 34C | 24hpf,"wfs1a,wfs1b vs ctrl | 34C | 24hpf",atf6 vs ctrl | 34C | 30hpf,ctcf vs ctrl | 34C | 30hpf,"wfs1a,wfs1b vs ctrl | 34C | 30hpf",atf6 vs ctrl | 34C | 36hpf,ctcf vs ctrl | 34C | 36hpf,"wfs1a,wfs1b vs ctrl | 34C | 36hpf",atf6 vs ctrl | 35C | 24hpf,ctcf vs ctrl | 35C | 24hpf,"wfs1a,wfs1b vs ctrl | 35C | 24hpf",atf6 vs ctrl | 35C | 30hpf,ctcf vs ctrl | 35C | 30hpf,"wfs1a,wfs1b vs ctrl | 35C | 30hpf",atf6 vs ctrl | 35C | 36hpf,ctcf vs ctrl | 35C | 36hpf,"wfs1a,wfs1b vs ctrl | 35C | 36hpf"
"wfs1a,wfs1b vs ctrl | 28C | 24hpf",0.1739708351287142,0.21558314972716866,0.09306953578926945,0.25117319830419427,0.6780852517531433,0.22045571229752092,0.10684136863963191,0.39322839607272075,0.2850234875725668,0.6624725643401387,0.45360172228209605,1.0,0.19604642938603736,0.02999898065721886,0.22570263605145047,0.8979070263097666,0.073358590371589,0.19803675725770595,0.3141899413145192,0.03565112291790765,0.3475751921221491,0.3129158106567955,0.5142532407503047,0.14265104932333356,0.21678956957102913,0.4497990719800966,0.3532399966367995,0.3469511114489038,0.6297359559039464,0.06211604750924508,0.26220031115080095,0.031751262580376076,0.025207940889050602,0.08054715354443329,0.4563390631550894,0.26546825284628073
atf6 vs ctrl | 28C | 30hpf,0.3425318386553761,0.4188831301059742,0.18148906126364167,0.47415159718491956,0.5525172800696374,0.4797724141982198,0.692483225916819,0.7290624046048718,0.35992686059501455,0.08653589114833163,0.4028186683253676,0.19604642938603736,1.0,0.8022304108688129,0.11650443087458723,0.018922336607170638,0.1584801391487283,0.331040148529405,0.17026554908178976,0.6147723550877668,0.17222534679637636,0.5525935973889576,0.20039650177045515,0.6705242661724712,0.03570049920072892,0.7132881196238521,0.7609942907990458,0.7843075998189128,0.5518781142092474,0.1294647804267269,0.678870995754854,0.5863754732145388,0.46950095816820303,0.5045002417184685,0.27133496466091106,0.027874066625157217
ctcf vs ctrl | 28C | 30hpf,0.5986226757740571,0.7004142954689041,0.5644507918110139,0.8291856211423184,0.6160634622940575,0.7062079818715394,0.730055256167696,0.7868465766551547,0.5580241871895432,0.30062780362512964,0.13934360774703086,0.02999898065721886,0.8022304108688129,1.0,0.4288339886013462,0.10660161894831903,0.20403349534295281,0.06529743942012264,0.11063792154764569,0.9072859864177614,0.5709995232211795,0.33273599125073117,0.0644611464272189,0.4408467250006291,0.10401511138864586,0.4245641457720411,0.5453032672251551,0.2909322114285865,0.31819385111871107,0.30411671907969323,0.6936597850013378,0.3852962802806364,0.41069221773793596,0.2298116956109595,0.29305613705306827,0.05566647795084939
"wfs1a,wfs1b vs ctrl | 28C | 30hpf",0.11460443265250643,0.10204356787874988,0.2564535054309938,0.6314772948030998,0.4702484684073026,0.35576741785214205,0.37541940762192616,0.6868180001661264,0.6735935010651809,0.6946699143462403,0.1780161669291101,0.22570263605145047,0.11650443087458723,0.4288339886013462,1.0,0.49228254999052057,0.9456494613866561,0.7623601064409724,0.4444912676184974,0.7346604473126246,0.6539389317204249,0.579391520393951,0.5968752882513002,0.49660377548819207,0.43354743222031655,0.3343033800901996,0.3329686107466362,0.3836008029697232,0.21628150888511455,0.8594770660941075,0.009592448325560481,0.05107212257956502,0.1481589899530263,0.6040527361263732,0.0534561285481897,0.3047676770855124
atf6 vs ctrl | 28C | 36hpf,0.10217660567294314,0.3875366740605325,0.1082020242517436,0.1890074171364613,0.49683269355333376,0.004518016764657273,0.19898793259248526,0.4683828321668677,0.5010988428971889,0.6463803654101588,0.2766959193096372,0.8979070263097666,0.018922336607170638,0.10660161894831903,0.49228254999052057,1.0,0.43408234332024387,0.18383378601880696,0.2530452746442441,0.13627713222770632,0.04719894209206269,0.48706087108594537,0.1960609249692133,0.27862776584110643,0.003840207011276268,0.04601402534837115,0.012420251761649693,0.08934778913770115,0.400606733218152,0.40307627713459454,0.2607996414872018,0.09218550741518428,0.13506742191537074,0.25765251837560726,0.4493378923956005,0.5243134908187899
ctcf vs ctrl | 28C | 36hpf,0.03758878924666525,0.20280168569872817,0.0871778371064756,0.4246271476965921,0.19192793830637722,0.09589513619569624,0.27133465339146184,0.4948555356071802,0.6331920762144051,0.5349437180956823,0.3494036616456948,0.073358590371589,0.1584801391487283,0.20403349534295281,0.9456494613866561,0.43408234332024387,1.0,0.8783284097234799,0.2682771920516573,0.5802633345678911,0.704550880215379,0.4626043114133613,0.6924864708771776,0.7418840733896882,0.4496788310779657,0.615373377862603,0.5871456389389107,0.5909330249853614,0.3838860555354283,0.9293216364027294,0.08271282425599076,0.08457200061063709,0.15745197358640733,0.6524588157827536,0.020171296779377623,0.40327714427398387
"wfs1a,wfs1b vs ctrl | 28C | 36hpf",0.4043266857544518,0.495828888335348,0.1544143335252121,0.06848080682161752,0.1472639459955596,0.11841917027602447,0.04170650503846434,0.16116073363366681,0.2589831653186043,0.25783480961213295,0.18537376153202445,0.19803675725770595,0.331040148529405,0.06529743942012264,0.7623601064409724,0.18383378601880696,0.8783284097234799,1.0,0.3773314965728817,0.28177188171348083,0.527668646240158,0.4283078879150611,0.9150324112114593,0.8352465249558396,0.7652095376222091,0.7819604314126538,0.8312180706552115,0.6584859154895486,0.7396066085028612,0.6836387014582913,0.27490648597440936,0.2610946585469366,0.051475655913364726,0.7563343948886484,0.4057595796520943,0.1319070628404215
atf6 vs ctrl | 34C | 24hpf,0.5231430574154483,0.4511684044229929,0.2932061763802534,0.2977454920052102,0.5150276126222092,0.5426192010872579,0.33071723664137304,0.1599316516467874,0.2335355405736775,0.6127104982944223,0.5817558950129036,0.3141899413145192,0.17026554908178976,0.11063792154764569,0.4444912676184974,0.2530452746442441,0.2682771920516573,0.3773314965728817,1.0,0.11834829671913136,0.2615030054124105,0.38201690230645147,0.36887086552404363,0.0501155916553232,0.6486924941407445,0.185667624154116,0.07824497422556953,0.0286097817184818,0.310169582708155,0.046092777541517124,0.5321478315903475,0.5642088098112495,0.5888163262279265,0.674464079156007,0.5972770584040715,0.5737614915008236
ctcf vs ctrl | 34C | 24hpf,0.5650227360930014,0.5089511866508146,0.43987105980283975,0.8362231666284273,0.5680799887681399,0.5576760612195932,0.7906414720806446,0.8938261741806798,0.7938381876051807,0.43468770832584613,0.27472153840443747,0.03565112291790765,0.6147723550877668,0.9072859864177614,0.7346604473126246,0.13627713222770632,0.5802633345678911,0.28177188171348083,0.11834829671913136,1.0,0.794682885513709,0.4974206640900118,0.2917312203304883,0.04320307609140602,0.04936493464666942,0.09226507189163922,0.22840030349772047,0.039274236629683115,0.17502574898489354,0.6606678238582883,0.6031237752264297,0.3823729170523499,0.5040141487967732,0.005151226841337186,0.34624801751313106,0.3194382723698466
"wfs1a,wfs1b vs ctrl | 34C | 24hpf",0.4477641504132482,0.3753312563545768,0.08930034467284834,0.460211775016414,0.0023486765357017747,0.05218292959507928,0.6972050848649388,0.5942787193654094,0.7771812224991362,0.05794495429589866,0.6320754378880102,0.3475751921221491,0.17222534679637636,0.5709995232211795,0.6539389317204249,0.04719894209206269,0.704550880215379,0.527668646240158,0.2615030054124105,0.794682885513709,1.0,0.3373420462134763,0.5361609003866468,0.41720020908781197,0.1133777471632292,0.46040909702404015,0.2446919408424016,0.32285896656945534,0.1585664940171986,0.8242308763034042,0.5929993046101008,0.4193956920543471,0.6284342071699962,0.03159238992947342,0.2900840700281067,0.542788866651393
