contrast,target,temperature,sd_control,sd_crispant,loo_auc,q_auc,log_sd_ratio,perm_p_dispersion,q_dispersion
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,0.1950222814051126,0.3259541504648666,0.675,0.22886204704386523,0.5136429130776621,0.0969030969030969,0.1978021978021978
ctcf vs ctrl | 35C | 36hpf,ctcf,35.0,0.46825931276186544,0.43099282190849264,0.5902777777777778,0.4222444222444222,-0.08293079410567154,0.6243756243756243,0.7192807192807193
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","wfs1a,wfs1b",24.0,0.22887113341218973,0.20469721930965687,0.7638888888888888,0.05844155844155845,-0.11162720061500163,0.6023976023976024,0.7192807192807193
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","wfs1a,wfs1b",24.0,0.3132204985659561,0.32574131979170867,0.7152777777777778,0.13846153846153847,0.039196158028722915,0.4885114885114885,0.6064280547039167
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","wfs1a,wfs1b",24.0,0.35414335722083606,0.5320559576879953,0.9027777777777778,0.007192807192807194,0.4070468723755945,0.1918081918081918,0.30022151761282195
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","wfs1a,wfs1b",28.0,0.25513406683337053,0.4502586931464159,0.6033057851239669,0.3337462537462537,0.5680331319596639,0.0899100899100899,0.1978021978021978
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","wfs1a,wfs1b",28.0,0.1705448167192815,0.4576116289233983,0.8611111111111112,0.007192807192807194,0.9870227357578827,0.08291708291708291,0.1978021978021978
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","wfs1a,wfs1b",28.0,0.2683176767778516,0.6048344890921564,0.8106060606060606,0.03596403596403597,0.8127832092183185,0.14085914085914086,0.24147281290138434
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","wfs1a,wfs1b",34.0,0.2498833660134735,0.7429830535235553,0.8958333333333334,0.007192807192807194,1.0896789632250061,0.03696303696303696,0.1798201798201798
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","wfs1a,wfs1b",34.0,0.43009860016942886,0.6166415991247535,0.7361111111111112,0.0825057295645531,0.3602734933886974,0.3336663336663337,0.43670615099186527
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","wfs1a,wfs1b",34.0,0.22154965267509402,0.7870238623672069,0.8263888888888888,0.026973026973026976,1.2676118386877484,0.061938061938061936,0.18581418581418582
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","wfs1a,wfs1b",35.0,0.47004263925829326,0.3046891146126978,0.35185185185185186,0.8467895740623014,-0.4335314519954839,0.7182817182817183,0.7480519480519481
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","wfs1a,wfs1b",35.0,0.29955379399711357,0.5833706175787946,0.9,0.007992007992007992,0.6665286779510277,0.027972027972027972,0.16783216783216784
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","wfs1a,wfs1b",35.0,0.5749595165391209,0.6429130107045355,0.6893939393939394,0.159269302126445,0.11170979616760848,0.33966033966033965,0.43670615099186527
