contrast,target,temperature,timepoint,shared_dim,loading
atf6 vs ctrl | 28C | 36hpf,atf6,28.0,36.0,G02,-0.12037174020461526
atf6 vs ctrl | 28C | 36hpf,atf6,28.0,36.0,G03,0.8323343568609662
atf6 vs ctrl | 28C | 36hpf,atf6,28.0,36.0,G04,-0.474662329028984
ctcf vs ctrl | 28C | 36hpf,ctcf,28.0,36.0,G00,0.37701959581631417
ctcf vs ctrl | 28C | 36hpf,ctcf,28.0,36.0,G01,-0.7248262909788178
ctcf vs ctrl | 28C | 36hpf,ctcf,28.0,36.0,G02,0.02619686823781554
ctcf vs ctrl | 28C | 36hpf,ctcf,28.0,36.0,G03,0.5641229491709477
ctcf vs ctrl | 28C | 36hpf,ctcf,28.0,36.0,G04,-0.11645640639138775
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","wfs1a,wfs1b",28.0,36.0,G00,0.1454610925101507
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","wfs1a,wfs1b",28.0,36.0,G01,-0.8448549908705554
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","wfs1a,wfs1b",28.0,36.0,G02,0.22289703512691855
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","wfs1a,wfs1b",28.0,36.0,G03,0.4091128964952689
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","wfs1a,wfs1b",28.0,36.0,G04,0.2190996682328563
atf6 vs ctrl | 34C | 24hpf,atf6,34.0,24.0,G00,0.4733351810578043
atf6 vs ctrl | 34C | 24hpf,atf6,34.0,24.0,G01,0.5146977370896904
atf6 vs ctrl | 34C | 24hpf,atf6,34.0,24.0,G02,0.6214689616660748
atf6 vs ctrl | 34C | 24hpf,atf6,34.0,24.0,G03,-0.21700130489689037
atf6 vs ctrl | 34C | 24hpf,atf6,34.0,24.0,G04,-0.27879528182246105
ctcf vs ctrl | 34C | 24hpf,ctcf,34.0,24.0,G00,0.7695590348268149
ctcf vs ctrl | 34C | 24hpf,ctcf,34.0,24.0,G01,-0.14959849457979119
ctcf vs ctrl | 34C | 24hpf,ctcf,34.0,24.0,G02,-0.506385831059177
ctcf vs ctrl | 34C | 24hpf,ctcf,34.0,24.0,G03,0.3557449931808128
ctcf vs ctrl | 34C | 24hpf,ctcf,34.0,24.0,G04,0.049173898210040375
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","wfs1a,wfs1b",34.0,24.0,G00,0.9088720852725427
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","wfs1a,wfs1b",34.0,24.0,G01,-0.2945251458055636
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","wfs1a,wfs1b",34.0,24.0,G02,0.09607615506077188
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","wfs1a,wfs1b",34.0,24.0,G03,0.27181946637258364
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","wfs1a,wfs1b",34.0,24.0,G04,0.06395327380372157
atf6 vs ctrl | 34C | 30hpf,atf6,34.0,30.0,G00,0.10057741882962809
atf6 vs ctrl | 34C | 30hpf,atf6,34.0,30.0,G01,1.1554034486310342e-05
atf6 vs ctrl | 34C | 30hpf,atf6,34.0,30.0,G02,-0.18093311364905393
atf6 vs ctrl | 34C | 30hpf,atf6,34.0,30.0,G03,0.8582063112011615
atf6 vs ctrl | 34C | 30hpf,atf6,34.0,30.0,G04,0.4697119526771991
ctcf vs ctrl | 34C | 30hpf,ctcf,34.0,30.0,G00,0.236225991784954
ctcf vs ctrl | 34C | 30hpf,ctcf,34.0,30.0,G01,-0.8011955622056197
ctcf vs ctrl | 34C | 30hpf,ctcf,34.0,30.0,G02,0.16503622448684185
ctcf vs ctrl | 34C | 30hpf,ctcf,34.0,30.0,G03,0.13707290696319066
ctcf vs ctrl | 34C | 30hpf,ctcf,34.0,30.0,G04,0.5062183468534355
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","wfs1a,wfs1b",34.0,30.0,G00,0.07427035018440269
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","wfs1a,wfs1b",34.0,30.0,G01,-0.648763720424534
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","wfs1a,wfs1b",34.0,30.0,G02,0.6464984423396694
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","wfs1a,wfs1b",34.0,30.0,G03,0.3799865888875243
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","wfs1a,wfs1b",34.0,30.0,G04,-0.10601653862680015
atf6 vs ctrl | 34C | 36hpf,atf6,34.0,36.0,G00,-0.2182689480162087
atf6 vs ctrl | 34C | 36hpf,atf6,34.0,36.0,G01,-0.592977808045742
atf6 vs ctrl | 34C | 36hpf,atf6,34.0,36.0,G02,0.0420058720693952
atf6 vs ctrl | 34C | 36hpf,atf6,34.0,36.0,G03,0.3242257998503155
atf6 vs ctrl | 34C | 36hpf,atf6,34.0,36.0,G04,0.7027439952929355
ctcf vs ctrl | 34C | 36hpf,ctcf,34.0,36.0,G00,0.18732262060000723
ctcf vs ctrl | 34C | 36hpf,ctcf,34.0,36.0,G01,-0.6444759819009718
ctcf vs ctrl | 34C | 36hpf,ctcf,34.0,36.0,G02,0.7334919674586625
ctcf vs ctrl | 34C | 36hpf,ctcf,34.0,36.0,G03,0.10650150038046849
ctcf vs ctrl | 34C | 36hpf,ctcf,34.0,36.0,G04,0.014419037923989478
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","wfs1a,wfs1b",34.0,36.0,G00,-0.08226752349569331
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","wfs1a,wfs1b",34.0,36.0,G01,-0.7535079611121094
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","wfs1a,wfs1b",34.0,36.0,G02,0.6370259040129175
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","wfs1a,wfs1b",34.0,36.0,G03,0.11469390292653084
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","wfs1a,wfs1b",34.0,36.0,G04,0.08062948199363751
atf6 vs ctrl | 35C | 24hpf,atf6,35.0,24.0,G00,-0.12848488044708
atf6 vs ctrl | 35C | 24hpf,atf6,35.0,24.0,G01,0.8494267378300442
atf6 vs ctrl | 35C | 24hpf,atf6,35.0,24.0,G02,-0.34540778862669685
atf6 vs ctrl | 35C | 24hpf,atf6,35.0,24.0,G03,0.21052699177898956
atf6 vs ctrl | 35C | 24hpf,atf6,35.0,24.0,G04,0.31358842109429547
ctcf vs ctrl | 35C | 24hpf,ctcf,35.0,24.0,G00,0.08087896339432536
ctcf vs ctrl | 35C | 24hpf,ctcf,35.0,24.0,G01,0.8114435219736554
ctcf vs ctrl | 35C | 24hpf,ctcf,35.0,24.0,G02,-0.33386970472123134
ctcf vs ctrl | 35C | 24hpf,ctcf,35.0,24.0,G03,0.23938010510335966
