contrast,target,temperature,timepoint,n_crispant,n_control,shrinkage,separation,hotelling_f,hotelling_p,loo_auc,perm_p_auc,perm_p_separation,log_sd_ratio,perm_p_dispersion,null_auc_p95,boot_angle_median,boot_angle_p95,random_angle_p05,random_angle_median,rank_rho_median,rank_rho_p05,random_rank_rho_median,rank_p_vs_floor,top_retention_median,random_top_retention_median,loo_rank_rho,angle_to_centroid,angle_to_stage,angle_to_cohort_pc1,angle_to_cohort_pc2,q_auc,q_separation,q_dispersion,usable,q_rank,rank_stable,usable_ordinal,stage_confounded
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,10,12,0.4175786099930143,1.3096336089672391,1.6421660512982599,0.20572458036762717,0.675,0.13986013986013987,0.13386613386613386,0.5136429130776621,0.0969030969030969,0.75,28.48873466870672,56.05096406259571,35.99857110300673,69.45010570102967,0.8898927159796726,0.39774138904573697,0.4624505928853756,0.045,0.875,0.625,0.9661208356860531,16.763999090175602,39.82063723084803,53.384918728178704,60.65900582557184,0.22886204704386523,0.20079920079920077,0.1978021978021978,False,0.08099999999999999,True,False,False
ctcf vs ctrl | 28C | 30hpf,ctcf,28.0,30.0,11,12,0.17545631108449394,2.1743344865300878,4.735859166893257,0.00682729354778905,0.9545454545454546,0.000999000999000999,0.000999000999000999,1.2090530117104128,0.007992007992007992,0.7348484848484849,21.1546030368242,45.35952969701481,35.99857110300673,69.45010570102967,0.9599802371541503,0.8112154150197629,0.49604743083003955,0.015,1.0,0.625,0.9624505928853755,50.21691706208292,52.63117787406482,68.58074717376404,44.950815455408,0.007192807192807194,0.004495504495504496,0.14385614385614387,True,0.054000000000000006,True,True,False
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","wfs1a,wfs1b",28.0,30.0,12,12,0.31812242317393635,1.6622866236707716,3.0595018407748222,0.03590038403862241,0.8611111111111112,0.000999000999000999,0.000999000999000999,0.9870227357578827,0.08291708291708291,0.7086805555555553,18.602719102467642,36.72985719382778,35.99857110300673,69.45010570102967,0.9808695652173912,0.8199130434782608,0.49782608695652164,0.01,1.0,0.625,0.9913043478260868,42.99721222374138,35.80005196218222,67.64624703607335,32.60543564829314,0.007192807192807194,0.004495504495504496,0.1978021978021978,True,0.05,True,True,False
atf6 vs ctrl | 28C | 36hpf,atf6,28.0,36.0,10,11,0.32347066111356154,0.9073727273252882,1.8696287120404862,0.1596998304968123,0.4818181818181818,0.5714285714285714,0.41358641358641357,0.5570840345012327,0.12187812187812187,0.7545454545454545,29.41364495157623,59.141365567720634,35.99857110300673,69.45010570102967,0.7006493506493505,0.20506493506493506,0.47337662337662334,0.2675,0.7142857142857143,0.5714285714285714,0.6064935064935064,23.05201626660535,85.26836511655772,81.01617464670191,83.55553829744677,0.6635944700460829,0.4963036963036963,0.21938061938061937,False,0.29181818181818187,False,False,False
ctcf vs ctrl | 28C | 36hpf,ctcf,28.0,36.0,12,11,0.19896106677980038,1.8458456972689403,3.612491727774956,0.020780752961096143,0.8484848484848485,0.004995004995004995,0.001998001998001998,1.3151955906062371,0.04595404595404595,0.7272727272727273,24.653900308249113,52.96126098230607,35.99857110300673,69.45010570102967,0.983201581027668,0.8497529644268774,0.5419960474308301,0.0075,0.875,0.625,0.9871541501976285,48.19102501570044,35.28391091096392,60.60878593214829,68.65182491185085,0.016347289074561802,0.006538915629824721,0.1838161838161838,True,0.045000000000000005,True,True,False
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","wfs1a,wfs1b",28.0,36.0,12,11,0.3679353731910915,1.596323989191815,2.484217304805354,0.0728946614917607,0.8106060606060606,0.012987012987012988,0.007992007992007992,0.8127832092183185,0.14085914085914086,0.7272727272727273,23.86509029778684,48.56713583265306,35.99857110300673,69.45010570102967,0.9673913043478262,0.700592885375494,0.5009881422924901,0.035,0.875,0.625,0.9466403162055337,29.581911393215993,54.801593239226335,68.8585597370676,30.3917664109077,0.03596403596403597,0.02055087769373484,0.24147281290138434,True,0.07411764705882354,True,True,False
atf6 vs ctrl | 34C | 24hpf,atf6,34.0,24.0,12,12,0.32807539256246604,1.4818414045561648,1.8014637933985127,0.16336880677967497,0.7430555555555556,0.057942057942057944,0.052947052947052944,0.5600185345992845,0.0989010989010989,0.75,35.15494789942358,66.66278346391093,35.99857110300673,69.45010570102967,0.9369565217391302,0.6379565217391304,0.5052173913043477,0.0275,0.875,0.625,0.9478260869565217,23.085656895259273,56.10712876978832,47.86142422095788,45.978425582213994,0.10978495189021505,0.09530469530469529,0.1978021978021978,False,0.07411764705882354,True,False,False
ctcf vs ctrl | 34C | 24hpf,ctcf,34.0,24.0,12,12,0.5471137463667599,1.6259208036084072,2.826983569146175,0.04693567948009118,0.8958333333333334,0.001998001998001998,0.005994005994005994,1.1476127043315016,0.10589410589410589,0.7222222222222222,24.059628034951018,45.0469280569067,35.99857110300673,69.45010570102967,0.9521739130434781,0.7067826086956521,0.3869565217391304,0.0075,1.0,0.5,0.983478260869565,25.80299400479501,89.5516853691018,54.35510601629612,65.33660373216775,0.007992007992007992,0.01659878582955506,0.20064146379935852,True,0.045000000000000005,True,True,False
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","wfs1a,wfs1b",34.0,24.0,12,12,0.6615677641960237,2.1396871509669677,3.6665337698663847,0.01833810475528982,0.8958333333333334,0.000999000999000999,0.000999000999000999,1.0896789632250061,0.03696303696303696,0.7361111111111112,23.949682511411947,45.84985509629208,35.99857110300673,69.45010570102967,0.9752173913043478,0.8644347826086957,0.42826086956521736,0.0,0.875,0.5,0.9904347826086956,14.81861912276677,78.1388026367424,32.95715937424112,82.17891141719791,0.007192807192807194,0.004495504495504496,0.1798201798201798,True,0.0,True,True,False
atf6 vs ctrl | 34C | 30hpf,atf6,34.0,30.0,12,12,0.5520558536643682,0.3672026935171555,0.3560339263243291,0.8716494198274551,0.020833333333333332,0.996003996003996,0.926073926073926,1.2124135463217982,0.057942057942057944,0.7222222222222222,53.03281605631979,85.77593233869327,35.99857110300673,69.45010570102967,0.25652173913043474,-0.42882608695652175,0.528695652173913,0.7425,0.5,0.625,0.11130434782608695,34.06455635618777,79.7873158993228,65.73361400957023,84.7754721668275,0.9960039960039961,0.9260739260739261,0.18581418581418582,False,0.7425,False,False,False
ctcf vs ctrl | 34C | 30hpf,ctcf,34.0,30.0,12,12,0.1568612595560714,2.3535690347998575,5.600690124559739,0.0027679578619972567,0.8888888888888888,0.001998001998001998,0.000999000999000999,0.32824309737721064,0.24475524475524477,0.7291666666666666,22.88778771653028,42.9865331368526,35.99857110300673,69.45010570102967,0.9773913043478261,0.9339130434782608,0.5939130434782609,0.0325,1.0,0.625,0.9773913043478261,49.94329171704628,26.930093070279263,71.7242447518898,66.07134353920016,0.007992007992007992,0.004495504495504496,0.3524475524475525,True,0.07411764705882354,True,True,True
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","wfs1a,wfs1b",34.0,30.0,12,12,0.2059956788502399,1.4044813746256954,1.7914714126233109,0.16543481742625069,0.7361111111111112,0.03896103896103896,0.016983016983016984,0.3602734933886974,0.3336663336663337,0.7222222222222222,36.007264502577826,71.06777018487621,35.99857110300673,69.45010570102967,0.9556521739130434,0.7562608695652172,0.5826086956521739,0.0575,0.875,0.625,0.9669565217391304,45.3856449803566,45.61391627167013,60.73364474551115,86.9042410767678,0.0825057295645531,0.04075924075924076,0.43670615099186527,False,0.09857142857142859,True,True,False
atf6 vs ctrl | 34C | 36hpf,atf6,34.0,36.0,11,12,0.17392619227972364,1.6620718372386483,2.9717480626829325,0.04164706447394619,0.8484848484848485,0.001998001998001998,0.001998001998001998,0.6503566387282717,0.2127872127872128,0.7196969696969697,19.006826274339915,42.63190456295236,35.99857110300673,69.45010570102967,0.9901185770750988,0.8959486166007906,0.47233201581027673,0.0075,0.875,0.625,0.991106719367589,49.42405669250761,35.20489054271626,75.70279622938892,61.404323977759816,0.007992007992007992,0.006538915629824721,0.3191808191808192,True,0.045000000000000005,True,True,False
ctcf vs ctrl | 34C | 36hpf,ctcf,34.0,36.0,11,12,0.3737348957260899,1.97740975773786,2.9027618297059474,0.04500756012273839,0.8636363636363636,0.002997002997002997,0.000999000999000999,1.5338291608628805,0.027972027972027972,0.7348484848484849,26.629131876711952,54.846882203555666,35.99857110300673,69.45010570102967,0.9812252964426879,0.8726778656126483,0.4654150197628459,0.0125,1.0,0.625,0.9841897233201581,28.546991298144373,45.8636883517129,40.54984683606703,80.77124947853542,0.01078921078921079,0.004495504495504496,0.16783216783216784,True,0.05,True,True,False
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","wfs1a,wfs1b",34.0,36.0,12,12,0.2671498195202504,1.6540123724527007,2.4561952304224897,0.07283894662341826,0.8263888888888888,0.008991008991008992,0.001998001998001998,1.2676118386877484,0.061938061938061936,0.7222222222222222,25.73673852453914,57.16787767905473,35.99857110300673,69.45010570102967,0.9713043478260868,0.8155217391304347,0.48260869565217385,0.0175,0.875,0.625,0.9843478260869565,41.212487452854525,32.681823294132556,56.455961882521706,43.3366471352686,0.026973026973026976,0.006538915629824721,0.18581418581418582,True,0.05727272727272728,True,True,True
atf6 vs ctrl | 35C | 24hpf,atf6,35.0,24.0,11,12,0.28157005548458697,0.7924842771744139,1.0021033532553352,0.44610757777984156,0.5454545454545454,0.4085914085914086,0.5264735264735265,0.2974463911569237,0.27172827172827174,0.7424242424242424,42.33313634957972,79.7097364513376,35.99857110300673,69.45010570102967,0.7811264822134387,-0.22252964426877472,0.49209486166007904,0.1875,0.75,0.625,0.8685770750988143,45.69722327972559,78.83613346372078,68.02517971831557,60.26334541001197,0.4903096903096903,0.6113886113886114,0.3762391454699147,False,0.225,False,False,False
ctcf vs ctrl | 35C | 24hpf,ctcf,35.0,24.0,12,12,0.31596701949948597,1.0841437256679396,2.6829114721487213,0.05557914030623566,0.625,0.2057942057942058,0.16983016983016982,0.6628755388386436,0.052947052947052944,0.7291666666666666,26.27036064700944,46.59768397738386,35.99857110300673,69.45010570102967,0.7913043478260868,0.4433478260869565,0.49304347826086947,0.155,0.75,0.625,0.874782608695652,30.47147228066867,81.39054846009908,88.79122043666588,59.20403579423858,0.3086913086913087,0.23514946591869668,0.18581418581418582,False,0.1986206896551724,False,False,False
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","wfs1a,wfs1b",35.0,24.0,9,12,0.4743030011218432,0.5572388589396937,0.55748794356549,0.7308462805613938,0.35185185185185186,0.7762237762237763,0.8691308691308691,-0.4335314519954839,0.7182817182817183,0.7407407407407407,51.913428166888856,80.87576172392637,35.99857110300673,69.45010570102967,0.6532467532467533,-0.4196753246753247,0.4506493506493507,0.2625,0.5714285714285714,0.5714285714285714,0.6519480519480519,35.52218965883347,83.49574590578668,70.63114243295158,67.44878374755146,0.8467895740623014,0.9223717459011577,0.7480519480519481,False,0.29181818181818187,False,False,False
