stage,region,n_images,n_pixels,mean,p50,p95,p99,fraction_ge_245,fraction_ge_250,fraction_eq_255
current_rerender_6p5_r20,core_ge_8px,93,1165245,148.9856133259529,152,242,252,0.03834644216452334,0.01787606898120138,0.0005569644152088188
current_rerender_6p5_r20,fixed_gt30,93,1691828,139.6440566062271,138,238,250,0.02741649860387699,0.01261475752854309,0.0003853819655425965
current_rerender_6p5_r20,mask,93,1650963,141.55405057533088,141,238,251,0.028080580848874263,0.012917915180412886,0.0003949210248806303
current_rerender_6p5_r30,all,93,13713408,30.593067675081205,15,154,227,0.002972565244175627,0.0013268765867682198,2.311606276135006e-05
current_rerender_6p5_r30,core_ge_8px,93,1165245,148.1749769361808,151,241,251,0.03456097215607018,0.015365867263965946,0.00026947122708100013
current_rerender_6p5_r30,fixed_gt30,93,1707828,135.55341521511534,134,236,250,0.023868914199790613,0.010654468716990235,0.0001856158816930042
current_rerender_6p5_r30,mask,93,1650963,138.27293525051743,137,237,250,0.02467650698410564,0.011012360664654507,0.00019200914859993833
current_rerender_6p5_r40,all,93,13713408,30.252652659353533,15,149,225,0.002575143975881123,0.0010885696684587813,0.0
current_rerender_6p5_r40,core_ge_8px,93,1165245,146.32394560800518,149,239,250,0.029934477298765496,0.01259391801724101,0.0
current_rerender_6p5_r40,fixed_gt30,93,1720532,131.66366856297935,129,234,249,0.020525046904097104,0.008676386141030798,0.0
current_rerender_6p5_r40,mask,93,1650963,134.93808886086484,133,235,249,0.021376009032304178,0.009032909883504355,0.0
current_rerender_6p5_r50,all,93,13713408,29.935619504648297,16,145,222,0.0022218401144339906,0.0008978074596774193,0.0
current_rerender_6p5_r50,core_ge_8px,93,1165245,144.02256606979648,146,238,250,0.025783418937648305,0.01034975477260147,0.0
current_rerender_6p5_r50,fixed_gt30,93,1732935,128.03579476437375,124,232,248,0.017582309780805397,0.0071047096400038085,0.0
current_rerender_6p5_r50,mask,93,1650963,131.82259384371423,129,233,248,0.018441358164901334,0.007448380127234832,0.0
current_rerender_6p5_r60,all,93,13713408,29.61443595931806,16,141,219,0.0017291106630824373,0.0006342697599313023,0.0
current_rerender_6p5_r60,core_ge_8px,93,1165245,141.18147342404387,143,235,248,0.019994936687134465,0.007252552038412523,0.0
current_rerender_6p5_r60,fixed_gt30,93,1743410,124.52999810715781,120,229,246,0.0136009315077922,0.00498907313827499,0.0
current_rerender_6p5_r60,mask,93,1650963,128.6813302296902,125,230,247,0.014349806749151858,0.00525935469177686,0.0
current_rerender_6p5_r75,all,93,13713408,29.129272169252165,16,134,212,0.0009144335237455197,0.000240275794317503,0.0
current_rerender_6p5_r75,core_ge_8px,93,1165245,136.30047414921324,137,230,245,0.010464752047852598,0.0026723993666567976,0.0
current_rerender_6p5_r75,fixed_gt30,93,1756888,119.41812910100131,114,223,242,0.007137620610989432,0.0018754752721858194,0.0
current_rerender_6p5_r75,mask,93,1650963,123.93918155646129,120,224,243,0.007584058516150877,0.0019867192662706553,0.0
current_rerender_7p8_r20,all,93,13713408,26.362842701099538,15,124,222,0.002407206144526583,0.0010967368578255676,3.12832521281362e-05
current_rerender_7p8_r20,core_ge_8px,93,744148,151.2099501712025,154,243,252,0.041141009584114985,0.019219295086461294,0.0005751544047689438
current_rerender_7p8_r20,fixed_gt30,93,1188946,139.96222620707752,139,238,250,0.027764927927761227,0.012649859623565747,0.00036082378846474106
current_rerender_7p8_r20,mask,93,1144682,143.4514485245684,143,239,251,0.028822852110891934,0.013131157823744936,0.00037477657550306545
current_rerender_7p8_r50,all,93,13713408,25.669384882299134,15,113,212,0.0015724027171072283,0.0006346343665994624,0.0
current_rerender_7p8_r50,core_ge_8px,93,744148,147.36825335820294,149,239,250,0.028386826276493384,0.011364674768997565,0.0
current_rerender_7p8_r50,fixed_gt30,93,1218464,128.28757271449956,124,232,248,0.017696870814402396,0.0071425992068702895,0.0
current_rerender_7p8_r50,mask,93,1144682,133.57419702589888,130,233,248,0.018821821256908032,0.00759861690845143,0.0
current_rerender_7p8_r75,all,93,13713408,25.09863623980268,15,105,201,0.0006516979586693549,0.00018026153673835125,0.0
current_rerender_7p8_r75,core_ge_8px,93,744148,140.08788708697733,140,232,245,0.01156355993700178,0.0031297537586609117,0.0
current_rerender_7p8_r75,fixed_gt30,93,1235883,119.61636497953285,114,223,242,0.007231267037413736,0.0020001893383111507,0.0
current_rerender_7p8_r75,mask,93,1144682,125.57436126365226,121,225,243,0.0077951780494495415,0.0021569309205526077,0.0
legacy_clahe_rebuilt,all,93,13713408,73.23830720999477,50,197,236,0.004707363771281362,0.002162992598192951,7.044200828853047e-05
legacy_clahe_rebuilt,core_ge_8px,93,1669433,141.5243444930105,144,241,251,0.03398818640819967,0.01581734636849757,0.0003911507679553477
legacy_clahe_rebuilt,fixed_gt30,93,10742964,88.31113154619153,68,205,239,0.006008956187510263,0.0027610629617673484,8.991931835571636e-05
legacy_clahe_rebuilt,mask,93,2190031,122.27464679723711,120,237,250,0.026575422904972577,0.012277908394903999,0.0002981692953204772
legacy_clahe_stored,all,93,13713408,73.4314379036925,50,198,236,0.004747251740778076,0.002228621798461768,0.0005924858357601553
legacy_clahe_stored,core_ge_8px,93,1669433,136.22968097551683,139,240,252,0.03261406717130906,0.015668193931712145,0.00423437178970345
legacy_clahe_stored,fixed_gt30,93,10777619,88.41075129859388,68,206,239,0.006040387955818442,0.0028356912598227865,0.0007538770854675787
legacy_clahe_stored,mask,93,2190031,119.02118965439303,115,237,251,0.025837990421140156,0.012394801717418611,0.0033711851567397905
legacy_final_stored,all,93,13713408,24.472194293351443,11,137,215,0.0011951077368951614,0.00043745508045848266,8.677638702210274e-05
legacy_final_stored,core_ge_8px,93,1669433,115.65007520517445,114,226,244,0.009556538058131114,0.0035173618827470166,0.0006954456992284207
legacy_final_stored,fixed_gt30,93,1721301,122.6680812943233,118,226,244,0.009521286515257936,0.0034851545429881235,0.0006913375406160805
legacy_final_stored,mask,93,2190031,96.23670486856122,88,220,242,0.007356060256681298,0.002701788239527203,0.0005369787003015026
legacy_reblend_r10,all,93,13713408,27.633538213112306,10,162,232,0.003627836348192951,0.0015998940598864993,0.000369929925515233
legacy_reblend_r10,core_ge_8px,93,1669433,135.24858979066545,138,239,251,0.028865489061256126,0.01274025372686415,0.0029249451759968802
legacy_reblend_r10,fixed_gt30,93,2114654,124.55174652685498,118,236,250,0.02352630737699879,0.010375219775906603,0.0023989740165530626
legacy_reblend_r10,mask,93,2190031,117.34406910221819,114,236,250,0.022716573418367136,0.010018123031135176,0.002316405566861839
legacy_reblend_r100,all,93,13713408,26.290989300398557,10,141,215,0.0009519150892323776,0.0003020401639038232,5.0388641539725206e-05
legacy_reblend_r100,core_ge_8px,93,1669433,122.24739537315963,122,226,243,0.007819421324485619,0.0024810819002619453,0.0004139129872238059
legacy_reblend_r100,fixed_gt30,93,2114845,111.13799025460494,101,221,241,0.006172556381200514,0.001958535968357019,0.0003267378933207871
legacy_reblend_r100,mask,93,2190031,103.06087082785587,96,221,241,0.005960646219163108,0.0018912974291231495,0.00031552064788124005
