snip_id,regenerated_snip_id,comparable,legacy_shape,regenerated_shape,orientation_flipped,mean_abs_diff,rmse,max_abs_diff,p99_abs_diff,frac_pixels_above_floor,n_pixels_above_floor,legacy_mean,regenerated_mean,legacy_frac_saturated,regenerated_frac_saturated,legacy_foreground_px,regenerated_foreground_px
20250612_30hpf_ctrl_atf6_D05_e00_t0000,20250612_30hpf_ctrl_atf6_D05_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,11.863661024305555,14.651448070261026,165,51.0,0.9363606770833334,138072,24.38091362847222,34.045817057291664,0.00011528862847222222,8.138020833333333e-05,147108,147456
20250612_30hpf_ctrl_atf6_D06_e00_t0000,20250612_30hpf_ctrl_atf6_D06_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,12.591166178385416,19.49003202845116,202,85.0,0.8489515516493056,125183,25.56662326388889,33.38383653428819,0.0003458658854166667,0.00021701388888888888,147069,147448
20250612_30hpf_ctrl_atf6_D07_e00_t0000,20250612_30hpf_ctrl_atf6_D07_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,6.292283799913195,10.712863384479952,158,49.0,0.6361083984375,93798,20.711439344618057,24.295756022135418,0.00010172526041666667,0.0,147098,147449
20250612_30hpf_ctrl_atf6_D08_e00_t0000,20250612_30hpf_ctrl_atf6_D08_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,6.115275065104167,9.558986708224927,148,40.0,0.6382175021701388,94109,19.901123046875,23.4188232421875,0.0001220703125,0.0,147031,147454
20250612_30hpf_ctrl_atf6_D09_e00_t0000,20250612_30hpf_ctrl_atf6_D09_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,13.77962917751736,15.903716619432009,169,48.0,0.9670817057291666,142602,23.317186143663193,34.72608778211806,0.00015597873263888888,2.0345052083333332e-05,147082,147456
20250612_30hpf_ctrl_atf6_D10_e00_t0000,20250612_30hpf_ctrl_atf6_D10_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,8.938734266493055,17.394755767523886,204,82.0,0.6842447916666666,100896,26.52899169921875,30.028516981336807,0.00037299262152777775,0.00014919704861111112,147093,147456
20250612_30hpf_ctrl_atf6_D11_e00_t0000,20250612_30hpf_ctrl_atf6_D11_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,8.185431586371529,11.548053392828962,129,44.0,0.7470296223958334,110154,26.15488009982639,30.839918348524307,0.00023735894097222222,4.0690104166666664e-05,147046,147456
20250612_30hpf_ctrl_atf6_D12_e00_t0000,20250612_30hpf_ctrl_atf6_D12_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,8.478678385416666,18.915085243299455,218,94.0,0.5576375325520834,82227,25.38214111328125,27.825120713975693,0.0008070203993055555,0.0002712673611111111,147099,147455
20250612_30hpf_ctrl_atf6_E01_e00_t0000,20250612_30hpf_ctrl_atf6_E01_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,6.174614800347222,11.567698953170442,214,53.0,0.5688273111979166,83877,20.07864040798611,22.70370822482639,8.816189236111111e-05,0.0,147038,147456
20250612_30hpf_ctrl_atf6_E02_e00_t0000,20250612_30hpf_ctrl_atf6_E02_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,8.218587239583334,15.428411295674838,215,72.0,0.66473388671875,98019,25.48467339409722,29.08737521701389,0.0005764431423611111,0.0002780490451388889,147012,147456
