experiment_order,experiment_id,path,stage_schema,row_count,unique_snip_count,unique_embryo_count,finite_stage_count,missing_stage_count,stage_min,stage_max,model_versions,unexpected_status_count,max_snips_per_embryo,trajectory_kind,ordered_finite_step_count,negative_stage_step_count,zero_stage_step_count,median_stage_step_hpf,p95_stage_step_hpf,max_stage_step_hpf
38,20230620,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20230620/stage_predictions/20230620_stage_predictions.csv,with_status,5460,5460,62,5460,0,9.0,33.41509895833333,kimmel1995_temp_rate_v1,0,89,time_series,5398,0,0,0.2774195095486096,0.278030316840276,0.5570482855902767
39,20230622,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20230622/stage_predictions/20230622_stage_predictions.csv,with_status,3582,3582,83,3582,0,13.0,32.35107111545139,kimmel1995_temp_rate_v1,0,44,time_series,3499,0,0,0.4267652560763864,0.42739376736111206,0.4335068793402783
40,20230627,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20230627/stage_predictions/20230627_stage_predictions.csv,with_status,4193,4193,95,4193,0,11.66,34.42759034288194,kimmel1995_temp_rate_v1,0,45,time_series,4098,0,0,0.5174339952256943,0.5181877463107671,0.5242721788194427
41,20230629,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20230629/stage_predictions/20230629_stage_predictions.csv,with_status,3918,3918,98,3918,0,14.5,34.40495171440972,kimmel1995_temp_rate_v1,0,42,time_series,3820,0,0,0.4854814453125016,0.4863634613715268,0.5674613281250007
43,20240509_18ss,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20240509_18ss/stage_predictions/20240509_18ss_stage_predictions.csv,with_status,25,25,25,25,0,18.0,18.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
44,20240509_24hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20240509_24hpf/stage_predictions/20240509_24hpf_stage_predictions.csv,with_status,32,32,32,32,0,24.0,24.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
45,20240510,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20240510/stage_predictions/20240510_stage_predictions.csv,with_status,59,59,59,0,59,,,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
46,20240717,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20240717/stage_predictions/20240717_stage_predictions.csv,with_status,68,68,68,68,0,24.0,24.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
47,20240718,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20240718/stage_predictions/20240718_stage_predictions.csv,with_status,99,99,99,64,35,24.0,24.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
48,20240724,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20240724/stage_predictions/20240724_stage_predictions.csv,with_status,56,56,56,56,0,24.0,24.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
49,20240725,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20240725/stage_predictions/20240725_stage_predictions.csv,with_status,64,64,64,64,0,48.0,48.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
