experiment_id,source,authority,path,exists,row_count,size_bytes,mtime_ns,sha256
20260804_seahub_CHEM16_shard007,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_CHEM16_shard007/stage_predictions/20260804_seahub_CHEM16_shard007_stage_predictions.csv,True,,14020.0,1.7860621539748365e+18,f530e9536e00f4e4c0e0b9341083319cf0064d8d44d5a633ba109a2891fc2cb4
20260804_seahub_CHEM16_shard007,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM16_shard007/dropin_frame_inventory.csv,True,,27583.0,1.786036116955004e+18,2f330dd3029cbf7653ba0b9f4c4e3b90797a597c061955e565066ed7affc789c
20260804_seahub_CHEM16_shard007,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM16_shard007/plate_metadata.csv,True,,33744.0,1.786036116988966e+18,6e8430853471687bb419839bf6cfd9527bbbd8fba7f1afe6db2a7998839889a8
20260804_seahub_CHEM16_shard007,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_CHEM16_shard007/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_CHEM17_shard001,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_CHEM17_shard001/stage_predictions/20260804_seahub_CHEM17_shard001_stage_predictions.csv,True,,27892.0,1.7860641318374408e+18,d9c5f821d3d3b51d1acd0f45a6dd64545da7ad425dc1ad28215cb7892857889b
20260804_seahub_CHEM17_shard001,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM17_shard001/dropin_frame_inventory.csv,True,,54711.0,1.786036117096033e+18,55a8b92843d634e138674254c5d5057a63fda719f68102fa90055d1ccfde2c0a
20260804_seahub_CHEM17_shard001,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM17_shard001/plate_metadata.csv,True,,62552.0,1.786036117155739e+18,18b0e9e211d271db1b9f43c72c371b23236f65046ba2087137ccdc3816e14901
20260804_seahub_CHEM17_shard001,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_CHEM17_shard001/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_CHEM17_shard002,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_CHEM17_shard002/stage_predictions/20260804_seahub_CHEM17_shard002_stage_predictions.csv,True,,27892.0,1.7860673274895135e+18,716d9bd56e1ace60b6416fe6857e15a330640109dadea01b3f99bf063e1ba66e
20260804_seahub_CHEM17_shard002,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM17_shard002/dropin_frame_inventory.csv,True,,54711.0,1.786036117262768e+18,82b38f4d939df0063ef8ff7136a6617f1590368b715f8aa496637f808fd4b42d
