path,matched_terms,line_numbers,role_class
results/mcolon/20251222_improved_consensus_clustering_pipeline/test_iqr_vs_knn_filtering.py,predicted_stage_hpf,200|219,launch_or_analysis_script
results/mcolon/20251222_improved_consensus_clustering_pipeline/test_k_selection_pipeline.py,predicted_stage_hpf,213,launch_or_analysis_script
results/mcolon/20251228_b9d2_phenotype_comparisons/b9d2_cross_experiment_validation.py,predicted_stage_hpf,79,launch_or_analysis_script
results/mcolon/20251228_b9d2_phenotype_comparisons/b9d2_phenotype_comparison.py,predicted_stage_hpf,62,launch_or_analysis_script
results/mcolon/20251228_b9d2_phenotype_comparisons/b9d2_phenotype_distribution_by_pair.py,predicted_stage_hpf,72,launch_or_analysis_script
results/mcolon/20251230_pca_morphology_analysis/dtw_clustering_analysis.py,predicted_stage_hpf,96,launch_or_analysis_script
results/mcolon/20251230_pca_morphology_analysis/pca_phenotype_analysis.py,predicted_stage_hpf,73|178,launch_or_analysis_script
results/mcolon/20260102_labmeeting_plots/cep290_cluster_pairwise_comparison.py,predicted_stage_hpf,434,launch_or_analysis_script
results/mcolon/20260102_labmeeting_plots/cep290_curvature_only_analysis.py,predicted_stage_hpf,524,launch_or_analysis_script
results/mcolon/20260102_labmeeting_plots/cep290_per_experiment_analysis.py,predicted_stage_hpf,315|357,launch_or_analysis_script
results/mcolon/20260102_labmeeting_plots/cep290_per_experiment_analysis_curvuture_only.py,predicted_stage_hpf,317|359,launch_or_analysis_script
results/mcolon/20260102_labmeeting_plots/cep290_statistical_analysis.py,predicted_stage_hpf,548,launch_or_analysis_script
results/mcolon/20260102_labmeeting_plots/cep290_statistical_analysis_1hr.py,predicted_stage_hpf,540,launch_or_analysis_script
results/mcolon/20260102_labmeeting_plots/comparison_plotting_utils.py,predicted_stage_hpf,26|46|75|222|280|577|623,launch_or_analysis_script
results/mcolon/20260102_labmeeting_plots/plot_cep290_clusters.py,predicted_stage_hpf,77|138|219|361,launch_or_analysis_script
results/mcolon/20260103_dba_refactor/test_dba_plotting.py,predicted_stage_hpf,93|116|139|164,launch_or_analysis_script
results/mcolon/20260103_penetrance_trajectory_calculations/config.py,predicted_stage_hpf,26,launch_or_analysis_script
results/mcolon/20260104_tmem67_cluster_projection_to_cep290/plot_projection_results.py,predicted_stage_hpf,48,launch_or_analysis_script
results/mcolon/20260104_tmem67_cluster_projection_to_cep290/plot_tmem67_by_genotype_and_cluster.py,predicted_stage_hpf,48,launch_or_analysis_script
results/mcolon/20260104_tmem67_cluster_projection_to_cep290/run_projection.py,predicted_stage_hpf,153,launch_or_analysis_script
results/mcolon/20260105_refined_embedding_and_metric_classification/b9d2_multiclass_analysis.py,predicted_stage_hpf,56,launch_or_analysis_script
results/mcolon/20260105_refined_embedding_and_metric_classification/cep290_minimal_confound_check.py,predicted_stage_hpf,9|48,launch_or_analysis_script
results/mcolon/20260105_refined_embedding_and_metric_classification/cep290_validation_analysis.py,predicted_stage_hpf,66|128|130|132,launch_or_analysis_script
results/mcolon/20260105_refined_embedding_and_metric_classification/qc_development/validate_12hpf_signal.py,predicted_stage_hpf,13|73|79,launch_or_analysis_script
results/mcolon/20260105_refined_embedding_and_metric_classification/qc_development/validate_genotype_comparisons.py,predicted_stage_hpf,57,launch_or_analysis_script
results/mcolon/20260105_refined_embedding_and_metric_classification/qc_development/validate_zscore_divergence.py,predicted_stage_hpf,42|120|135,launch_or_analysis_script
results/mcolon/20260105_refined_embedding_and_metric_classification/utils/divergence.py,predicted_stage_hpf,29|51,launch_or_analysis_script
results/mcolon/20260105_refined_embedding_and_metric_classification/utils/plotting.py,predicted_stage_hpf,24|69,launch_or_analysis_script
results/mcolon/20260105_refined_embedding_and_metric_classification/utils/plotting_functions.py,predicted_stage_hpf,285,launch_or_analysis_script
results/mcolon/20260105_refined_embedding_and_metric_classification/utils/plotting_schemas.py,predicted_stage_hpf,51,launch_or_analysis_script
results/mcolon/20260105_refined_embedding_and_metric_classification/utils/preprocessing.py,predicted_stage_hpf,104|153,launch_or_analysis_script
results/mcolon/20260121_uot-mvp/debug_uot_params.py,predicted_stage_hpf,1093|1097|1098|1103|1105,launch_or_analysis_script
results/mcolon/20260121_uot-mvp/run_consecutive_frames.py,predicted_stage_hpf,81,launch_or_analysis_script
results/mcolon/20260121_uot-mvp/run_cross_embryo_comparison.py,predicted_stage_hpf,76|82|83|90|93|141|142|202|212,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/01_debug_feature_overtime.py,predicted_stage_hpf,52,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/03_dtw_clustering.py,predicted_stage_hpf|time_window,59|86|89|108|114|115|156|235|262,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/04_cluster_projection.py,predicted_stage_hpf,143|172|225|235|559|1032|1033,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/05_projection_splines.py,predicted_stage_hpf,77,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/05b_generate_3d_plots.py,predicted_stage_hpf,57|63|64|70,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/05c_fix_spline_fitting.py,predicted_stage_hpf|time_window,77|81|189|197|198|200|202|217|225,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/05d_simple_trajectory_plots.py,predicted_stage_hpf,72|79|109|118|140|149|222,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/05e_test_spline_parameters.py,predicted_stage_hpf,49|62|78|94,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/05f_splines_with_fixed_wrapper.py,predicted_stage_hpf|time_window,31|40|77|104|113|122|148|152|158|302|306,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/05g_pca_splines_fast.py,predicted_stage_hpf|time_window,96|102|104|108|261,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/06_projection_classification_test.py,predicted_stage_hpf,79|116|149,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/_archive_b9d2_tutorial/07_spline_per_cluster.py,predicted_stage_hpf,75,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/_investigation_dtw_methods/04b_compare_clustering_methods.py,predicted_stage_hpf,97|156|190|246,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/_investigation_dtw_methods/04c_distance_matrix_test.py,predicted_stage_hpf,82|99|114|115|116|117|123|124|140|141|142|143|152|153|159|160|167|176|223|226|227|228|229|238|239|243|244|251|260,launch_or_analysis_script
results/mcolon/20260127_create_src_analyze_tutorial/_investigation_dtw_methods/04d_direct_distance_comparison.py,predicted_stage_hpf,115|116|117|118|126|127|131|132|138|147|175|176|184|185|189|190|196|205,launch_or_analysis_script
