alternative_axis,window_hpf,stratum,stratum_value,sampled_anchor_count,median_jaccard,p05_jaccard,p95_jaccard,median_baseline_candidate_count,median_alternative_candidate_count
legacy_mlp,1.5,experiment_id,25,5,0.9056603773584906,0.4375723753051971,0.9485329485329486,255.0,282.0
legacy_mlp,1.5,experiment_id,26,7,0.5563380281690141,0.061937738355761905,0.792798204101444,268.0,246.0
legacy_mlp,1.5,experiment_id,28,5,0.24571428571428572,0.15301575782707857,0.5671172597716476,433.0,439.0
legacy_mlp,1.5,experiment_id,3,6,0.20732926651941197,0.1360376910082409,0.4602640224516047,1271.5,994.0
legacy_mlp,1.5,experiment_id,32,9,0.6229946524064172,0.19915284857917015,0.8591251885369533,322.0,293.0
legacy_mlp,1.5,experiment_id,33,9,0.8899755501222494,0.7760211750865956,1.0,409.0,331.0
legacy_mlp,1.5,experiment_id,36,14,0.7135667928199048,0.36906330101078494,0.9172453703703703,1292.5,1072.5
legacy_mlp,1.5,experiment_id,4,3,0.31455660903513666,0.2902990218993643,0.3675627729104241,2491.0,2354.0
legacy_mlp,1.5,experiment_id,42,11,0.5467836257309941,0.20117346056952512,0.8754058172662824,1015.0,1118.0
legacy_mlp,1.5,experiment_id,5,5,0.5424836601307189,0.333878495806929,0.8099980578753155,415.0,338.0
legacy_mlp,1.5,experiment_id,6,5,0.44441317196735153,0.4081561846431052,0.4921239509360878,2536.0,2419.0
legacy_mlp,1.5,experiment_id,7,5,0.7777777777777778,0.682312925170068,0.8313725490196079,63.0,68.0
legacy_mlp,1.5,experiment_id,8,3,0.6533333333333333,0.4768218448218448,0.8517411003236245,103.0,90.0
legacy_mlp,1.5,experiment_id,9,5,0.10222350563095582,0.06991008258871946,0.4051236694456122,2134.0,781.0
legacy_mlp,3.0,experiment_id,1,5,0.22269715751228894,0.0910699523070012,0.6503308363039312,2206.0,3515.0
legacy_mlp,3.0,experiment_id,10,1,0.9736842105263158,0.9736842105263158,0.9736842105263158,152.0,148.0
legacy_mlp,3.0,experiment_id,15,2,0.3283520364978112,0.15449868357329927,0.5022053894223231,4237.0,3768.5
legacy_mlp,3.0,experiment_id,17,4,0.39872576115102987,0.3008604455027376,0.5087034310718521,1053.0,1380.0
legacy_mlp,3.0,experiment_id,2,6,0.6333720968292642,0.4749746394792153,0.7036384927830993,3981.0,4570.0
legacy_mlp,3.0,experiment_id,20,4,0.6568286104734515,0.22825252589854544,0.8668844442663032,419.0,276.5
legacy_mlp,3.0,experiment_id,21,7,0.5062220009955202,0.48609936575052853,0.8600348267036617,787.0,1320.0
legacy_mlp,3.0,experiment_id,22,1,0.40353260869565216,0.40353260869565216,0.40353260869565216,300.0,733.0
legacy_mlp,3.0,experiment_id,23,3,0.7215496368038741,0.7138406128831208,0.8119276909531147,369.0,342.0
legacy_mlp,3.0,experiment_id,24,3,0.6827369118621603,0.6565089853038631,0.8953007182132431,256.0,250.0
legacy_mlp,3.0,experiment_id,25,5,0.8926056338028169,0.5271851734970523,0.964573261576819,507.0,568.0
legacy_mlp,3.0,experiment_id,26,7,0.6335719668425018,0.34078089602530537,0.8655835534498902,549.0,457.0
legacy_mlp,3.0,experiment_id,28,5,0.3328110310247571,0.2584619016395797,0.604727774983256,1161.0,793.0
legacy_mlp,3.0,experiment_id,3,6,0.2549512480859768,0.20922628634513196,0.6265510903832372,2630.0,1891.0
legacy_mlp,3.0,experiment_id,32,9,0.6866585067319462,0.3262120945129209,0.8291213253207731,629.0,557.0
legacy_mlp,3.0,experiment_id,33,9,0.8746438746438746,0.8232796697101487,0.9865384615384616,822.0,702.0
legacy_mlp,3.0,experiment_id,36,14,0.8004359770664118,0.6319509375081852,0.9119647503729661,2469.5,2147.0
legacy_mlp,3.0,experiment_id,4,3,0.5826071169208424,0.5402466787451654,0.5827690324182566,4715.0,4735.0
legacy_mlp,3.0,experiment_id,42,11,0.7107051826677995,0.3605755951948073,0.7783794688983336,1954.0,2170.0
legacy_mlp,3.0,experiment_id,5,5,0.7662037037037037,0.6849201696115609,0.7955234632389341,790.0,906.0
legacy_mlp,3.0,experiment_id,6,5,0.6316283435007038,0.5803417992541908,0.647316737774997,5166.0,4773.0
legacy_mlp,3.0,experiment_id,7,5,0.7671232876712328,0.6944838056680163,0.9798076923076923,133.0,125.0
