well,variant,target_pixel_size_um,blend_radius_um,background_mean,background_std
A08,render_6p5_r75,6.5,75.0,19.43346,2.2677112753611297
A08,render_7p8_r75,7.8,75.0,19.43346,2.2677112753611297
A08,render_6p5_r20,6.5,20.0,19.43346,2.2677112753611297
A08,render_7p8_r20,7.8,20.0,19.43346,2.2677112753611297
A09,render_6p5_r75,6.5,75.0,19.631460000000004,3.232065634915232
A09,render_7p8_r75,7.8,75.0,19.631460000000004,3.232065634915232
A09,render_6p5_r20,6.5,20.0,19.631460000000004,3.232065634915232
A09,render_7p8_r20,7.8,20.0,19.631460000000004,3.232065634915232
A10,render_6p5_r75,6.5,75.0,16.236600000000003,4.230518696330274
A10,render_7p8_r75,7.8,75.0,16.236600000000003,4.230518696330274
A10,render_6p5_r20,6.5,20.0,16.236600000000003,4.230518696330274
A10,render_7p8_r20,7.8,20.0,16.236600000000003,4.230518696330274
A11,render_6p5_r75,6.5,75.0,15.76744,3.642219631817939
A11,render_7p8_r75,7.8,75.0,15.76744,3.642219631817939
A11,render_6p5_r20,6.5,20.0,15.76744,3.642219631817939
A11,render_7p8_r20,7.8,20.0,15.76744,3.642219631817939
A12,render_6p5_r75,6.5,75.0,15.10762,1.7207509801246663
A12,render_7p8_r75,7.8,75.0,15.10762,1.7207509801246663
A12,render_6p5_r20,6.5,20.0,15.10762,1.7207509801246663
A12,render_7p8_r20,7.8,20.0,15.10762,1.7207509801246663
B01,render_6p5_r75,6.5,75.0,17.80032,3.762127044319477
B01,render_7p8_r75,7.8,75.0,17.80032,3.762127044319477
B01,render_6p5_r20,6.5,20.0,17.80032,3.762127044319477
B01,render_7p8_r20,7.8,20.0,17.80032,3.762127044319477
B02,render_6p5_r75,6.5,75.0,19.39568,2.2272569087557006
B02,render_7p8_r75,7.8,75.0,19.39568,2.2272569087557006
B02,render_6p5_r20,6.5,20.0,19.39568,2.2272569087557006
B02,render_7p8_r20,7.8,20.0,19.39568,2.2272569087557006
B03,render_6p5_r75,6.5,75.0,20.625880000000002,3.9379728573975727
B03,render_7p8_r75,7.8,75.0,20.625880000000002,3.9379728573975727
B03,render_6p5_r20,6.5,20.0,20.625880000000002,3.9379728573975727
B03,render_7p8_r20,7.8,20.0,20.625880000000002,3.9379728573975727
B04,render_6p5_r75,6.5,75.0,18.18926,4.545034065042858
B04,render_7p8_r75,7.8,75.0,18.18926,4.545034065042858
B04,render_6p5_r20,6.5,20.0,18.18926,4.545034065042858
B04,render_7p8_r20,7.8,20.0,18.18926,4.545034065042858
B05,render_6p5_r75,6.5,75.0,14.042380000000001,1.6034044828426794
B05,render_7p8_r75,7.8,75.0,14.042380000000001,1.6034044828426794
B05,render_6p5_r20,6.5,20.0,14.042380000000001,1.6034044828426794
B05,render_7p8_r20,7.8,20.0,14.042380000000001,1.6034044828426794
B07,render_6p5_r75,6.5,75.0,17.771440000000002,1.0443640775132015
B07,render_7p8_r75,7.8,75.0,17.771440000000002,1.0443640775132015
B07,render_6p5_r20,6.5,20.0,17.771440000000002,1.0443640775132015
B07,render_7p8_r20,7.8,20.0,17.771440000000002,1.0443640775132015
B08,render_6p5_r75,6.5,75.0,16.915960000000002,3.750784621702505
B08,render_7p8_r75,7.8,75.0,16.915960000000002,3.750784621702505
B08,render_6p5_r20,6.5,20.0,16.915960000000002,3.750784621702505
B08,render_7p8_r20,7.8,20.0,16.915960000000002,3.750784621702505
B09,render_6p5_r75,6.5,75.0,20.143500000000003,1.905550248615869
B09,render_7p8_r75,7.8,75.0,20.143500000000003,1.905550248615869
B09,render_6p5_r20,6.5,20.0,20.143500000000003,1.905550248615869
B09,render_7p8_r20,7.8,20.0,20.143500000000003,1.905550248615869
B10,render_6p5_r75,6.5,75.0,14.708000000000002,1.5846223524865477
B10,render_7p8_r75,7.8,75.0,14.708000000000002,1.5846223524865477
B10,render_6p5_r20,6.5,20.0,14.708000000000002,1.5846223524865477
B10,render_7p8_r20,7.8,20.0,14.708000000000002,1.5846223524865477
B11,render_6p5_r75,6.5,75.0,16.347360000000002,3.964873898423505
B11,render_7p8_r75,7.8,75.0,16.347360000000002,3.964873898423505
B11,render_6p5_r20,6.5,20.0,16.347360000000002,3.964873898423505
B11,render_7p8_r20,7.8,20.0,16.347360000000002,3.964873898423505
B12,render_6p5_r75,6.5,75.0,14.0096,1.1456840052998907
B12,render_7p8_r75,7.8,75.0,14.0096,1.1456840052998907
B12,render_6p5_r20,6.5,20.0,14.0096,1.1456840052998907
B12,render_7p8_r20,7.8,20.0,14.0096,1.1456840052998907
C01,render_6p5_r75,6.5,75.0,18.387600000000003,5.1665588393049395
C01,render_7p8_r75,7.8,75.0,18.387600000000003,5.1665588393049395
C01,render_6p5_r20,6.5,20.0,18.387600000000003,5.1665588393049395
C01,render_7p8_r20,7.8,20.0,18.387600000000003,5.1665588393049395
C02,render_6p5_r75,6.5,75.0,20.153180000000003,1.948925316065241
C02,render_7p8_r75,7.8,75.0,20.153180000000003,1.948925316065241
C02,render_6p5_r20,6.5,20.0,20.153180000000003,1.948925316065241
C02,render_7p8_r20,7.8,20.0,20.153180000000003,1.948925316065241
C03,render_6p5_r75,6.5,75.0,19.500380000000003,4.913175536819339
C03,render_7p8_r75,7.8,75.0,19.500380000000003,4.913175536819339
C03,render_6p5_r20,6.5,20.0,19.500380000000003,4.913175536819339
C03,render_7p8_r20,7.8,20.0,19.500380000000003,4.913175536819339
C04,render_6p5_r75,6.5,75.0,15.206540000000002,2.941819033931217
C04,render_7p8_r75,7.8,75.0,15.206540000000002,2.941819033931217
C04,render_6p5_r20,6.5,20.0,15.206540000000002,2.941819033931217
C04,render_7p8_r20,7.8,20.0,15.206540000000002,2.941819033931217
C05,render_6p5_r75,6.5,75.0,15.020840000000002,1.1659406907729055
C05,render_7p8_r75,7.8,75.0,15.020840000000002,1.1659406907729055
C05,render_6p5_r20,6.5,20.0,15.020840000000002,1.1659406907729055
C05,render_7p8_r20,7.8,20.0,15.020840000000002,1.1659406907729055
C08,render_6p5_r75,6.5,75.0,15.05418,1.314710054574772
C08,render_7p8_r75,7.8,75.0,15.05418,1.314710054574772
C08,render_6p5_r20,6.5,20.0,15.05418,1.314710054574772
C08,render_7p8_r20,7.8,20.0,15.05418,1.314710054574772
C09,render_6p5_r75,6.5,75.0,17.767300000000002,3.7481361648157883
C09,render_7p8_r75,7.8,75.0,17.767300000000002,3.7481361648157883
C09,render_6p5_r20,6.5,20.0,17.767300000000002,3.7481361648157883
C09,render_7p8_r20,7.8,20.0,17.767300000000002,3.7481361648157883
C10,render_6p5_r75,6.5,75.0,19.0669,4.4062381222534945
C10,render_7p8_r75,7.8,75.0,19.0669,4.4062381222534945
C10,render_6p5_r20,6.5,20.0,19.0669,4.4062381222534945
C10,render_7p8_r20,7.8,20.0,19.0669,4.4062381222534945
C11,render_6p5_r75,6.5,75.0,16.336859999999998,3.1491902674179597
C11,render_7p8_r75,7.8,75.0,16.336859999999998,3.1491902674179597
C11,render_6p5_r20,6.5,20.0,16.336859999999998,3.1491902674179597
C11,render_7p8_r20,7.8,20.0,16.336859999999998,3.1491902674179597
C12,render_6p5_r75,6.5,75.0,13.01394,1.3743375409265368
C12,render_7p8_r75,7.8,75.0,13.01394,1.3743375409265368
C12,render_6p5_r20,6.5,20.0,13.01394,1.3743375409265368
C12,render_7p8_r20,7.8,20.0,13.01394,1.3743375409265368
D01,render_6p5_r75,6.5,75.0,15.75374,6.081903485949116
D01,render_7p8_r75,7.8,75.0,15.75374,6.081903485949116
D01,render_6p5_r20,6.5,20.0,15.75374,6.081903485949116
D01,render_7p8_r20,7.8,20.0,15.75374,6.081903485949116
D02,render_6p5_r75,6.5,75.0,18.4615,3.5921024136290995
D02,render_7p8_r75,7.8,75.0,18.4615,3.5921024136290995
D02,render_6p5_r20,6.5,20.0,18.4615,3.5921024136290995
D02,render_7p8_r20,7.8,20.0,18.4615,3.5921024136290995
D03,render_6p5_r75,6.5,75.0,19.2259,4.400531239520975
D03,render_7p8_r75,7.8,75.0,19.2259,4.400531239520975
D03,render_6p5_r20,6.5,20.0,19.2259,4.400531239520975
D03,render_7p8_r20,7.8,20.0,19.2259,4.400531239520975
D04,render_6p5_r75,6.5,75.0,19.861420000000003,4.3604474063563705
D04,render_7p8_r75,7.8,75.0,19.861420000000003,4.3604474063563705
D04,render_6p5_r20,6.5,20.0,19.861420000000003,4.3604474063563705
D04,render_7p8_r20,7.8,20.0,19.861420000000003,4.3604474063563705
D05,render_6p5_r75,6.5,75.0,21.132260000000002,2.9004546699440072
D05,render_7p8_r75,7.8,75.0,21.132260000000002,2.9004546699440072
D05,render_6p5_r20,6.5,20.0,21.132260000000002,2.9004546699440072
D05,render_7p8_r20,7.8,20.0,21.132260000000002,2.9004546699440072
D06,render_6p5_r75,6.5,75.0,19.412260000000003,4.831640269349531
D06,render_7p8_r75,7.8,75.0,19.412260000000003,4.831640269349531
D06,render_6p5_r20,6.5,20.0,19.412260000000003,4.831640269349531
D06,render_7p8_r20,7.8,20.0,19.412260000000003,4.831640269349531
D07,render_6p5_r75,6.5,75.0,14.58508,1.0368304555712087
D07,render_7p8_r75,7.8,75.0,14.58508,1.0368304555712087
D07,render_6p5_r20,6.5,20.0,14.58508,1.0368304555712087
D07,render_7p8_r20,7.8,20.0,14.58508,1.0368304555712087
D08,render_6p5_r75,6.5,75.0,14.67416,1.5179118203637523
D08,render_7p8_r75,7.8,75.0,14.67416,1.5179118203637523
D08,render_6p5_r20,6.5,20.0,14.67416,1.5179118203637523
D08,render_7p8_r20,7.8,20.0,14.67416,1.5179118203637523
D09,render_6p5_r75,6.5,75.0,23.52112,2.7577001188671693
D09,render_7p8_r75,7.8,75.0,23.52112,2.7577001188671693
D09,render_6p5_r20,6.5,20.0,23.52112,2.7577001188671693
D09,render_7p8_r20,7.8,20.0,23.52112,2.7577001188671693
D10,render_6p5_r75,6.5,75.0,15.061660000000002,0.9002577655316282
D10,render_7p8_r75,7.8,75.0,15.061660000000002,0.9002577655316282
D10,render_6p5_r20,6.5,20.0,15.061660000000002,0.9002577655316282
D10,render_7p8_r20,7.8,20.0,15.061660000000002,0.9002577655316282
D11,render_6p5_r75,6.5,75.0,16.56792,3.483147839756447
D11,render_7p8_r75,7.8,75.0,16.56792,3.483147839756447
D11,render_6p5_r20,6.5,20.0,16.56792,3.483147839756447
D11,render_7p8_r20,7.8,20.0,16.56792,3.483147839756447
D12,render_6p5_r75,6.5,75.0,13.53892,1.1925524028737688
D12,render_7p8_r75,7.8,75.0,13.53892,1.1925524028737688
D12,render_6p5_r20,6.5,20.0,13.53892,1.1925524028737688
D12,render_7p8_r20,7.8,20.0,13.53892,1.1925524028737688
E01,render_6p5_r75,6.5,75.0,13.63946,2.7066046826974937
E01,render_7p8_r75,7.8,75.0,13.63946,2.7066046826974937
E01,render_6p5_r20,6.5,20.0,13.63946,2.7066046826974937
E01,render_7p8_r20,7.8,20.0,13.63946,2.7066046826974937
E02,render_6p5_r75,6.5,75.0,14.785499999999999,1.185920633938039
E02,render_7p8_r75,7.8,75.0,14.785499999999999,1.185920633938039
E02,render_6p5_r20,6.5,20.0,14.785499999999999,1.185920633938039
E02,render_7p8_r20,7.8,20.0,14.785499999999999,1.185920633938039
E03,render_6p5_r75,6.5,75.0,15.10832,1.3031204002700596
E03,render_7p8_r75,7.8,75.0,15.10832,1.3031204002700596
E03,render_6p5_r20,6.5,20.0,15.10832,1.3031204002700596
E03,render_7p8_r20,7.8,20.0,15.10832,1.3031204002700596
E04,render_6p5_r75,6.5,75.0,15.422620000000002,1.0460852429893082
E04,render_7p8_r75,7.8,75.0,15.422620000000002,1.0460852429893082
E04,render_6p5_r20,6.5,20.0,15.422620000000002,1.0460852429893082
E04,render_7p8_r20,7.8,20.0,15.422620000000002,1.0460852429893082
E05,render_6p5_r75,6.5,75.0,18.12026,4.732666429445456
E05,render_7p8_r75,7.8,75.0,18.12026,4.732666429445456
E05,render_6p5_r20,6.5,20.0,18.12026,4.732666429445456
E05,render_7p8_r20,7.8,20.0,18.12026,4.732666429445456
E06,render_6p5_r75,6.5,75.0,13.8816,1.2465012795821753
E06,render_7p8_r75,7.8,75.0,13.8816,1.2465012795821753
E06,render_6p5_r20,6.5,20.0,13.8816,1.2465012795821753
E06,render_7p8_r20,7.8,20.0,13.8816,1.2465012795821753
E07,render_6p5_r75,6.5,75.0,16.20272,0.6568748751474668
E07,render_7p8_r75,7.8,75.0,16.20272,0.6568748751474668
E07,render_6p5_r20,6.5,20.0,16.20272,0.6568748751474668
E07,render_7p8_r20,7.8,20.0,16.20272,0.6568748751474668
E08,render_6p5_r75,6.5,75.0,15.296520000000001,1.0025427121075692
E08,render_7p8_r75,7.8,75.0,15.296520000000001,1.0025427121075692
E08,render_6p5_r20,6.5,20.0,15.296520000000001,1.0025427121075692
E08,render_7p8_r20,7.8,20.0,15.296520000000001,1.0025427121075692
E09,render_6p5_r75,6.5,75.0,14.18622,1.0496952470121983
E09,render_7p8_r75,7.8,75.0,14.18622,1.0496952470121983
E09,render_6p5_r20,6.5,20.0,14.18622,1.0496952470121983
E09,render_7p8_r20,7.8,20.0,14.18622,1.0496952470121983
E10,render_6p5_r75,6.5,75.0,16.604020000000002,3.0381866038148484
E10,render_7p8_r75,7.8,75.0,16.604020000000002,3.0381866038148484
E10,render_6p5_r20,6.5,20.0,16.604020000000002,3.0381866038148484
E10,render_7p8_r20,7.8,20.0,16.604020000000002,3.0381866038148484
E11,render_6p5_r75,6.5,75.0,14.608060000000002,1.003123639637707
E11,render_7p8_r75,7.8,75.0,14.608060000000002,1.003123639637707
E11,render_6p5_r20,6.5,20.0,14.608060000000002,1.003123639637707
E11,render_7p8_r20,7.8,20.0,14.608060000000002,1.003123639637707
E12,render_6p5_r75,6.5,75.0,12.52758,1.092247839823911
E12,render_7p8_r75,7.8,75.0,12.52758,1.092247839823911
E12,render_6p5_r20,6.5,20.0,12.52758,1.092247839823911
E12,render_7p8_r20,7.8,20.0,12.52758,1.092247839823911
F01,render_6p5_r75,6.5,75.0,12.978460000000002,2.5240788475006086
F01,render_7p8_r75,7.8,75.0,12.978460000000002,2.5240788475006086
F01,render_6p5_r20,6.5,20.0,12.978460000000002,2.5240788475006086
F01,render_7p8_r20,7.8,20.0,12.978460000000002,2.5240788475006086
F02,render_6p5_r75,6.5,75.0,14.581780000000002,1.4301755247521195
F02,render_7p8_r75,7.8,75.0,14.581780000000002,1.4301755247521195
F02,render_6p5_r20,6.5,20.0,14.581780000000002,1.4301755247521195
F02,render_7p8_r20,7.8,20.0,14.581780000000002,1.4301755247521195
F03,render_6p5_r75,6.5,75.0,16.21102,0.6200069028647989
F03,render_7p8_r75,7.8,75.0,16.21102,0.6200069028647989
F03,render_6p5_r20,6.5,20.0,16.21102,0.6200069028647989
F03,render_7p8_r20,7.8,20.0,16.21102,0.6200069028647989
F04,render_6p5_r75,6.5,75.0,15.56644,0.6487786420652272
F04,render_7p8_r75,7.8,75.0,15.56644,0.6487786420652272
F04,render_6p5_r20,6.5,20.0,15.56644,0.6487786420652272
F04,render_7p8_r20,7.8,20.0,15.56644,0.6487786420652272
F05,render_6p5_r75,6.5,75.0,15.03782,1.2233934966313988
F05,render_7p8_r75,7.8,75.0,15.03782,1.2233934966313988
F05,render_6p5_r20,6.5,20.0,15.03782,1.2233934966313988
F05,render_7p8_r20,7.8,20.0,15.03782,1.2233934966313988
F06,render_6p5_r75,6.5,75.0,15.0516,1.9781641590120878
F06,render_7p8_r75,7.8,75.0,15.0516,1.9781641590120878
F06,render_6p5_r20,6.5,20.0,15.0516,1.9781641590120878
F06,render_7p8_r20,7.8,20.0,15.0516,1.9781641590120878
F07,render_6p5_r75,6.5,75.0,15.69826,0.6335163552742739
F07,render_7p8_r75,7.8,75.0,15.69826,0.6335163552742739
F07,render_6p5_r20,6.5,20.0,15.69826,0.6335163552742739
F07,render_7p8_r20,7.8,20.0,15.69826,0.6335163552742739
F08,render_6p5_r75,6.5,75.0,15.337000000000002,0.6902137350125684
F08,render_7p8_r75,7.8,75.0,15.337000000000002,0.6902137350125684
F08,render_6p5_r20,6.5,20.0,15.337000000000002,0.6902137350125684
F08,render_7p8_r20,7.8,20.0,15.337000000000002,0.6902137350125684
F09,render_6p5_r75,6.5,75.0,13.63732,1.2887122322690976
F09,render_7p8_r75,7.8,75.0,13.63732,1.2887122322690976
F09,render_6p5_r20,6.5,20.0,13.63732,1.2887122322690976
F09,render_7p8_r20,7.8,20.0,13.63732,1.2887122322690976
F10,render_6p5_r75,6.5,75.0,15.55674,3.1727500015601606
F10,render_7p8_r75,7.8,75.0,15.55674,3.1727500015601606
F10,render_6p5_r20,6.5,20.0,15.55674,3.1727500015601606
F10,render_7p8_r20,7.8,20.0,15.55674,3.1727500015601606
F11,render_6p5_r75,6.5,75.0,16.53328,3.0090583978381016
F11,render_7p8_r75,7.8,75.0,16.53328,3.0090583978381016
F11,render_6p5_r20,6.5,20.0,16.53328,3.0090583978381016
F11,render_7p8_r20,7.8,20.0,16.53328,3.0090583978381016
F12,render_6p5_r75,6.5,75.0,13.251400000000002,1.9595861910107453
F12,render_7p8_r75,7.8,75.0,13.251400000000002,1.9595861910107453
F12,render_6p5_r20,6.5,20.0,13.251400000000002,1.9595861910107453
F12,render_7p8_r20,7.8,20.0,13.251400000000002,1.9595861910107453
G01,render_6p5_r75,6.5,75.0,15.362440000000001,1.7184275505240247
G01,render_7p8_r75,7.8,75.0,15.362440000000001,1.7184275505240247
G01,render_6p5_r20,6.5,20.0,15.362440000000001,1.7184275505240247
G01,render_7p8_r20,7.8,20.0,15.362440000000001,1.7184275505240247
G02,render_6p5_r75,6.5,75.0,15.21778,1.1522698779365883
G02,render_7p8_r75,7.8,75.0,15.21778,1.1522698779365883
G02,render_6p5_r20,6.5,20.0,15.21778,1.1522698779365883
G02,render_7p8_r20,7.8,20.0,15.21778,1.1522698779365883
G03,render_6p5_r75,6.5,75.0,15.36898,1.204038105543176
G03,render_7p8_r75,7.8,75.0,15.36898,1.204038105543176
G03,render_6p5_r20,6.5,20.0,15.36898,1.204038105543176
G03,render_7p8_r20,7.8,20.0,15.36898,1.204038105543176
G04,render_6p5_r75,6.5,75.0,15.370980000000001,0.9695235116282638
G04,render_7p8_r75,7.8,75.0,15.370980000000001,0.9695235116282638
G04,render_6p5_r20,6.5,20.0,15.370980000000001,0.9695235116282638
G04,render_7p8_r20,7.8,20.0,15.370980000000001,0.9695235116282638
G05,render_6p5_r75,6.5,75.0,14.629,1.2122899818112827
G05,render_7p8_r75,7.8,75.0,14.629,1.2122899818112827
G05,render_6p5_r20,6.5,20.0,14.629,1.2122899818112827
G05,render_7p8_r20,7.8,20.0,14.629,1.2122899818112827
G06,render_6p5_r75,6.5,75.0,16.52176,0.5975838873329836
G06,render_7p8_r75,7.8,75.0,16.52176,0.5975838873329836
G06,render_6p5_r20,6.5,20.0,16.52176,0.5975838873329836
G06,render_7p8_r20,7.8,20.0,16.52176,0.5975838873329836
G07,render_6p5_r75,6.5,75.0,15.704460000000001,1.059993447338237
G07,render_7p8_r75,7.8,75.0,15.704460000000001,1.059993447338237
G07,render_6p5_r20,6.5,20.0,15.704460000000001,1.059993447338237
G07,render_7p8_r20,7.8,20.0,15.704460000000001,1.059993447338237
G08,render_6p5_r75,6.5,75.0,15.674000000000001,0.7055409272324321
G08,render_7p8_r75,7.8,75.0,15.674000000000001,0.7055409272324321
G08,render_6p5_r20,6.5,20.0,15.674000000000001,0.7055409272324321
G08,render_7p8_r20,7.8,20.0,15.674000000000001,0.7055409272324321
G09,render_6p5_r75,6.5,75.0,14.42548,1.0041447951366378
G09,render_7p8_r75,7.8,75.0,14.42548,1.0041447951366378
G09,render_6p5_r20,6.5,20.0,14.42548,1.0041447951366378
G09,render_7p8_r20,7.8,20.0,14.42548,1.0041447951366378
G10,render_6p5_r75,6.5,75.0,15.697540000000002,0.6137523510341936
G10,render_7p8_r75,7.8,75.0,15.697540000000002,0.6137523510341936
G10,render_6p5_r20,6.5,20.0,15.697540000000002,0.6137523510341936
G10,render_7p8_r20,7.8,20.0,15.697540000000002,0.6137523510341936
G11,render_6p5_r75,6.5,75.0,15.769820000000003,0.8061533151950688
G11,render_7p8_r75,7.8,75.0,15.769820000000003,0.8061533151950688
G11,render_6p5_r20,6.5,20.0,15.769820000000003,0.8061533151950688
G11,render_7p8_r20,7.8,20.0,15.769820000000003,0.8061533151950688
G12,render_6p5_r75,6.5,75.0,15.03646,1.4376190971185658
G12,render_7p8_r75,7.8,75.0,15.03646,1.4376190971185658
G12,render_6p5_r20,6.5,20.0,15.03646,1.4376190971185658
G12,render_7p8_r20,7.8,20.0,15.03646,1.4376190971185658
H01,render_6p5_r75,6.5,75.0,10.594240000000001,1.5568746970774496
H01,render_7p8_r75,7.8,75.0,10.594240000000001,1.5568746970774496
H01,render_6p5_r20,6.5,20.0,10.594240000000001,1.5568746970774496
H01,render_7p8_r20,7.8,20.0,10.594240000000001,1.5568746970774496
H02,render_6p5_r75,6.5,75.0,14.936840000000002,0.9367618771064502
H02,render_7p8_r75,7.8,75.0,14.936840000000002,0.9367618771064502
H02,render_6p5_r20,6.5,20.0,14.936840000000002,0.9367618771064502
H02,render_7p8_r20,7.8,20.0,14.936840000000002,0.9367618771064502
H03,render_6p5_r75,6.5,75.0,13.431379999999999,1.5513997858708115
H03,render_7p8_r75,7.8,75.0,13.431379999999999,1.5513997858708115
H03,render_6p5_r20,6.5,20.0,13.431379999999999,1.5513997858708115
H03,render_7p8_r20,7.8,20.0,13.431379999999999,1.5513997858708115
H04,render_6p5_r75,6.5,75.0,14.06514,1.215107723784192
H04,render_7p8_r75,7.8,75.0,14.06514,1.215107723784192
H04,render_6p5_r20,6.5,20.0,14.06514,1.215107723784192
H04,render_7p8_r20,7.8,20.0,14.06514,1.215107723784192
H05,render_6p5_r75,6.5,75.0,14.26632,1.2502566366950427
H05,render_7p8_r75,7.8,75.0,14.26632,1.2502566366950427
H05,render_6p5_r20,6.5,20.0,14.26632,1.2502566366950427
H05,render_7p8_r20,7.8,20.0,14.26632,1.2502566366950427
H06,render_6p5_r75,6.5,75.0,13.7284,1.0559552263235408
H06,render_7p8_r75,7.8,75.0,13.7284,1.0559552263235408
H06,render_6p5_r20,6.5,20.0,13.7284,1.0559552263235408
H06,render_7p8_r20,7.8,20.0,13.7284,1.0559552263235408
H07,render_6p5_r75,6.5,75.0,13.95292,0.9986748588004007
H07,render_7p8_r75,7.8,75.0,13.95292,0.9986748588004007
H07,render_6p5_r20,6.5,20.0,13.95292,0.9986748588004007
H07,render_7p8_r20,7.8,20.0,13.95292,0.9986748588004007
H08,render_6p5_r75,6.5,75.0,13.864400000000002,1.3463300635431121
H08,render_7p8_r75,7.8,75.0,13.864400000000002,1.3463300635431121
H08,render_6p5_r20,6.5,20.0,13.864400000000002,1.3463300635431121
H08,render_7p8_r20,7.8,20.0,13.864400000000002,1.3463300635431121
H09,render_6p5_r75,6.5,75.0,13.05968,1.4560845777632565
H09,render_7p8_r75,7.8,75.0,13.05968,1.4560845777632565
H09,render_6p5_r20,6.5,20.0,13.05968,1.4560845777632565
H09,render_7p8_r20,7.8,20.0,13.05968,1.4560845777632565
H10,render_6p5_r75,6.5,75.0,13.538300000000001,1.6010980950585134
H10,render_7p8_r75,7.8,75.0,13.538300000000001,1.6010980950585134
H10,render_6p5_r20,6.5,20.0,13.538300000000001,1.6010980950585134
H10,render_7p8_r20,7.8,20.0,13.538300000000001,1.6010980950585134
H11,render_6p5_r75,6.5,75.0,14.51772,1.1510699377535667
H11,render_7p8_r75,7.8,75.0,14.51772,1.1510699377535667
H11,render_6p5_r20,6.5,20.0,14.51772,1.1510699377535667
H11,render_7p8_r20,7.8,20.0,14.51772,1.1510699377535667
H12,render_6p5_r75,6.5,75.0,11.28278,1.1651461159871752
H12,render_7p8_r75,7.8,75.0,11.28278,1.1651461159871752
H12,render_6p5_r20,6.5,20.0,11.28278,1.1651461159871752
H12,render_7p8_r20,7.8,20.0,11.28278,1.1651461159871752
