dimension,family,pre_vs_legacy_correlation,post_vs_legacy_correlation,pre_vs_post_correlation
51,biological,0.7085034651780209,0.625631812924194,0.7938477410641642
52,biological,0.6759738208650444,0.6622520121124646,0.79317246735336
53,biological,0.4020280493470712,0.26170383593827884,0.6759995372462431
54,biological,0.018181720919136165,0.062100767105981974,0.9232428756721961
55,biological,0.47348600333574503,0.5729197038903165,0.9539558307590059
56,biological,0.26428989527876695,0.3491705628027248,0.8263088601582829
57,biological,0.03162590813016861,0.09504880402942038,0.9702252881713339
58,biological,0.5739146419464355,0.5620106635989939,0.9083230286160761
59,biological,0.3301770783660734,0.45495008336726195,0.9531330392235036
60,biological,0.47236707133638756,0.33702420183062287,0.7277160022325846
61,biological,0.66138224372277,0.6802108638236952,0.9148164054943445
62,biological,0.3669673316124314,0.45285959989902713,0.9576009064754172
63,biological,0.3666724778562124,0.29621901929842737,0.779413568776516
64,biological,0.6677252136587012,0.6455142658041773,0.7812117051698156
65,biological,0.6109753223076173,0.626581444696706,0.9299075795924404
66,biological,0.6037875532637157,0.6150566617211014,0.7895333870916544
67,biological,0.11285738104576819,0.14182275211124465,0.9604344294955618
68,biological,0.7200759805486775,0.5938624281443373,0.810119153461004
69,biological,0.631012125134989,0.590322019113483,0.7622303740368181
70,biological,0.735269506736444,0.6967405722593262,0.8968181401461331
71,biological,0.9528889804157343,0.9561196537769996,0.9957093439563371
72,biological,0.4189489338384528,0.2693444403462093,0.7173611571732063
73,biological,0.5561278939832468,0.6519787156755921,0.9333729747054986
74,biological,0.5831336680082955,0.6035188514731346,0.8067195373317276
75,biological,0.3554941579191122,0.46467303839078655,0.8961694186625706
76,biological,0.34410658779770326,0.42660381130366803,0.9151847889560356
77,biological,0.7249809482025628,0.6215139287254973,0.8223963667051072
78,biological,0.6266065265911088,0.6472424087951458,0.748284103491823
79,biological,0.41877728794922947,0.3268404899625638,0.7380897955180858
80,biological,0.4924141091587237,0.19478887003537787,0.4274850309850871
81,biological,0.66078977355583,0.6932668443846806,0.9299452784103498
82,biological,0.2159172678315231,0.19760298575385282,0.9319796056067717
83,biological,0.4047077908039836,0.46855102142801386,0.6399072459221791
84,biological,0.7446422372435305,0.5526794691575059,0.6932325301363034
85,biological,0.29000475218444827,0.4221802014236468,0.9666557024730519
86,biological,0.5965840300819276,0.5317233067336555,0.8277971139632987
87,biological,0.4918813026637615,0.6240984202875078,0.9115405231455947
88,biological,-0.018251705649686145,-0.008600803809822526,0.9750590889404441
89,biological,0.560100784547049,0.5781330699173379,0.8354345899790229
90,biological,0.6382619973156004,0.5867286669557523,0.874518998440477
91,biological,0.18206756367959864,0.23096606705873537,0.9359376015242039
92,biological,0.2666893223118321,0.37849310917267015,0.9586889391468788
93,biological,0.6114698820721154,0.47826706349421455,0.8847707866400167
94,biological,0.5245437039813717,0.5859653908517498,0.866707137235069
95,biological,0.5573771205089143,0.22983338476652995,0.43436173086749325
96,biological,0.3072811205706664,0.37330430262899955,0.9546936101555183
97,biological,0.17749966022202568,0.27907605187875667,0.9710597176048259
98,biological,0.7158213269205191,0.7252123640976426,0.8845971072907383
99,biological,-0.030994042335187905,-0.08573384654605898,0.8767940959088613
