well,observed_legacy_uncropped__n_pixels,observed_legacy_uncropped__mean,observed_legacy_uncropped__p95,observed_legacy_uncropped__frac_ge_250,observed_legacy_uncropped__frac_eq_255,reconstructed_legacy_memory__n_pixels,reconstructed_legacy_memory__mean,reconstructed_legacy_memory__p95,reconstructed_legacy_memory__frac_ge_250,reconstructed_legacy_memory__frac_eq_255,reconstructed_legacy_jpeg__n_pixels,reconstructed_legacy_jpeg__mean,reconstructed_legacy_jpeg__p95,reconstructed_legacy_jpeg__frac_ge_250,reconstructed_legacy_jpeg__frac_eq_255,current_source_legacy_mask__n_pixels,current_source_legacy_mask__mean,current_source_legacy_mask__p95,current_source_legacy_mask__frac_ge_250,current_source_legacy_mask__frac_eq_255,legacy_source_current_mask__n_pixels,legacy_source_current_mask__mean,legacy_source_current_mask__p95,legacy_source_current_mask__frac_ge_250,legacy_source_current_mask__frac_eq_255,current_source_current_mask__n_pixels,current_source_current_mask__mean,current_source_current_mask__p95,current_source_current_mask__frac_ge_250,current_source_current_mask__frac_eq_255,reconstruction__mae,reconstruction__rmse,reconstruction__correlation,source_raw__mae,source_raw__rmse,source_raw__correlation
A11,19944,142.26584436421982,239.0,0.013086642599277979,0.00315884476534296,20155,142.50627635822377,239.0,0.012205408087323245,0.00024807740014884643,20155,142.50860828578516,239.0,0.012949640287769784,0.0031257752418754653,20155,143.2143388737286,239.0,0.014487720168692632,4.961548002976929e-05,19692,146.10755636806826,240.0,0.016351817997156206,0.0004062563477554337,19692,145.8277473085517,239.0,0.014218972171440178,5.078204346942921e-05,0.0,0.0,0.9999999999999999,3.30548095703125,4.770463021245,0.9948748511292624
A12,18984,143.57184997892963,241.0,0.018489254108723135,0.003950695322376738,19049,144.88613575515774,241.0,0.018636148879206258,0.00041996955220746494,19049,144.8924877946349,241.0,0.01853115649115439,0.003937214551944984,19049,146.74387106934748,242.0,0.02357079111764397,0.0032022678355819205,18145,150.15453292918158,242.0,0.021658859189859464,0.0007164508128961147,18145,152.05345825296226,243.0,0.0237531000275558,0.00038578120694406174,0.0,0.0,0.9999999999999999,2.80548095703125,4.162673053574453,0.9962335449976049
B01,14232,134.68851883080382,242.0,0.01911186059584036,0.006042720629567172,14075,136.93094138543518,242.0,0.02053285968028419,0.0024156305506216696,14075,136.93811722912966,242.0,0.019964476021314386,0.006394316163410302,14075,139.22507992895206,244.0,0.029271758436944937,0.000497335701598579,13399,142.92126278080454,243.0,0.021120979177550563,0.0004477946115381745,13399,145.4227927457273,243.0,0.024479438764086873,0.0009702216583327114,0.0,0.0,1.0,3.9304334852430554,6.839598721934156,0.9855805531181849
B02,16592,135.18508919961428,239.0,0.015429122468659595,0.005183220829315333,43,187.62790697674419,230.5,0.0,0.0,43,187.95348837209303,233.29999999999998,0.023255813953488372,0.0,43,190.74418604651163,235.7,0.023255813953488372,0.0,15309,143.13083806910967,241.0,0.017897968515252466,0.0007838526357044876,15309,145.7755568619766,240.0,0.015807694820040498,6.532105297537396e-05,104.48093668619792,119.54463185918327,-0.42345428508611266,1.9629787868923612,5.605557520832129,0.9964916099946545
B03,21152,133.67137859304086,239.45000000000073,0.016357791225416037,0.004302193645990923,21115,134.90068671560502,240.0,0.014444707553871654,0.001610229694529955,21115,134.87568079564292,240.0,0.01643381482358513,0.004309732417712527,21115,134.06294103717735,240.0,0.02017523087852238,0.0024153445417949325,20973,136.97978353120678,238.0,0.011729366328136174,4.7680350927382826e-05,20973,136.36151242073143,238.0,0.012587612644829067,0.0009536070185476566,0.0,0.0,1.0,5.032497829861111,7.7332631075071125,0.9788055205930983
B04,22080,143.11091485507245,240.0,0.015036231884057972,0.0038949275362318843,22092,144.46220351258373,239.0,0.013579576317218903,4.5265254390729674e-05,22092,144.46252036936448,240.0,0.015118594966503711,0.003983342386384212,22092,143.18173999637878,239.0,0.007197175448126018,4.5265254390729674e-05,21782,146.66421816178496,239.0,0.011844642365255715,9.181893306399779e-05,21782,145.73032779359104,239.0,0.007712790377375815,4.5909466531998895e-05,0.0,0.0,1.0,5.528964572482639,7.760816457123773,0.9938101708642081
B05,22248,141.77013664149587,239.0,0.01397878460985257,0.0037756202804746495,22304,142.76479555236727,238.0,0.012733142037302726,4.483500717360115e-05,22304,142.7941176470588,239.0,0.013943687230989958,0.0037661406025824963,22304,145.27196915351507,239.0,0.012733142037302726,0.001838235294117647,21701,145.6006174830653,239.0,0.014976268374729275,0.00013824247730519332,21701,147.45689138749367,239.0,0.011520206442099442,0.0009216165153679554,0.0,0.0,1.0,3.0950995551215277,4.392972910427911,0.9969843455395687
B07,13544,139.64028352037803,240.0,0.014176018901358535,0.004873006497341997,13625,140.85269724770643,240.0,0.014752293577981652,0.0007339449541284404,13625,140.8662752293578,240.0,0.0141651376146789,0.004844036697247706,13625,141.27757798165138,239.0,0.013357798165137614,7.339449541284403e-05,13599,140.38811677329215,239.0,0.01213324509155085,0.00022060445621001543,13599,142.35708507978526,240.0,0.014706963747334363,7.353481873667182e-05,0.0,0.0,1.0,3.6279975043402777,5.862355723319433,0.986504608368644
B08,14312,144.74552822806038,242.0,0.021101173840134154,0.007825600894354388,14394,145.96415172988745,243.0,0.02209253855773239,0.00041684035014589413,14394,145.94025288314575,242.0,0.021675698207586493,0.008128386827844935,14394,147.7558010282062,242.0,0.018410448798110324,0.0004863137418368765,14535,145.3044375644995,241.0,0.017131062951496388,0.00013759889920880633,14535,146.0546955624355,239.0,0.012934296525627794,0.00013759889920880633,0.0,0.0,1.0,3.6684773763020835,6.5172594248009075,0.993570928066491
B09,17128,139.32578234469875,240.0,0.015296590378327883,0.004729098552078468,17136,140.38176937441642,240.0,0.015756302521008403,5.835667600373483e-05,17136,140.3954248366013,240.0,0.015289449112978524,0.004726890756302521,17136,139.65061858076564,238.0,0.011204481792717087,0.00011671335200746966,15930,146.43509102322662,240.0,0.015944758317639675,6.277463904582549e-05,15930,147.55291902071562,239.0,0.010797237915881984,6.277463904582549e-05,0.0,0.0,0.9999999999999999,4.64898681640625,7.680480453862905,0.9867783193910633
B10,20488,140.60777040218665,239.0,0.015521280749707145,0.004148770011714174,20723,140.91130627804856,240.0,0.015827824156734064,4.825556145345751e-05,20723,140.91449114510448,239.0,0.015393524103652946,0.004101722723543888,20723,141.72972060029917,239.0,0.013222023838247358,0.00014476668436037255,19061,147.1301085987094,239.0,0.011961596978122869,0.00015738943392266933,19061,147.46644981900215,238.0,0.007607155972929018,5.2463144640889776e-05,0.0,0.0,1.0,3.875033908420139,6.592503852262864,0.9900812152154286
B11,19768,141.32496964791582,239.0,0.014164305949008499,0.003945770942938082,19738,142.32825007599556,239.0,0.013831188570270544,0.0001519910831897862,19738,142.30479278548992,239.0,0.014185834431046712,0.003951768162934442,19738,143.5534501975884,239.0,0.016161718512513933,0.000253318471982977,18858,147.7599957577686,239.0,0.011878247958426132,0.0001590836780146357,18858,148.7508219323364,239.0,0.011507052709725315,0.0005302789267154523,0.0,0.0,1.0,4.293328179253472,6.538261807144722,0.9942251247989867
B12,21048,144.30582478145192,241.0,0.01596351197263398,0.003895857088559483,20970,145.74644730567476,241.0,0.01587982832618026,0.0002861230329041488,20970,145.75703385789222,241.0,0.01602288984263233,0.0039103481163567004,20970,146.5644253695756,240.0,0.012875536480686695,4.768717215069146e-05,20091,151.18162361256284,241.0,0.015330247374446269,9.954706087302773e-05,20091,154.77840824249665,243.0,0.02394106813996317,0.0007963764869842218,0.0,0.0,1.0,5.050693088107639,8.79110315816014,0.9850071607044252
C01,12552,148.02334289356278,243.4499999999989,0.022307202039515615,0.0058954748247291265,12606,148.77256861811836,244.0,0.022132317943836268,7.932730445819452e-05,12606,148.7455180072981,243.0,0.022211645248294463,0.005870220529906394,12606,148.89330477550374,242.0,0.015706806282722512,7.932730445819452e-05,12391,149.46081833588894,244.0,0.02090226777499798,0.0005649261560810266,12391,152.8423048987168,245.0,0.0276813816479703,8.07037365830038e-05,0.0,0.0,1.0,3.8274400499131946,6.083394089486844,0.9899995896895564
C02,16000,133.55975,241.0,0.0155,0.0041875,16067,134.0281944358001,240.0,0.014937449430509741,0.00018671811788137176,16067,134.0497914981017,241.0,0.015559843156780979,0.004232277338644426,16067,137.5011514283936,242.0,0.01730254559034045,6.223937262712393e-05,14721,144.61510766931593,241.0,0.01440119557095306,6.793016778751444e-05,14721,147.16771958426736,241.0,0.01256708104069017,6.793016778751444e-05,0.0,0.0,1.0,3.934048122829861,7.06127318883139,0.9880540689820121
C03,21816,131.8535478547855,237.0,0.014301430143014302,0.003942060872753942,21683,133.33583913665083,237.0,0.013236175805930913,4.611907946317391e-05,21683,133.33653092284277,237.0,0.014389152792510261,0.003966240833832957,21683,132.57616565973342,237.0,0.01226767513720426,9.223815892634782e-05,20603,139.42319079745667,239.0,0.01625976799495219,0.0002912197252827258,20603,137.78056593699947,238.0,0.013687327088288114,4.8536620880454306e-05,0.0,0.0,0.9999999999999999,4.339796278211805,6.661455788212962,0.9869966853569386
C04,21992,143.6550109130593,240.0,0.0170516551473263,0.006093124772644598,22034,144.55437051828991,240.0,0.015385313606244894,0.0003176908414268857,22034,144.56267586457292,240.0,0.01701915221929745,0.006081510393028955,22034,144.01515839157665,239.0,0.013751474993192339,0.0014976853952981756,21188,147.82126675476684,238.0,0.009675287898810647,4.7196526335661694e-05,21188,147.5652255993959,237.0,0.007976212950726827,4.7196526335661694e-05,0.0,0.0,0.9999999999999999,4.287977430555555,6.607460075235668,0.9929397685503185
C05,22568,143.45054945054946,241.0,0.020471464019851116,0.0051400212690535275,22650,144.41757174392936,241.0,0.020044150110375275,0.00013245033112582781,22650,144.43964679911699,241.0,0.02044150110375276,0.005121412803532009,22650,143.1509050772627,239.0,0.014304635761589404,0.0003532008830022075,22516,145.30880262924143,241.0,0.018120447681648607,0.0003108900337537751,22516,144.65357967667435,239.0,0.012702078521939953,8.882572392965002e-05,0.0,0.0,1.0,4.205769856770833,6.5252206686291885,0.9948188014189205
C08,13928,144.63016944284894,242.0,0.02096496266513498,0.007179781734635267,14117,145.35970815329037,242.0,0.02089679110292555,0.0006375292200892541,14117,145.34695756888857,242.0,0.02089679110292555,0.007083658000991712,14117,145.2620953460367,239.0,0.013175603881844584,0.00014167316001983425,13527,149.29577881274489,241.0,0.016559473645301987,0.0005174835514156871,13527,149.4546462630295,239.0,0.011236785687883492,7.392622163081245e-05,0.0,0.0,0.9999999999999998,4.875210232204861,7.269925269375816,0.9943701299509258
C09,17552,133.55532133090247,236.0,0.010483135824977211,0.002677757520510483,17629,134.84837483691643,236.0,0.010494072267286858,5.6724714958307334e-05,17629,134.85489817913665,236.0,0.010720971127120086,0.002666061603040445,17629,133.6947075840944,236.0,0.012479437290827613,0.00011344942991661467,16388,141.55357578716135,237.0,0.00951916036123993,6.1020258725897e-05,16388,140.6568830851843,237.0,0.00976324139614352,6.1020258725897e-05,0.0,0.0,1.0,3.9678412543402777,6.4513939112751055,0.9887406649724906
C10,22680,138.01693121693123,239.0,0.0164021164021164,0.0049382716049382715,22660,139.15816416593117,240.0,0.016637246248896734,0.0004854368932038835,22660,139.1445278022948,239.0,0.01654898499558694,0.00498676081200353,22660,138.75706090026478,238.0,0.012753751103265666,4.41306266548985e-05,22934,139.21505188802652,239.0,0.016089648556728002,0.0006976541379611058,22934,139.22167960233713,239.0,0.01678730269468911,0.0006540507543385367,0.0,0.0,0.9999999999999999,3.5683458116319446,6.778027027876549,0.987767698295727
C11,20320,135.51515748031497,238.0,0.01358267716535433,0.003986220472440945,34,225.0,231.35,0.0,0.0,34,225.11764705882354,234.35,0.0,0.0,34,219.76470588235293,226.0,0.0,0.0,20482,137.0639097744361,238.0,0.010594668489405332,4.882335709403378e-05,20482,137.97968948344888,238.0,0.013524069915047359,4.882335709403378e-05,59.842976888020836,73.34936542393955,-0.05225578906192312,2.601528591579861,3.9808953010602366,0.9969157930639664
C12,12736,147.14203831658293,241.0,0.016410175879396985,0.003062185929648241,12710,149.2543666404406,241.0,0.013690007867820615,7.867820613690008e-05,12710,149.228166797797,241.0,0.017230527143981118,0.0033044846577498033,12710,150.02202989771834,239.0,0.008575924468922108,7.867820613690008e-05,12255,153.6046511627907,241.0,0.01346389228886169,0.0001631986944104447,12255,153.71513667890656,239.0,0.005956752345981232,8.159934720522235e-05,0.0,0.0,1.0,2.7943657769097223,4.300878816445541,0.9957098986429398
D01,13544,141.99660366213823,241.0,0.01594802126402835,0.00383933845245127,13536,142.9010047281324,241.0,0.015218676122931441,7.387706855791962e-05,13536,142.91245567375887,242.0,0.016105200945626476,0.003989361702127659,13536,143.50768321513002,240.0,0.013962765957446808,7.387706855791962e-05,13326,143.94724598529191,243.0,0.02213717544649557,0.00022512381809995497,13326,146.25183851118115,242.0,0.022812546900795438,0.0015008254539997,0.0,0.0,1.0,3.7974650065104165,7.70661799959966,0.9923647022711589
D02,13800,142.4328260869565,244.0,0.022971014492753624,0.00789855072463768,13898,142.1681536911786,244.0,0.02352856526118866,0.0005036695927471579,13898,142.1860699381206,244.0,0.022809037271549863,0.007842855087062887,13898,142.87825586415312,244.0,0.02115412289538063,0.0002878111958555188,9407,156.7422132454555,244.0,0.016902306792813862,0.00010630381630700542,9407,159.63782289784203,245.0,0.022855320506006166,0.00010630381630700542,0.0,0.0,0.9999999999999999,4.254842122395833,6.316790475026218,0.9887283373652902
