stage_hpf,p5,p50,p95,n
16.25,203.2992981050713,359.1137376237498,580.6306051499637,20
16.75,210.33324128654203,375.63484131760777,614.7563820775229,25
17.25,237.7564653339929,354.5425222998235,646.9497452014695,20
17.75,273.46873871290285,394.27707665519284,686.2884985410167,20
18.25,315.7999422529,533.8924732097919,741.3022754876479,20
18.75,332.36044503525886,606.7279983542553,767.2803024815457,20
19.25,363.5781656019004,565.7064925692139,801.7473568545007,25
19.75,345.79852203907103,504.95883879470136,749.1640246491243,20
20.25,325.2062233977928,477.0961903362919,680.7844552653027,20
20.75,246.43029694457843,444.1210694605465,634.854756028222,20
21.25,142.89456407344034,433.19675644036477,820.4494817733939,20
21.75,178.10677933341813,580.421262386484,1046.866107685655,20
22.25,350.4859365076825,901.4754904402566,1315.7107461633975,25
22.75,359.9137600433703,1174.8820844087127,1421.503723330437,18
23.25,277.4278325952815,1248.90355808098,1535.3098124774492,17
23.75,421.5527041330877,1258.5745309332178,1588.8080708610332,18
24.25,678.5891309548283,1308.1687116821165,1609.4390792705412,19
24.75,737.4735504248124,1364.7393427372438,1607.1592033195661,24
25.25,648.3718532613353,1395.8317646580826,1681.264414360282,35
25.75,726.2544312508478,1411.5305172083488,1766.3819619766025,34
26.25,928.7821091586909,1431.3744506650282,1753.0654393423576,33
26.75,1097.690026485282,1481.3794560116642,1736.4244919185844,35
27.25,1159.7893041193079,1549.7179343197045,1805.55320958311,38
27.75,1243.631478121722,1587.3780781930454,1824.7137181083615,33
28.25,1332.475015996016,1597.0133830209686,1831.6392248058698,18
28.75,1363.314315149571,1647.085671020085,1854.9395098688722,35
29.25,1375.8737945114992,1725.991102326209,1960.7591563209244,39
29.75,1408.5897604066188,1790.4007039796097,2029.1045358296146,33
30.25,1453.6637572679006,1839.5843896383335,2088.469543472899,34
30.75,1475.9466575126562,1890.0156428325627,2094.718862126544,32
31.25,1500.17423193165,1941.6491711058031,2092.9961887439586,19
31.75,1656.0879774246894,1982.9438581860031,2128.1634246158947,34
32.25,1818.8046877959007,2034.6715099859393,2221.5275810193966,29
32.75,1929.6060387699245,2080.8949312340574,2248.6156910160207,29
33.25,1935.7715157885334,2102.739796035075,2277.783993830402,26
33.75,2007.0372273273742,2121.105360929681,2274.6403143067214,27
34.25,2055.534009894128,2170.3390246827566,2302.1196025540166,14
34.75,2069.229263341502,2228.3439041355314,2298.8767501534367,28
35.25,2090.6835510237856,2250.060131855783,2386.336363471378,25
35.75,2085.445214955828,2250.0399729100413,2424.342548540667,27
36.25,2103.4081329915743,2286.637404347629,2448.6011701663756,30
36.75,2065.1954345865825,2328.3997135308928,2431.884692379377,26
37.25,2150.011734201532,2353.1490824909342,2454.538704604752,31
37.75,2202.803801097275,2352.812664005621,2477.1732581288034,16
38.25,2247.5443849034796,2379.352382993554,2491.7035930044494,33
38.75,2225.8651844041224,2399.089884409093,2508.5563340941458,28
39.25,2289.6142370227685,2417.1153972969496,2522.3446708655856,29
39.75,2272.749142732508,2428.2737025156102,2541.657088590223,25
40.25,2216.7571893169097,2439.3094707355117,2574.1495031502436,30
40.75,2180.7214198156234,2467.223743943715,2591.240138096279,29
41.25,2226.718782336399,2486.01992963486,2606.2002850333783,24
41.75,2259.3591199282932,2492.6858688537063,2599.865344105301,37
42.25,2305.4030585662713,2478.1605720123844,2626.0441430335795,37
42.75,2285.0591272156817,2506.858185468952,2629.4165402590456,34
43.25,2233.40008006868,2514.586480530881,2630.1336819802127,27
43.75,2218.647290471944,2524.5173016624944,2628.3401717981924,35
44.25,2287.305710028646,2530.16375238569,2632.096446258603,31
44.75,2215.9733922704313,2542.9521802033605,2642.653181098876,20
45.25,2197.5942966556695,2540.848115323118,2647.409127089622,33
45.75,2283.2114343724525,2536.609312339465,2680.615376870764,34
46.25,2272.364569425026,2552.7076576445425,2711.348254239242,35
46.75,2236.2508562504845,2573.3515363283404,2718.2592914805105,26
47.25,2297.566346494074,2588.6347135064048,2742.352437498418,32
47.75,2416.663791967275,2594.7165532395143,2727.4252295295996,20
48.25,2368.7275324830744,2614.3112340954285,2736.159304863008,30
48.75,2371.225667149623,2644.471528259659,2739.3822155121175,30
49.25,2368.7978427973694,2658.5669652331917,2772.649885957586,23
49.75,2368.357313985078,2661.2603532348194,2780.449470664707,29
50.25,2373.7202787469323,2682.8218937603106,2798.451229084155,29
50.75,2396.6946723036845,2643.7602242497605,2800.085629962536,23
51.25,2407.893967631303,2616.454607751618,2779.6498369660458,13
51.75,2442.472694990807,2608.0240672881705,2794.44465011027,19
52.25,2458.583747258952,2678.999554351465,2808.8380622762993,19
52.75,2464.0549509960624,2701.398693571577,2834.4035301531158,19
53.25,2458.7038902757404,2676.827779910107,2781.527810907295,20
53.75,2461.52100881095,2618.8625051618637,2719.398777381298,6
54.25,2474.3604867023323,2579.070029015026,2671.0558432893913,1
54.75,2495.342115609902,2601.369385130715,2678.4981381517955,8
55.25,2496.5431233775703,2622.181552609205,2748.091983224878,6
55.75,2489.481010273304,2637.1648502232288,2849.53492029734,8
56.25,2490.1563342139334,2617.5885807715194,2834.0930138493177,8
56.75,2499.640486343704,2617.330589131586,2793.5023748852027,7
57.25,2502.473764660639,2615.4168978768803,2815.910680943607,8
57.75,2499.542168869172,2611.526216273464,2876.4779140745895,0
58.25,2503.1225753884605,2622.7724000013523,2859.5832622539665,6
58.75,2511.396994561108,2645.182202451882,2877.145161059423,6
59.25,2521.3993956355366,2660.9363690836008,2909.248953800328,4
59.75,2527.9448567228533,2652.9462032653737,2939.61887279214,4
