stage_hpf,p5,p50,p95,n
32.75,1572.9299971473683,1846.0236507031223,2040.3810009488002,29
33.25,1597.4086745111108,1870.6603405271017,2064.1301573458795,26
33.75,1621.611179241167,1894.9353055014922,2087.514590508315,27
34.25,1645.5387980754372,1918.8510400678756,2110.5369037182536,14
34.75,1669.1928177518198,1942.4100386678338,2133.1997002578432,28
35.25,1692.5745250082146,1965.6147957429503,2155.5055834092313,25
35.75,1715.6852065825196,1988.467805734807,2177.4571564545663,27
36.25,1738.5261492126351,2010.971563084985,2199.0570226759946,30
36.75,1761.0986396364601,2033.1285622350679,2220.3077853556642,26
37.25,1783.4039645918929,2054.941297626639,2241.2120477757235,31
37.75,1805.443410816833,2076.412263701279,2261.7724132183193,16
38.25,1827.21826504918,2097.5439549005705,2281.9914849655993,33
38.75,1848.7298140268326,2118.3388656660964,2301.871866299712,28
39.25,1869.9793444876905,2138.799490439439,2321.416160502804,29
39.75,1890.9681431696517,2158.9283236621804,2340.6269708570235,25
40.25,1911.697496810617,2178.727859775903,2359.506900644518,30
40.75,1932.1686921484838,2198.20059322219,2378.0585531474344,29
41.25,1952.383015921152,2217.3490184426223,2396.2845316479215,24
41.75,1972.3417548665211,2236.1756298787836,2414.187439428127,37
42.25,1992.0461957224898,2254.682921972255,2431.769879770197,37
42.75,2011.4976252269576,2272.87338916462,2449.034455956281,34
43.25,2030.6973301178232,2290.7495258974604,2465.9837712685257,27
43.75,2049.6465971329862,2308.313826612359,2482.6204289890784,35
44.25,2068.3467130103454,2325.5687857508974,2498.9470324000877,31
44.75,2086.7989644878,2342.5168977546596,2514.9661847837,20
45.25,2105.004638303249,2359.1606570652257,2530.6804894220636,33
45.75,2122.965021194592,2375.5025581241794,2546.092549597327,34
46.25,2140.6813998997277,2391.545095373102,2561.204968591636,35
46.75,2158.1550611565553,2407.2907632535785,2576.0203496871404,26
47.25,2175.3872917029744,2422.742056207188,2590.541296165985,32
47.75,2192.3793782768835,2437.901468675515,2604.7704113103205,20
48.25,2209.132607616182,2452.771495100141,2618.7102984022927,30
48.75,2225.6482664587693,2467.3546299226487,2632.3635607240494,30
49.25,2241.9276415425443,2481.653367584621,2645.7328015577386,23
49.75,2257.972019605406,2495.6702025276377,2658.8206241855078,29
50.25,2273.7826873852537,2509.4076291932843,2671.6296318895047,29
50.75,2289.360931619987,2522.868142023142,2684.162427951877,23
51.25,2304.7080390475035,2536.054235458793,2696.4216156547723,13
51.75,2319.8252964057046,2548.9684039418194,2708.409798280338,19
52.25,2334.7139904324877,2561.6131419138046,2720.129579110722,19
52.75,2349.3754078657525,2573.99094381633,2731.5835614280713,19
53.25,2363.8108354433984,2586.104304090978,2742.7743485145347,20
53.75,2378.021559903324,2597.9557171793317,2753.704543652259,6
54.25,2392.008867983429,2609.547677522973,2764.3767501233924,1
54.75,2405.774046421612,2620.882679563484,2774.793571210081,8
55.25,2419.3183819557726,2631.9632177424473,2784.957610194475,6
55.75,2432.64316132381,2642.7917865014456,2794.87147035872,8
56.25,2445.7496712636225,2653.3708802820606,2804.537754984964,8
56.75,2458.6391985131104,2663.7029935258756,2813.9590673553557,7
57.25,2471.313029810172,2673.7906206744724,2823.1380107520413,8
57.75,2483.7724518927066,2683.6362561694327,2832.077188457169,0
58.25,2496.0187514986137,2693.24239445234,2840.779203752887,6
58.75,2508.0532153657923,2702.6115299647763,2849.246659921342,6
59.25,2519.8771302321416,2711.7461571483236,2857.4821602446823,4
59.75,2531.49178283556,2720.648770444565,2865.4883080050554,4
60.25,2542.8984599139476,2729.321864295082,2873.2677064846084,3
60.75,2554.098448205203,2737.7679331414574,2880.82295896549,5
61.25,2565.093034447226,2745.989471425274,2888.156668729847,4
61.75,2575.883505377915,2753.988973588114,2895.271439059827,0
62.25,2586.4711477351693,2761.7689340715583,2902.169873237578,4
62.75,2596.857248256888,2769.331847317191,2908.854574545248,4
63.25,2607.0430936809707,2776.680207766595,2915.328146264984,4
63.75,2617.029970745316,2783.8165098613495,2921.593191678933,4
64.25,2626.819166187823,2790.7432480430402,2927.6523140692443,5
64.75,2636.411966746392,2797.4629167532485,2933.5081167180642,5
65.25,2645.8096591589206,2803.978010433556,2939.163202907541,0
65.75,2655.0135301633086,2810.291023525546,2944.6201759198225,6
66.25,2664.024866497455,2816.4044504708,2949.8816390370553,7
66.75,2672.84495489926,2822.3207857109005,2954.950195541388,7
67.25,2681.4750821066204,2828.0425236874307,2959.8284487149676,7
67.75,2689.916534857438,2833.572158841972,2964.519001839942,8
68.25,2698.1705998896105,2838.9121856161078,2969.02445819846,0
68.75,2706.238563941037,2844.06509845142,2973.347421072667,7
69.25,2714.1217137496164,2849.03339178949,2977.4904937447122,6
69.75,2721.821336053249,2853.819560071902,2981.4562794967433,8
70.25,2729.3387175898333,2858.426097740237,2985.2473816109064,8
70.75,2736.675145097268,2862.8554992360773,2988.866403369351,6
71.25,2743.831905313453,2867.110259001006,2992.315948054223,0
71.75,2750.810284976287,2871.1928714766054,2995.5986189476716,6
72.25,2757.611570823669,2875.1058311044567,2998.7170193318443,6
72.75,2764.2370495934993,2878.851632326144,3001.673752488887,5
73.25,2770.688008023675,2882.432769583249,3004.4714217009496,5
73.75,2776.965732852097,2885.851737317354,3007.1126302501784,4
74.25,2783.0715108166637,2889.1110299700413,3009.599981418721,4
74.75,2789.0066286552747,2892.213141982893,3011.936078488726,0
75.25,2794.7723731058277,2895.1605677974912,3014.123524742339,4
75.75,2800.3700309062237,2897.9558018554194,3016.1649234617107,4
76.25,2805.8008887943606,2900.6013385982596,3018.062877928986,4
76.75,2811.066233508139,2903.099672467594,3019.8199914263137,4
77.25,2816.167351785456,2905.4532979050045,3021.4388672358423,4
77.75,2821.105530364213,2907.664709352074,3022.9221086397165,4
78.25,2825.8820559823066,2909.736401250385,3024.272318920088,4
78.75,2830.498215377638,2911.6708680415195,3025.492101359101,0
79.25,2834.955295288106,2913.47060416706,3026.584059238905,4
79.75,2839.2545824516083,2915.1381040685887,3027.5507958416474,2
80.25,2843.397363606046,2916.675862187689,3028.394914449474,2
80.75,2847.3849254893166,2918.086372965942,3029.1190183445356,2
81.25,2851.218554839321,2919.3721308449294,3029.7257108089775,2
81.75,2854.8995383939564,2920.5356302662353,3030.217595124948,2
82.25,2858.4291628911237,2921.579365671441,3030.5972745745958,2
82.75,2861.80871506872,2922.50583150213,3030.867352440067,0
83.25,2865.039481664647,2923.317522199883,3031.0304320035084,2
83.75,2868.122749416802,2924.0169322062834,3031.0891165470703,2
84.25,2871.0598050630847,2924.606555962915,3031.046009352899,2
84.75,2873.851935341394,2925.088887911357,3030.903713703142,2
85.25,2876.5004269896294,2925.4664224931944,3030.6648328799465,0
85.75,2879.0065667456897,2925.741654150009,3030.331970165461,2
86.25,2881.371641347474,2925.9170773233814,3029.9077288418325,0
86.75,2883.596937532882,2925.995186454896,3029.39471219121,2
87.25,2885.683742039813,2925.978475986134,3028.7955234957403,1
87.75,2887.6333416061643,2925.8694403586787,3028.1127660375705,1
88.25,2889.4470229698377,2925.670574014112,3027.3490430988472,1
88.75,2891.1260728687303,2925.3843713940164,3026.50695796172,2
89.25,2892.671778040742,2925.0133269399735,3025.589113908337,1
89.75,2894.0854252237723,2924.5599350935668,3024.5981142208448,1
90.25,2895.3683011557196,2924.026690296378,3023.5365621813903,0
90.75,2896.5216925744835,2923.416086989989,3022.4070610721215,1
91.25,2897.546886217963,2922.7306196159843,3021.212214175187,1
91.75,2898.4451688240574,2921.972782615944,3019.954624772733,1
92.25,2899.2178271306657,2921.1450704314498,3018.63689614691,1
92.75,2899.8661478756867,2920.2499775040874,3017.2616315798614,1
93.25,2900.39141779702,2919.2899982754366,3015.8314343537377,1
93.75,2900.7949236325653,2918.267627187081,3014.3489077506874,0
94.25,2901.0779521202207,2917.185358680602,3012.8166550528535,1
94.75,2901.2417899978855,2916.0456871975825,3011.2372795423894,1
95.25,2901.2877240034586,2914.8511071796047,3009.6133845014397,1
95.75,2901.2170408748407,2913.6041130682515,3007.947573212151,1
96.25,2901.0310273499294,2912.307199305104,3006.242448956674,1
96.75,2900.730970166624,2910.962860331746,3004.5006150171525,1
97.25,2900.3181560628245,2909.57359058976,3002.724674675739,1
97.75,2899.793871776429,2908.1418845207254,3000.917231214577,0
98.25,2899.159404045337,2906.670236566229,2999.0808879158153,1
98.75,2898.416039607448,2905.161141167849,2997.2182480616034,1
99.25,2897.565065200661,2903.61709276717,2995.331914934084,1
99.75,2896.6077675628753,2902.040585805775,2993.4244918154122,1
100.25,2895.5454334319893,2900.434114725245,2991.498581987729,0
100.75,2894.379349545903,2898.800173967163,2989.5567887331854,1
101.25,2893.110802642515,2897.141257973109,2987.601715333928,1
101.75,2891.741079459725,2895.45986118467,2985.635965072104,0
102.25,2890.2714667354307,2893.758478043425,2983.6621412298623,1
102.75,2888.703251207533,2892.039602990958,2981.6828470893493,2
103.25,2887.03771961393,2890.3057304688514,2979.700685932715,2
103.75,2885.2761586925217,2888.5593549186847,2977.718261042104,1
104.25,2883.4198551812065,2886.8029707820447,2975.7381756996647,1
104.75,2881.4700958178837,2885.039072500509,2973.7630331875457,2
105.25,2879.428167340454,2883.2701545156647,2971.7954367878947,0
105.75,2877.295356486812,2881.4987112690897,2969.8379897828568,2
106.25,2875.072949994863,2879.7272372023704,2967.8932954545844,2
106.75,2872.7622346025005,2877.958226757087,2965.9639570852205,2
107.25,2870.3644970476284,2876.194174374821,2964.052577956916,2
107.75,2867.8810240681405,2874.4375744971558,2962.1617613518156,1
108.25,2865.3131024019426,2872.690921565674,2960.2941105520686,0
108.75,2862.662018786927,2870.956710021959,2958.452228839825,0
109.25,2859.929059960999,2869.2374343075912,2956.638719497225,0
109.75,2857.1155126620524,2867.5355888641534,2954.856185806426,0
110.25,2854.222663627992,2865.8536681332284,2953.107231049569,0
110.75,2851.2517995967096,2864.1941665564,2951.394458508803,0
111.25,2848.204207306113,2862.559578575248,2949.7204714662776,0
111.75,2845.0811734940926,2860.9523986313566,2948.087873204137,0
112.25,2841.8839848985554,2859.375121166307,2946.499267004532,0
112.75,2838.6139282573936,2857.8302406216826,2944.957256149608,0
113.25,2835.272290308513,2856.320251439066,2943.4644439215144,0
113.75,2831.8603577898066,2854.847648060036,2942.0234336023977,0
114.25,2828.3794174391787,2853.414924926181,2940.6368284744062,0
114.75,2824.830755994525,2852.024576479077,2939.307231819687,0
115.25,2821.2156601937454,2850.6790971603123,2938.037246920387,0
115.75,2817.5354167747405,2849.3809814114634,2936.8294770586554,0
116.25,2813.7913124754073,2848.1327236741167,2935.686525516642,0
116.75,2809.9846340336458,2846.9368183898546,2934.610995576488,0
